"","a_log","h_log","log_w","kr_log","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"39","-2.5","-4","-5","-2.375","0.2","0.2","NaN","-1.14644578556105","-4.31677072752652","0.36087482279412","-6.1224973948543","0.406345025753931","0.280663689095248","0","2821.49104502762","-1391.99559678703","232"
"40","-1.5","-5","-10","-0.5","0.2","0.2","NaN","-1.14613534203484","-4.31429238597167","0.366605070539411","-6.12304483428778","0.406826789101292","0.280826396563539","0","2821.49059716227","-1391.99537285436","504"
"41","-1.5","-5","-8.75","-2.375","0.2","0.2","NaN","-1.38421919243958","-4.21791267754076","0.42428313280805","-9.02395029252344","0.4220109036508","0.280866532005312","0","2860.6075707123","-1411.55385962937","154"
"42","-1","-4","-8.75","-0.5","0.2","0.2","NaN","-1.14651916999488","-4.31698669574754","0.36397004262683","-6.12043341667849","0.406721203474884","0.28070046481648","0","2821.49006017809","-1391.99510436227","535"
"43","-2.5","-1","-5","-0.5","0.2","0.2","NaN","-1.14586753824492","-4.31592706008899","0.359959924745707","-6.11500439718756","0.406596599413672","0.281166489170385","0","2821.49430726621","-1391.99722790633","622"
"44","-1.5","-1","-7.5","-2.375","0.2","0.2","NaN","-1.31012423322608","-4.59866869768905","-0.837974598689508","-6.2764546200492","0.410023921473501","0.279976092043883","0","2834.97405379714","-1398.73710117179","199"
"45","-2.5","-2","-8.75","-1.75","0.2","0.2","NaN","-1.14326254477658","-4.30316550279576","0.374325153737834","-6.14940773609663","0.406843358712247","0.28158855024655","0","2821.5337843956","-1392.01696647102","292"
"46","-2.5","-1","-7.5","-1.75","0.2","0.2","NaN","-1.14495457805127","-4.31682498391837","0.36355858201256","-6.11635174915854","0.406599409633175","0.280594959250305","0","2821.49108840537","-1391.99561847591","322"
"47","-2.5","-2","-5","-0.5","0.2","0.2","NaN","-1.14476483308477","-4.31638506446741","0.373503986643251","-6.11864167806717","0.406751442582878","0.280770770347214","0","2821.490734625","-1391.99544158572","617"
"48","-2.5","-5","-5","-3","0.2","0.2","NaN","-1.35234974802461","-4.71683872997375","-7.05133648066381","-5.963366473366","0.425921574185827","0.280736493545234","0","2869.57645289237","-1416.03830071941","102"
"49","-2.5","-3","-7.5","-2.375","0.2","0.2","NaN","-1.14634712413564","-4.31496623181863","0.372232660817523","-6.12670137206994","0.407001731107377","0.280629942416661","0","2821.49145352191","-1391.99580103418","187"
"50","-2.5","-2","-8.75","-1.125","0.2","0.2","NaN","-1.14627512242563","-4.31804234573173","0.36402164943629","-6.12124467294791","0.406710712894117","0.28071265082483","0","2821.48976122448","-1391.99495488546","417"
"51","-1","-5","-10","-1.125","0.2","0.2","NaN","-1.14657795009223","-4.31821056849218","0.36386723510018","-6.12122749923366","0.406665282055227","0.280703665868326","0","2821.48978815395","-1391.9949683502","380"
"52","-2","-1","-5","-0.5","0.2","0.2","NaN","-1.13388540521166","-4.29399518750305","0.428731312328439","-6.10669531587559","0.407246543688688","0.280783591536302","0","2821.55092026567","-1392.02553440606","623"
"53","-2.5","-4","-7.5","-2.375","0.2","0.2","NaN","-1.14622434296034","-4.31928773742841","0.358347798798167","-6.11626609810916","0.406614229172355","0.280585279548821","0","2821.49117680826","-1391.99566267735","182"
"54","-2","-2","-8.75","-2.375","0.2","0.2","NaN","-1.14763750096757","-4.30485745818211","0.38929406112374","-6.14487982821236","0.405904291553348","0.281729203882613","0","2821.52639220859","-1392.01327037751","168"
"55","-2","-3","-5","-3","0.2","0.2","NaN","-1.14639266313086","-4.31719201731738","0.36110631094739","-6.1221623772175","0.406826545537754","0.280577156659651","0","2821.49044427191","-1391.99529640918","113"
"56","-2","-3","-8.75","-2.375","0.2","0.2","NaN","-1.1466729321014","-4.31861718294246","0.368455809499162","-6.12152131260878","0.406662760648321","0.280793783129244","0","2821.48999315556","-1391.995070851","163"
"57","-3","-3","-7.5","-0.5","0.2","0.2","NaN","-1.14786794275368","-4.31449030209145","0.363953180841388","-6.13096462598418","0.406921718757958","0.28068720432284","0","2821.49228930335","-1391.9962189249","561"
"58","-2","-2","-5","-1.125","0.2","0.2","NaN","-1.14662259809946","-4.31815220209101","0.364779451975216","-6.12226055885566","0.406761580639293","0.280771830511708","0","2821.48971665566","-1391.99493260105","493"
"59","-2.5","-5","-7.5","-0.5","0.2","0.2","NaN","-1.14743482616232","-4.31792403902615","0.379258606234575","-6.12907689615732","0.407088171568268","0.280614886198521","0","2821.49408406979","-1391.99711630811","552"
"60","-2","-5","-7.5","-0.5","0.2","0.2","NaN","-1.1418299495598","-4.30916368630505","0.356392794164027","-6.10729637900302","0.406626040279224","0.28126817930975","0","2821.50518105525","-1392.00266480084","553"
"61","-2.5","-3","-10","-3","0.2","0.2","NaN","-1.14614318335418","-4.3177146587642","0.365128260823374","-6.12194411951226","0.406777604734964","0.280715169691243","0","2821.4897960842","-1391.99497231532","12"
"62","-1","-2","-6.25","-1.125","0.2","0.2","NaN","-1.14111120580677","-4.30225644060899","0.465947719280546","-6.15782292745485","0.408136653203643","0.28004823368352","0","2821.62332618357","-1392.06173736501","470"
"63","-3","-3","-6.25","-0.5","0.2","0.2","NaN","-1.14786794275368","-4.31449030209145","0.363953180841388","-6.13096462598418","0.406921718757958","0.28068720432284","0","2821.49228930335","-1391.9962189249","586"
"64","-2.5","-3","-8.75","-2.375","0.2","0.2","NaN","-1.14622446256076","-4.3179614482283","0.364710829506031","-6.12121252033825","0.406689263490373","0.280735645948636","0","2821.48973923247","-1391.99494388945","162"
"65","-2","-2","-7.5","-2.375","0.2","0.2","NaN","-1.14763750096757","-4.30485745818211","0.38929406112374","-6.14487982821236","0.405904291553348","0.281729203882613","0","2821.52639220859","-1392.01327037751","193"
"66","-2","-3","-10","-2.375","0.2","0.2","NaN","-1.1466729321014","-4.31861718294246","0.368455809499162","-6.12152131260878","0.406662760648321","0.280793783129244","0","2821.48999315556","-1391.995070851","138"
"67","-1.5","-2","-8.75","-2.375","0.2","0.2","NaN","-1.29144146378708","-4.58672294046206","-1.62201583069609","-6.06138077296486","0.413003320114535","0.280953768504798","0","2846.23191781575","-1404.3660331811","169"
"68","-1","-4","-6.25","-1.75","0.2","0.2","NaN","-1.14636186084042","-4.31739340977409","0.365754919089905","-6.12250832302917","0.406711652655135","0.28075850791949","0","2821.48972931392","-1391.99493893018","335"
"69","-3","-2","-8.75","-0.5","0.2","0.2","NaN","-1.15218544423889","-4.33075320600517","0.305303167456956","-6.11253148293054","0.406595705352827","0.280492432640567","0","2821.52525566947","-1392.01270210796","541"
"70","-1","-3","-6.25","-3","0.2","0.2","NaN","-1.14581716136213","-4.31598309320277","0.368508115095069","-6.12416883478542","0.406681376348042","0.280768653579642","0","2821.49012894401","-1391.99513874522","90"
"71","-1.5","-3","-6.25","-2.375","0.2","0.2","NaN","-1.14790945336589","-4.33468530286662","0.377852233796848","-6.13150740369616","0.404986853351886","0.280133885482988","0","2821.54370717883","-1392.02192786263","214"
"72","-1","-1","-6.25","-2.375","0.2","0.2","NaN","-1.14432299936476","-4.31627732977643","0.370766570788586","-6.12249750904806","0.406811440880769","0.28078238713725","0","2821.49170708901","-1391.99592781773","225"
"73","-2","-5","-10","-3","0.2","0.2","NaN","-1.14653370195397","-4.31781892704338","0.366035869534691","-6.12299071805966","0.406559521357209","0.28084168721506","0","2821.48999859712","-1391.99507357178","3"
"74","-2","-2","-6.25","-1.75","0.2","0.2","NaN","-1.14690907150619","-4.31980261421746","0.365888567170164","-6.12124328757585","0.406729890311835","0.280542724943905","0","2821.49051024152","-1391.99532939398","343"
"75","-2.5","-1","-5","-1.125","0.2","0.2","NaN","-1.14625859817073","-4.31759820744241","0.36302754875467","-6.12033108995148","0.406758727899501","0.280738935078154","0","2821.48983641054","-1391.99499247849","497"
"76","-2","-1","-7.5","-0.5","0.2","0.2","NaN","-1.14744176459677","-4.31978280040679","0.362027533389348","-6.12323015768862","0.406736396560208","0.280676343086449","0","2821.49002858387","-1391.99508856516","573"
"77","-2","-4","-8.75","-2.375","0.2","0.2","NaN","-1.14624504774515","-4.31653476809925","0.369972842729531","-6.12285710412166","0.406564449801473","0.280743114816097","0","2821.49018345947","-1391.99516600296","158"
"78","-2","-1","-10","-3","0.2","0.2","NaN","-1.14730674371694","-4.31868094812321","0.36213895399726","-6.12261204979227","0.406673340545646","0.280792368758326","0","2821.48991980757","-1391.995034177","23"
"79","-2.5","-4","-10","-0.5","0.2","0.2","NaN","-1.14528611797802","-4.31766112181954","0.368537706716929","-6.11739250970776","0.406605299505031","0.28087823861282","0","2821.49058293306","-1391.99536573975","507"
"80","-1.5","-2","-10","-1.75","0.2","0.2","NaN","-1.14613040802317","-4.31861750059961","0.362553872184795","-6.11938895655516","0.406636270394401","0.280704617630658","0","2821.48998208537","-1391.99506531591","269"
"81","-2","-5","-8.75","-1.75","0.2","0.2","NaN","-1.14665377644846","-4.31808891823932","0.365310190154862","-6.12253347891409","0.406753713375078","0.280712158668716","0","2821.48974538774","-1391.99494696709","278"
"82","-3","-1","-5","-1.75","0.2","0.2","NaN","-1.20477503042769","-4.44367650544502","-0.204377052265433","-6.10941268945088","0.408224041514689","0.280907708768038","0","2824.48711816417","-1393.49363335531","371"
"83","-2","-1","-6.25","-0.5","0.2","0.2","NaN","-1.14744176459677","-4.31978280040679","0.362027533389348","-6.12323015768862","0.406736396560208","0.280676343086449","0","2821.49002858387","-1391.99508856516","598"
"84","-1.5","-1","-5","-0.5","0.2","0.2","NaN","-1.14566637488644","-4.31426838021534","0.357939340359533","-6.1198088839999","0.406877890658195","0.280896403081199","0","2821.49184228865","-1391.99599541755","624"
"85","-2.5","-5","-6.25","-0.5","0.2","0.2","NaN","-1.14604743625045","-4.31643393691824","0.363919234329357","-6.12228182909123","0.406682282654618","0.280669973170599","0","2821.49000602725","-1391.99507728685","577"
"86","-1","-3","-10","-1.75","0.2","0.2","NaN","-1.14605531711496","-4.31581947905269","0.362755428879611","-6.12006915002827","0.406566146494969","0.280819947335092","0","2821.49045522716","-1391.9953018868","265"
"87","-1.5","-4","-6.25","-3","0.2","0.2","NaN","-1.14687124778129","-4.31881529610989","0.361685947144439","-6.12088732446729","0.406780876051732","0.280763526460754","0","2821.48986208802","-1391.99500531723","84"
"88","-3","-1","-6.25","-1.75","0.2","0.2","NaN","-1.20477503042769","-4.44367650544502","-0.204377052265433","-6.10941268945088","0.408224041514689","0.280907708768038","0","2824.48711816417","-1393.49363335531","346"
"89","-3","-4","-7.5","-1.125","0.2","0.2","NaN","-1.14698742642772","-4.31964030234003","0.370186003549406","-6.12270860979963","0.406877819527699","0.280711165576479","0","2821.49047468483","-1391.99531161564","431"
"90","-1.5","-2","-8.75","-3","0.2","0.2","NaN","-1.14524461139124","-4.31704294539027","0.37049235053327","-6.11862442920915","0.406301995822432","0.280667423484647","0","2821.49150085943","-1391.99582470293","44"
"91","-2.5","-4","-8.75","-1.125","0.2","0.2","NaN","-1.14663909149198","-4.31845813260224","0.369240687154357","-6.12311723398989","0.406495671017359","0.280631474522895","0","2821.49048797162","-1391.99531825903","407"
"92","-2.5","-5","-7.5","-3","0.2","0.2","NaN","-1.14988129490367","-4.32764167470182","0.372013101350802","-6.14789162771783","0.401326772164559","0.279800402736345","0","2821.71897581468","-1392.10956218056","52"
"93","-1","-5","-5","-3","0.2","0.2","NaN","-1.14675853732267","-4.31869493597976","0.36497888212904","-6.12111710259319","0.40675229718264","0.280706800254833","0","2821.48981969706","-1391.99498412175","105"
"94","-1","-1","-8.75","-0.5","0.2","0.2","NaN","-1.14612784286589","-4.31667101732607","0.361415171675287","-6.11842603895361","0.406702714768658","0.280676028872986","0","2821.49049254422","-1391.99532054533","550"
"95","-3","-5","-8.75","-1.75","0.2","0.2","NaN","-1.14770279221934","-4.32082639742999","0.367985127037468","-6.12552424216885","0.406659975038475","0.28063912029788","0","2821.49087970646","-1391.99551412645","276"
"96","-2.5","-4","-7.5","-1.125","0.2","0.2","NaN","-1.14663909149198","-4.31845813260224","0.369240687154357","-6.12311723398989","0.406495671017359","0.280631474522895","0","2821.49048797162","-1391.99531825903","432"
"97","-1.5","-2","-7.5","-1.125","0.2","0.2","NaN","-1.14644403422614","-4.31837566400396","0.365610477462169","-6.12202956004056","0.406725505900175","0.280741215527903","0","2821.48972196242","-1391.99493525443","444"
"98","-3","-1","-7.5","-1.75","0.2","0.2","NaN","-1.20477503042769","-4.44367650544502","-0.204377052265433","-6.10941268945088","0.408224041514689","0.280907708768038","0","2824.48711816417","-1393.49363335531","321"
