"","a_log","h12","h_log","kr_log","sigma","sigma2","error","a_log.est","h_log.est","h12.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"30","-2","-0.00035","-1","-2.375","0.2","0.2","NaN","0.84004262749985","-3.42106527088573","0.000119507022096915","5.09566306998441","0.441689258203787","0.280790507055483","0","2906.72470715443","-1434.61242785044","233"
"31","-3","1e-04","-3","-2.375","0.2","0.2","NaN","-2.85639669087469","-3.55094810938864","-8.61604294992696e-05","-2.12115057528114","0.580204088184658","0.294085287335317","0","3187.54448755629","-1575.02231805137","196"
"32","-1","-5e-04","-5","-1.125","0.2","0.2","NaN","-1.15012456924674","-3.68412941584085","8.06743488273127e-05","0.150559601460058","0.45050484645533","0.273267866895369","0","2880.41379900583","-1421.45697377614","380"
"33","-2","1e-04","-4","-2.375","0.2","0.2","NaN","-1.30008702197309","-4.63036788705269","9.46813581221133e-05","0.655289518412783","0.415904163211399","0.280624196792051","0","2845.43183751137","-1403.96599302891","173"
"34","-2.5","-5e-04","-2","-1.125","0.2","0.2","NaN","-1.56041919591959","-1.97283823052148","-0.000638316359165454","-1.14036689525407","0.556594469656824","0.280306301136885","0","3143.48679202987","-1552.99347028816","452"
"35","-1.5","-5e-04","-1","-0.5","0.2","0.2","NaN","-0.639000682366609","-1.87853046245333","-0.000661863624882147","1.98277567840971","0.541283954952257","0.280562730366567","0","3116.21260026991","-1539.35637440817","604"
"36","-3","-5e-04","-3","-1.125","0.2","0.2","NaN","-2.98422139722695","-3.43190040247756","-0.000100285001079788","-0.812551024666363","0.627563905547837","0.278662535776397","0","3212.94394696058","-1587.72204775351","426"
"37","-2","-2e-04","-2","-2.375","0.2","0.2","NaN","-1.45088507007362","-5.25853068730691","9.30192720130534e-05","-0.271637259522079","0.420394699412834","0.280719903965905","0","2856.34102952416","-1409.4205890353","213"
"38","-2","-2e-04","-5","-3","0.2","0.2","NaN","-1.57112830841117","-5.0656766907752","5.90941706601029e-05","-3.76176641848369","0.443991173335545","0.280410721061213","0","2902.19134609234","-1432.34574731939","13"
"39","-1","-5e-04","-3","-1.75","0.2","0.2","NaN","-1.39875692561286","-5.09841091532945","0.000100564063214084","-0.197471111563437","0.417855648723427","0.278629578874438","0","2853.54699598295","-1408.0235722647","305"
"40","-1","-2e-04","-1","-1.75","0.2","0.2","NaN","-0.918337537583633","-1.09625077568297","-0.273925037922663","-1.85651928188103","0.689353944745538","0.28104933516146","0","3362.35639208093","-1662.42827031368","365"
"41","-2","-2e-04","-5","-1.75","0.2","0.2","NaN","-1.55300458646528","-4.60576047417684","4.1065042611722e-05","-1.86491350423415","0.429285272037514","0.281006820796104","0","2886.64781306168","-1424.57398080406","263"
"42","-2.5","-0.00035","-2","-1.125","0.2","0.2","NaN","-2.56108956043236","-1.85369327664421","-0.184671388072566","-1.28342852808331","0.679700338922829","0.280708659105763","0","3352.16449494754","-1657.33232174699","457"
"43","-2","-5e-04","-3","-1.125","0.2","0.2","NaN","-2.10152607975912","-3.11489679266655","-8.43988932162034e-05","-1.08564350064269","0.52296081985393","0.274459935770292","0","3065.29949474103","-1513.89982164373","428"
"44","-2.5","-2e-04","-5","-2.375","0.2","0.2","NaN","-1.42099003085845","-5.4310617832418","0.000109807762778029","-0.00643218424635081","0.415469959524663","0.281305370488122","0","2855.7695002197","-1409.13482438307","137"
"45","-1","-5e-04","-4","-1.125","0.2","0.2","NaN","-1.46487625340252","-4.97241110060325","7.69651198851556e-05","-0.85177695376889","0.424998716532701","0.287698991671641","0","2864.30741011765","-1413.40377933205","405"
"46","-1.5","-2e-04","-3","-1.75","0.2","0.2","NaN","-1.03793159270057","-4.0320326960148","0.00013724553237626","0.993271630414163","0.422520395006422","0.28070551790823","0","2860.65676851483","-1411.57845853064","314"
"47","-1","-2e-04","-2","-0.5","0.2","0.2","NaN","-1.14785871982757","-4.27873023540926","9.43299466640856e-05","1.53096055644433","0.420407418006677","0.28050572858447","0","2851.91692630385","-1407.20853742515","590"
"48","-3","-0.00035","-5","-0.5","0.2","0.2","NaN","-2.96816775163807","-4.97593317729769","-0.202550713484577","-0.509282070376726","0.675022514356632","0.281851121416273","0","3349.43862553867","-1655.96938704256","506"
"49","-3","-0.00035","-3","-0.5","0.2","0.2","NaN","NaN","NaN","NaN",NA,"NaN","NaN","NaN","NaN","NaN","556"
"50","-1","-0.00035","-1","-2.375","0.2","0.2","NaN","NaN","NaN","NaN",NA,"NaN","NaN","NaN","NaN","NaN","235"
"51","-2","1e-04","-4","-1.75","0.2","0.2","NaN","-1.30234478934521","-4.63338993103772","9.43912820979114e-05","0.647991669739644","0.416151687508231","0.281198225168658","0","2845.4354948795","-1403.96782171297","298"
"52","-2","1e-04","-1","-1.125","0.2","0.2","NaN","-1.94863385633848","-1.64776365175564","-0.157520373724778","-1.10890544488178","0.676929941682923","0.280809050226363","0","3356.30967225284","-1659.40491039964","498"
"53","-2","-5e-05","-4","-0.5","0.2","0.2","NaN","-1.30170524973661","-4.62950666551392","9.29521208252093e-05","0.64582086894402","0.417068182857635","0.280647041934261","0","2845.43340435963","-1403.96677645304","543"
"54","-2","-0.00035","-1","-1.75","0.2","0.2","NaN","-0.884743983111246","-2.80814644023369","0.000107045699298498","-0.911321328337445","0.482079255723767","0.286527296295034","0","3015.25687787353","-1488.87851320999","358"
"55","-1","-5e-04","-1","-2.375","0.2","0.2","NaN","NaN","NaN","NaN",NA,"NaN","NaN","NaN","NaN","NaN","230"
"56","-3","-2e-04","-1","-1.125","0.2","0.2","NaN","-2.97876940722128","-1.17270828770874","-0.0442214845487303","-1.17437792931545","0.665826965462822","0.310514096082082","0","3338.16244619539","-1650.33129737092","486"
"57","-3","-5e-04","-4","-2.375","0.2","0.2","NaN","-0.958054740769704","-3.51404734927841","5.78005727198502e-05","2.03274466628992","0.442175894274069","0.278990411909709","0","2880.71393771271","-1421.60704312958","151"
"58","-2","-0.00035","-5","-0.5","0.2","0.2","NaN","-1.58979039505077","-8.46766099701143","0.000127890842550545","-1.04991605994396","0.442056515410432","0.279296444857053","0","2901.79014182353","-1432.14514518499","508"
"59","-1","-5e-05","-1","-1.125","0.2","0.2","NaN","-0.830449525962163","-0.978593751224092","-0.306653677492082","-1.28217003901966","0.681290139231144","0.277142617865457","0","3361.37091901963","-1661.93553378303","495"
"60","-1.5","-0.00035","-3","-1.125","0.2","0.2","NaN","-1.69295558793151","-4.42707368966076","1.18998402912349e-05","-0.238791953408184","0.442644567738142","0.282581650108331","0","2893.84577891451","-1428.17296373048","434"
"61","-2.5","-2e-04","-5","-1.125","0.2","0.2","NaN","-1.60042017902084","-4.90120112666708","4.64642865033599e-05","-3.37134595408834","0.438826440650702","0.282543736759236","0","2900.48181067655","-1431.4909796115","387"
"62","-2","-0.00035","-4","-1.125","0.2","0.2","NaN","-1.4932237093047","-5.01139871753631","7.26764102728057e-05","-1.16661184915395","0.424907196973249","0.27993545420524","0","2870.19114740419","-1416.34564797532","408"
