"","a_log","h_log","log_w","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"86","-1","-1","-8.75","0.2","0.2","NaN","-1.35277471587227","-4.71849009280478","-5.96841549271283","0.426228544326294","0.281176666645694","0","2863.48066990673","-1416.11539684772","50"
"87","-2.5","-1","-5","0.2","0.2","NaN","-1.35120432598799","-4.71550783015472","-5.9571729159486","0.425955688973166","0.280820510780964","0","2863.47527856222","-1416.11270117546","122"
"88","-1","-3","-10","0.2","0.2","NaN","-1.35160443760276","-4.71594037091646","-5.95860080534168","0.425894151811699","0.280822368360667","0","2863.47534587562","-1416.11273483216","15"
"89","-3","-4","-7.5","0.2","0.2","NaN","-1.35162879813668","-4.71646794874044","-5.95634409800989","0.426002570463776","0.280845967779562","0","2863.47544000128","-1416.11278189499","56"
"90","-2","-2","-5","0.2","0.2","NaN","-1.35139439288155","-4.71647176674499","-5.95663907922292","0.426033273534234","0.28085692794151","0","2863.47530110859","-1416.11271244864","118"
"91","-2.5","-3","-5","0.2","0.2","NaN","-1.35269771432317","-4.71949653285459","-5.95708411785234","0.426117325932515","0.280505715528241","0","2863.47774656471","-1416.11393517671","112"
"92","-1.5","-3","-7.5","0.2","0.2","NaN","-1.35163700146304","-4.71643378734043","-5.95782889655692","0.425999506081759","0.280836251606232","0","2863.4752766694","-1416.11270022905","64"
"93","-2.5","-2","-7.5","0.2","0.2","NaN","-1.35126753307475","-4.71423039285022","-5.95760284545006","0.426081724421033","0.280764660000515","0","2863.47547954383","-1416.11280166627","67"
"94","-1","-5","-5","0.2","0.2","NaN","-1.35199001035868","-4.71481654235876","-5.95905414391656","0.425799614686327","0.28078867063897","0","2863.47582896607","-1416.11297637739","105"
"95","-3","-3","-8.75","0.2","0.2","NaN","-1.35165968144828","-4.71725979539854","-5.95915606333491","0.425911809092215","0.280790988058976","0","2863.47543713795","-1416.11278046333","36"
"96","-3","-4","-6.25","0.2","0.2","NaN","-1.35162879813668","-4.71646794874044","-5.95634409800989","0.426002570463776","0.280845967779562","0","2863.47544000128","-1416.11278189499","81"
"97","-1","-2","-10","0.2","0.2","NaN","-1.35150451512173","-4.71634880128903","-5.95753978167745","0.425931092375491","0.280818887291477","0","2863.47529087315","-1416.11270733093","20"
"98","-2","-4","-7.5","0.2","0.2","NaN","-1.35083362524964","-4.7160366188458","-5.95577347005773","0.426122825209445","0.280944884733891","0","2863.4755947871","-1416.1128592879","58"
