"","a_log","h_log","log_w","kr_log","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"35","-2","-5","-5","-1.125","0.2","0.2","NaN","-1.39143893788383","-4.16081685400284","0.5297657844768","-12.4552264726602","0.42507561957873","0.280775123438788","0","2867.36326566123","-1414.93170710383","478"
"36","-2.5","-2","-10","-2.375","0.2","0.2","NaN","-1.0809551149603","-4.12348923232514","0.319473103728244","-5.75978617348351","0.407622055996921","0.279770034635745","0","2819.34675605104","-1390.92345229874","142"
"37","-1.5","-1","-7.5","-2.375","0.2","0.2","NaN","-1.09033649290158","-4.1388233564394","0.347984957586275","-5.81015307416297","0.405815234315926","0.280782161955349","0","2819.23743779154","-1390.86879316899","199"
"38","-2","-2","-10","-0.5","0.2","0.2","NaN","-1.09311408241206","-4.1382789766176","0.346247259429008","-5.8196891919578","0.40551349011998","0.281059559024036","0","2819.24118356294","-1390.87066605469","518"
"39","-1.5","-3","-10","-0.5","0.2","0.2","NaN","-1.11856873268454","-4.12566962837303","1.54270213370953","-6.56850193027879","0.419895843210084","0.283837421398886","0","2839.32680651143","-1400.91347752894","514"
"40","-1.5","-2","-7.5","-1.75","0.2","0.2","NaN","-1.39055252017167","-4.15777899576156","0.485152979395189","-10.9255983037166","0.424791647533692","0.280812711783388","0","2866.65697504835","-1414.57856179739","319"
"41","-1","-3","-6.25","-3","0.2","0.2","NaN","-1.09088211976482","-4.1387398339832","0.344735276367068","-5.81254533941468","0.405865442884622","0.280750833896485","0","2819.23743117117","-1390.86878985881","90"
"42","-3","-4","-8.75","-1.75","0.2","0.2","NaN","-1.39625366577672","-4.21316116081141","0.383623662083656","-9.37611370730551","0.423243190081696","0.280861459527842","0","2863.50957922861","-1413.00486388753","281"
"43","-3","-3","-7.5","-1.75","0.2","0.2","NaN","-1.09206433649425","-4.14156284767435","0.36355304441432","-5.80857459186187","0.405323175279588","0.281193371490162","0","2819.2501486808","-1390.87514861362","311"
"44","-3","-5","-10","-1.75","0.2","0.2","NaN","-1.39390003320862","-4.17903440058525","0.488243923776528","-10.5575193345738","0.424493723042013","0.280768915198741","0","2866.24873210257","-1414.37444032451","251"
"45","-1","-3","-5","-1.125","0.2","0.2","NaN","-1.09587637982852","-4.14766214152587","0.218508642185358","-5.79534266603343","0.405562929578464","0.280589030927389","0","2819.39805299042","-1390.94910076843","490"
"46","-1.5","-3","-10","-2.375","0.2","0.2","NaN","-1.09034224468447","-4.13743743063072","0.34974934409101","-5.81389207908647","0.405788545152663","0.280775342052258","0","2819.23736249957","-1390.86875552301","139"
"47","-2","-2","-5","-1.75","0.2","0.2","NaN","-1.08970426932818","-4.13912239036469","0.348137880661224","-5.81023614777489","0.405855118935799","0.280742323966752","0","2819.23754754032","-1390.86884804338","368"
"48","-1.5","-1","-8.75","-3","0.2","0.2","NaN","-1.09049126778498","-4.13823758114584","0.348761941524916","-5.81331027530855","0.405797609903602","0.280809028193608","0","2819.23730373867","-1390.86872614256","49"
"49","-1","-4","-10","-1.125","0.2","0.2","NaN","-1.16597288572298","-4.26675959786873","-0.506411968180907","-5.80716575991428","0.4082274256624","0.279645749736242","0","2825.43055599949","-1393.96535227297","385"
"50","-1","-3","-6.25","-1.75","0.2","0.2","NaN","-1.09104836214229","-4.13731582970722","0.346942853034033","-5.81529642753378","0.405814880278148","0.280705837177092","0","2819.23767034779","-1390.86890944711","340"
