"","a_log","h12","h_log","sigma","sigma2","error","a_log.est","h_log.est","h12.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"83","-1","-2e-04","-5","0.2","0.2","NaN","-1.5999812732318","-4.26153464058729","1.85727695022016e-05","0.471774800661955","0.269898400888159","0","2917.26341215938","-1443.00676797404","15"
"84","-2","-5e-05","-4","0.2","0.2","NaN","-1.60978852559457","-5.09800615207997","5.33795452084345e-05","0.441295017711316","0.280787266418815","0","2899.98043601106","-1434.36527989988","43"
"85","-1","-2e-04","-3","0.2","0.2","NaN","700.680157307421","-734.799811828536","-1111.61241363842","0.692320971744177","0.280525207744335","0","3366.43247619271","-1667.5912999907","65"
"86","-2.5","1e-04","-4","0.2","0.2","NaN","-1.61771341884497","-5.18821188343662","5.55069595859512e-05","0.437769837107199","0.278551703428729","0","2900.22294039555","-1434.48653209212","47"
"87","-1.5","-2e-04","-3","0.2","0.2","NaN","-1.55953399838253","-3.50486363419463","-1.79503199583805e-05","0.45462426502373","0.297769307935417","0","2960.33474915714","-1464.54243647292","64"
"88","-1.5","-0.00035","-4","0.2","0.2","NaN","-1.53493628767083","-3.83402454465369","5.67968194369313e-06","0.456905547155022","0.277207555461931","0","2932.8778096281","-1450.8139667084","34"
"89","-1","-5e-04","-4","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","30"
"90","-1","1e-04","-4","0.2","0.2","NaN","-1.6098493861343","-5.09620500611193","5.31967525818388e-05","0.441207759777919","0.280732210919071","0","2899.98061066281","-1434.36536722576","50"
"91","-1.5","-0.00035","-3","0.2","0.2","NaN","-1.6102609443392","-5.09664793043562","5.32601019030522e-05","0.441182453404122","0.280750430812275","0","2899.98060968175","-1434.36536673523","59"
"92","-3","-5e-05","-1","0.2","0.2","NaN","-3.07147111375252","-1.24339000708216","-0.0286751160414537","0.659385397073188","0.279447392212232","0","3314.69300232538","-1641.72156305704","116"
"93","-2","-5e-04","-3","0.2","0.2","NaN","-2.2655128021712","-3.85793997956682","-4.34158423448021e-05","0.495913628585414","0.267334920268338","0","3055.58507376037","-1512.16759877454","53"
"94","-3","-2e-04","-4","0.2","0.2","NaN","-1.57166993358859","-4.27356896730171","2.2994074435132e-05","0.445709791325676","0.281996009732829","0","2911.96045507489","-1440.3552894318","36"
"95","-1","-2e-04","-4","0.2","0.2","NaN","-1.60656663236265","-4.52523083079981","2.92844027433788e-05","0.434344028701957","0.285748845981676","0","2906.17009666667","-1437.46011022769","40"
"96","-2.5","-0.00035","-3","0.2","0.2","NaN","-1.5680378177123","-4.65408145051156","4.15680272466492e-05","0.446868688575078","0.281954749047267","0","2903.33346955031","-1436.04179666951","57"
"97","-1","1e-04","-3","0.2","0.2","NaN","-1.16349825161069","-3.03848367597846","3.64588730044156e-05","0.563313604519539","0.289478601187313","0","3060.65088325759","-1514.70050352315","75"
"98","-3","-2e-04","-1","0.2","0.2","NaN","-3.09315549207437","-1.09924905729957","-0.0303654004311695","0.660341396548885","0.303780996923048","0","3320.72790085116","-1644.73901231993","111"
