"","a_log","h_log","log_w","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"59","-3","-1","-8.75","0.2","0.2","NaN","-1.3030846782423","-4.50942668460475","-5.72697548655403","0.424904629751484","0.280810304417806","0","2860.6315004052","-1414.69081209695","46"
"60","-2","-2","-10","0.2","0.2","NaN","-1.30310091377164","-4.51184938372337","-5.72391386292657","0.424748980596855","0.28068393358675","0","2860.63180679882","-1414.69096529376","18"
"61","-1.5","-3","-10","0.2","0.2","NaN","-1.30343307433749","-4.51117702987007","-5.72632463658765","0.424832006039734","0.280832474933724","0","2860.63130225026","-1414.69071301948","14"
"62","-1","-2","-6.25","0.2","0.2","NaN","-1.30392233732881","-4.51123724781991","-5.72775449637156","0.424814694515975","0.280848533655385","0","2860.63138127418","-1414.69075253144","95"
"63","-1.5","-5","-10","0.2","0.2","NaN","-1.30309706663895","-4.51052096222844","-5.72439799527963","0.4249191662193","0.280908790480583","0","2860.63155757155","-1414.69084068013","4"
"64","-1","-5","-8.75","0.2","0.2","NaN","-1.30429321587701","-4.51106970761012","-5.72766661692869","0.424684328330343","0.280928987055654","0","2860.63188429737","-1414.69100404304","30"
"65","-2","-3","-8.75","0.2","0.2","NaN","-1.30334544962458","-4.511202908951","-5.72642903186745","0.424759710464444","0.280889778032864","0","2860.63135588354","-1414.69073983612","38"
"66","-2","-1","-8.75","0.2","0.2","NaN","-1.30359095819635","-4.51185373456104","-5.72600338206043","0.424737062955653","0.280774666608704","0","2860.63144334221","-1414.69078356546","48"
"67","-2.5","-2","-6.25","0.2","0.2","NaN","-1.30333332689464","-4.51088052706393","-5.72648540465217","0.424768244896154","0.280837342271724","0","2860.63131563923","-1414.69071971397","92"
"68","-3","-1","-6.25","0.2","0.2","NaN","-1.3030846782423","-4.50942668460475","-5.72697548655403","0.424904629751484","0.280810304417806","0","2860.6315004052","-1414.69081209695","96"
"69","-1.5","-3","-6.25","0.2","0.2","NaN","-1.30343307433749","-4.51117702987007","-5.72632463658765","0.424832006039734","0.280832474933724","0","2860.63130225026","-1414.69071301948","89"
"70","-3","-5","-8.75","0.2","0.2","NaN","-1.30300173306516","-4.51138979676116","-5.72472536513049","0.42480612080134","0.28082277939966","0","2860.63136962519","-1414.69074670695","26"
"71","-1","-3","-8.75","0.2","0.2","NaN","-1.30379871934436","-4.51199499169115","-5.72796894428659","0.424933588652568","0.280835566228509","0","2860.63142579679","-1414.69077479275","40"
"72","-2","-4","-7.5","0.2","0.2","NaN","-1.30335445408786","-4.51090070288675","-5.72667818815504","0.424827338040352","0.280841471368049","0","2860.63130057566","-1414.69071218218","58"
"73","-2.5","-3","-6.25","0.2","0.2","NaN","-1.30325056137095","-4.51191110474694","-5.72618395755141","0.424811936651589","0.280849665567153","0","2860.63134453996","-1414.69073416433","87"
"74","-1.5","-2","-7.5","0.2","0.2","NaN","-1.30365092150727","-4.51194989047421","-5.72739633067301","0.424714358531108","0.280781896018399","0","2860.63143195104","-1414.69077786987","69"
"75","-3","-4","-7.5","0.2","0.2","NaN","-1.30317846873887","-4.51084084106872","-5.72559212015916","0.424838890277529","0.280855142611449","0","2860.63132374306","-1414.69072376588","56"
"76","-1.5","-2","-6.25","0.2","0.2","NaN","-1.30424186538811","-4.51230268757023","-5.72803485981166","0.42478626257509","0.280763697832544","0","2860.63156491047","-1414.69084434959","94"
"77","-1","-1","-10","0.2","0.2","NaN","-1.30368711892959","-4.51236700197632","-5.72783680688981","0.424940880273833","0.280816965559324","0","2860.63147362776","-1414.69079870823","25"
"78","-2","-3","-10","0.2","0.2","NaN","-1.30295173337238","-4.50966252913682","-5.72468487560558","0.424667919240938","0.280833588195337","0","2860.63159591828","-1414.69085985349","13"
"79","-3","-1","-5","0.2","0.2","NaN","-1.30331180516537","-4.50928913936895","-5.72709789930745","0.424853527118484","0.280795747250408","0","2860.63149341942","-1414.69080860406","121"
"80","-1.5","-4","-7.5","0.2","0.2","NaN","-1.30338185239522","-4.51184467870339","-5.72635266700702","0.424821971698131","0.28082157316379","0","2860.63131981616","-1414.69072180243","59"
"81","-3","-3","-10","0.2","0.2","NaN","-1.30325280085602","-4.51162526442578","-5.72689982109028","0.424796918294692","0.280796089822127","0","2860.63138055136","-1414.69075217003","11"
"82","-1","-1","-8.75","0.2","0.2","NaN","-1.30368711892959","-4.51236700197632","-5.72783680688981","0.424940880273833","0.280816965559324","0","2860.63147362776","-1414.69079870823","50"
"83","-2","-5","-5","0.2","0.2","NaN","-1.30340831558122","-4.51087981108446","-5.72698127652121","0.424826296053469","0.280819078136542","0","2860.63130821181","-1414.69071600025","103"
"84","-1","-3","-10","0.2","0.2","NaN","-1.30316422059616","-4.51037258894914","-5.72625300639291","0.424893784747192","0.280851125956966","0","2860.63136005979","-1414.69074192425","15"
"85","-2","-2","-6.25","0.2","0.2","NaN","-1.30346958581412","-4.50953598641994","-5.72739896426024","0.42489203687109","0.280805939534895","0","2860.63148926856","-1414.69080652863","93"
"86","-3","-2","-5","0.2","0.2","NaN","-1.30379859652291","-4.51382676589644","-5.72528207012416","0.424743937920331","0.280727308819795","0","2860.6318888768","-1414.69100633275","116"
"87","-2.5","-2","-10","0.2","0.2","NaN","-1.30660744214589","-4.51534209527464","-5.73758649744051","0.424816596160559","0.280901490705761","0","2860.63426155824","-1414.69219267347","17"
"88","-2","-1","-5","0.2","0.2","NaN","-1.30366965869257","-4.51189274244693","-5.72605537769351","0.424837203059739","0.2808403620429","0","2860.6313784159","-1414.6907511023","123"
"89","-1.5","-1","-6.25","0.2","0.2","NaN","-1.30310535675596","-4.51050166630894","-5.72557253383322","0.42476328934519","0.280870758005327","0","2860.63136598739","-1414.69074488805","99"
"90","-1.5","-3","-8.75","0.2","0.2","NaN","-1.30284069320912","-4.51257005457007","-5.72157685862222","0.424781036849008","0.280856738563351","0","2860.63195786294","-1414.69104082582","39"
"91","-3","-2","-7.5","0.2","0.2","NaN","-1.30379859652291","-4.51382676589644","-5.72528207012416","0.424743937920331","0.280727308819795","0","2860.6318888768","-1414.69100633275","66"
"92","-1.5","-2","-10","0.2","0.2","NaN","-1.30424186538811","-4.51230268757023","-5.72803485981166","0.42478626257509","0.280763697832544","0","2860.63156491047","-1414.69084434959","19"
"93","-2","-4","-8.75","0.2","0.2","NaN","-1.30326548810204","-4.51093071508947","-5.7260657120539","0.42482491866619","0.280816523588102","0","2860.63130703314","-1414.69071541092","33"
"94","-1","-3","-6.25","0.2","0.2","NaN","-1.30316422059616","-4.51037258894914","-5.72625300639291","0.424893784747192","0.280851125956966","0","2860.63136005979","-1414.69074192425","90"
"95","-3","-5","-7.5","0.2","0.2","NaN","-1.30294120243637","-4.51115499309554","-5.724536890037","0.424881779744725","0.280828996843659","0","2860.63139692376","-1414.69076035623","51"
"96","-2.5","-2","-5","0.2","0.2","NaN","-1.30660744214589","-4.51534209527464","-5.73758649744051","0.424816596160559","0.280901490705761","0","2860.63426155824","-1414.69219267347","117"
"97","-1","-1","-7.5","0.2","0.2","NaN","-1.30368711892959","-4.51236700197632","-5.72783680688981","0.424940880273833","0.280816965559324","0","2860.63147362776","-1414.69079870823","75"
"98","-3","-5","-5","0.2","0.2","NaN","-1.30294120243637","-4.51115499309554","-5.724536890037","0.424881779744725","0.280828996843659","0","2860.63139692376","-1414.69076035623","101"
