"","a_log","h_log","log_w","kr_log","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"51","-2","-3","-8.75","-2.375","0.2","0.2","NaN","-1.64841373619333","-3.33876506621228","-6.95409382587027","-4.59429801782305","0.240809575447851","0.24199345075539","0","1899.21223198693","-930.764928476585","163"
"52","-2","-4","-10","-1.125","0.2","0.2","NaN","-1.65081092887916","-3.33745731198192","-5.07486472723065","-4.60375580110074","0.240695012429679","0.24200840810301","0","1899.07129475838","-930.694459862312","383"
"53","-1.5","-5","-7.5","-3","0.2","0.2","NaN","-1.64685184762753","-3.33623581847391","-11.5791941545334","-4.59060734052509","0.240810513258922","0.242033885834549","0","1899.23878022242","-930.778202594329","54"
"54","-3","-1","-10","-3","0.2","0.2","NaN","-1.58429157738402","-3.23797112785446","-1.43312814820182","-4.597628611505","0.240450256530027","0.242262895679953","0","1896.52502229723","-929.421323631737","21"
"55","-2.5","-3","-10","-2.375","0.2","0.2","NaN","-1.58404000442048","-3.24249596635981","-1.42930381021526","-4.59972676294114","0.240211584665548","0.242050288759511","0","1896.51951541861","-929.418570192423","137"
"56","-2.5","-4","-8.75","-1.75","0.2","0.2","NaN","-1.58272802024782","-3.24454677522148","-1.42980700721108","-4.5957206474874","0.240058787656135","0.242160233301392","0","1896.5206182884","-929.419121627319","282"
"57","-2.5","-2","-8.75","-0.5","0.2","0.2","NaN","-1.5830448581473","-3.24218766058502","-1.41850370542342","-4.59883610883696","0.24014023998736","0.241988275984561","0","1896.51958671781","-929.418605842024","542"
"58","-2.5","-1","-8.75","-1.75","0.2","0.2","NaN","-1.58372877203069","-3.24116256562266","-1.43683641056075","-4.60025046264763","0.24013289570165","0.24200561278599","0","1896.51988441969","-929.418754692964","297"
"59","-2.5","-1","-7.5","-3","0.2","0.2","NaN","-1.64489847073536","-3.3342740004864","-3.73841693349306","-4.60369833861175","0.240436982842439","0.242382341855329","0","1898.6350658445","-930.47634540537","72"
"60","-2.5","-3","-10","-1.125","0.2","0.2","NaN","-1.5836789405472","-3.2423092744337","-1.42434561862421","-4.59959948334285","0.240103500120832","0.242046236917629","0","1896.51944808734","-929.418536526787","387"
"61","-1","-3","-6.25","-1.125","0.2","0.2","NaN","-1.64983046739173","-3.3408669615727","-4.31110557953907","-4.60843721978396","0.240718010462795","0.242019805227292","0","1898.89004938462","-930.603837175429","465"
"62","-1","-2","-6.25","-2.375","0.2","0.2","NaN","-1.63414077130326","-3.31343356067048","-2.80091425369166","-4.60939688373109","0.24040489594784","0.242119600242279","0","1897.87798068723","-930.097802826736","220"
"63","-2","-2","-10","-3","0.2","0.2","NaN","-1.58422859499756","-3.24136154951685","-1.36212881441737","-4.60550332975981","0.239960876853119","0.242118038190302","0","1896.52933487769","-929.423479921965","18"
"64","-1.5","-5","-8.75","-1.125","0.2","0.2","NaN","-1.64834363115223","-3.33919089410705","-9.22302688291286","-4.59360676604458","0.240786509929708","0.242005839397395","0","1899.23601996068","-930.776822463458","404"
"65","-2.5","-5","-5","-0.5","0.2","0.2","NaN","-1.64806865693096","-3.33849930492708","-8.56625095393895","-4.59385003795517","0.240759717744821","0.242021849533039","0","1899.2334108533","-930.775517909769","602"
"66","-1","-1","-10","-2.375","0.2","0.2","NaN","-1.64681349424209","-3.33472198535394","-5.22692817008546","-4.59586583672374","0.240735548034999","0.24211187471072","0","1899.09145222636","-930.704538596297","150"
"67","-1.5","-1","-5","-0.5","0.2","0.2","NaN","-1.58408720415117","-3.24346719812834","-1.42860517494336","-4.59977862940454","0.240207971735912","0.242022142918868","0","1896.51954721465","-929.418586090446","624"
"68","-1.5","-2","-6.25","-0.5","0.2","0.2","NaN","-1.58391703295347","-3.24074008139314","-1.42591636243018","-4.60082859976419","0.240124486283264","0.242086784513221","0","1896.51962596306","-929.41862546465","594"
"69","-2","-1","-10","-1.75","0.2","0.2","NaN","-1.63863069377249","-3.32020734515401","-2.92047029518776","-4.61571244848156","0.240444853323565","0.242141804412429","0","1898.00967982755","-930.163652396897","273"
"70","-1.5","-4","-10","-2.375","0.2","0.2","NaN","-1.64812063298101","-3.33813373112667","-5.66660070233691","-4.59578188330692","0.240762690528337","0.242035995641376","0","1899.1433133349","-930.730469150571","134"
"71","-2","-4","-8.75","-1.75","0.2","0.2","NaN","-1.65116874212307","-3.33801461327645","-4.86462150869147","-4.60489153936867","0.240620121507926","0.241855824979498","0","1899.0343095368","-930.67596725152","283"
"72","-1","-3","-10","-3","0.2","0.2","NaN","-1.64852256860679","-3.33914616374572","-7.08559808327804","-4.59460190511972","0.24070566715148","0.242021329418507","0","1899.21552267475","-930.766573820495","15"
"73","-1","-2","-8.75","-3","0.2","0.2","NaN","-1.61484277029815","-3.29033129902457","-1.97825792802453","-4.61093931372833","0.240226085822524","0.241953142181557","0","1896.91327647945","-929.615450722846","45"
"74","-1.5","-2","-8.75","-0.5","0.2","0.2","NaN","-1.58391703295347","-3.24074008139314","-1.42591636243018","-4.60082859976419","0.240124486283264","0.242086784513221","0","1896.51962596306","-929.41862546465","544"
