"","a_log","h_log","h12","log_w","sigma","sigma2","error","a_log.est","h_log.est","h12.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"33","-1","-5","1e-04","-7.5","0.2","0.2","NaN","-1.76384406301161","-1.99191091833986","0.000590554095679356","-11.0413034203785","0.281267530016782","0.269477385676194","0","2094.44423597474","-1028.38093047049","355"
"34","-3","-3","-0.00035","-10","0.2","0.2","NaN","-2.03583326289436","-27.5091785736402","0.000580836357600666","-5.80711206587429","0.245765351446301","0.241991976611987","0","1921.15913324228","-941.738379104258","36"
"35","-1.5","-3","-0.00035","-6.25","0.2","0.2","NaN","-2.0227702602817","-6.4306437421787","0.000568780010553894","-5.86665765229452","0.245161952613114","0.242315266445397","0","1916.64430117667","-939.480963071455","414"
"36","-2","-5","-5e-04","-7.5","0.2","0.2","NaN","-2.03678236772903","-9.08456951815461","0.000580813417705363","-5.82253925033525","0.245717123373227","0.241684188784163","0","1920.80670591054","-941.562165438392","253"
"37","-1","-3","1e-04","-10","0.2","0.2","NaN","-2.17810296482456","-0.947309063228889","-0.00167866111070176","-11.612784009168","0.305023769225469","0.242015469214509","0","2142.91985536875","-1052.6187401675","115"
"38","-2","-3","-5e-05","-5","0.2","0.2","NaN","-2.03416918834381","-9.37443509673056","0.000581417952084383","-5.81655883114883","0.245747138554339","0.242034957771068","0","1920.89257684581","-941.605100906027","588"
"39","-1.5","-2","-5e-05","-10","0.2","0.2","NaN","-2.18687816143419","-9.84429032714901","0.000737101008700073","-13.122167810342","0.251902340723859","0.242060292229982","0","1947.54868950339","-954.933157234813","94"
"40","-2","-2","-0.00035","-6.25","0.2","0.2","NaN","-2.03797226435658","-5.72281538925106","0.000546417192838387","-6.00120135263224","0.244447656748495","0.241367299321051","0","1913.87946167015","-938.098543318197","418"
"41","-1","-3","-0.00035","-6.25","0.2","0.2","NaN","-2.16449434155846","-0.903762706624121","-0.00174708966105729","-10.0728078143385","0.301780145837984","0.249789670789809","0","2143.8161149048","-1053.06686993552","415"
"42","-2","-2","1e-04","-7.5","0.2","0.2","NaN","-2.14589616062116","-4.99575131358328","0.000693117960891438","-22.6546522032903","0.2511465666554","0.242033891431074","0","1944.19844796466","-953.258036465447","368"
"43","-2.5","-4","-5e-04","-10","0.2","0.2","NaN","-1.81764625321374","-4.065645790711","0.00032341431170246","-5.14138061709354","0.240070386675097","0.241097968932315","0","1894.55965299523","-928.438638980735","7"
"44","-2.5","-1","-2e-04","-10","0.2","0.2","NaN","-2.00126004400768","-5.06507507895072","0.000533471227149178","-6.0319107884097","0.241059962642124","0.241132351932519","0","1909.51200265618","-935.914813811208","72"
"45","-1","-5","1e-04","-5","0.2","0.2","NaN","-1.76384406301161","-1.99191091833986","0.000590554095679356","-11.0413034203785","0.281267530016782","0.269477385676194","0","2094.44423597474","-1028.38093047049","605"
"46","-1","-1","-5e-05","-7.5","0.2","0.2","NaN","-1.49136187603631","-3.08115827655815","2.30536608410905e-05","-4.33844687838722","0.239762868780911","0.246526601669218","0","1904.01113382019","-933.164379393215","350"
