"","a_log","h12","h_log","kr_log","sigma","sigma2","error","a_log.est","h_log.est","h12.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"78","-3","-5e-05","-5","-3","0.2","0.2","NaN","-2.18904686539906","-3432.38793889922","0.000736272277536321","-6585.46114393513","0.251937382237564","0.242019771486573","0","1947.66498998138","-954.991307473811","16"
"79","-2.5","-5e-05","-4","-1.75","0.2","0.2","NaN","-1.78141825508872","-3.87097157812428","0.000874027359841272","0.181269617790154","0.246402668521292","0.241616942428649","0","1917.0470416306","-939.682333298418","292"
"80","-3","-5e-05","-1","-3","0.2","0.2","NaN","-2.93833730434621","-1.91370932756405","-0.149006022815718","-2.25096719365119","0.351973365336456","0.242642539597032","0","2305.26761464199","-1133.79261980411","116"
"81","-1.5","-2e-04","-5","-0.5","0.2","0.2","NaN","-1.91552923864304","-4.66531036663729","0.000853389424938557","-0.257347127470565","0.244893032095764","0.241779704525878","0","1917.77401322294","-940.045819094588","514"
"82","-2","-2e-04","-5","-1.125","0.2","0.2","NaN","-1.84478523590864","-3.89274661865106","0.00081194081345113","0.039915438888206","0.245118662083195","0.241677411227515","0","1917.21444846564","-939.766036715939","388"
"83","-1.5","-0.00035","-1","-2.375","0.2","0.2","NaN","-1.73871427258752","-3.81872515225513","0.00088842967994738","0.52613413505458","0.245065316528527","0.241790072820781","0","1918.43042930038","-940.374027133311","234"
"84","-1.5","-5e-04","-5","-0.5","0.2","0.2","NaN","-1.91272097631509","-4.65883288375162","0.000854279318144036","-0.241449689945054","0.244815258801931","0.241836559389165","0","1917.69434683012","-940.005985898182","504"
"85","-2.5","-5e-04","-4","-2.375","0.2","0.2","NaN","-1.97141853190297","-5.20404157962638","0.00084117173108337","-0.257911851138658","0.245565309220978","0.241979337127675","0","1920.9821222612","-941.649873613721","152"
"86","-1","-5e-05","-5","-0.5","0.2","0.2","NaN","-1.86452937345614","-4.56649711678245","0.000885430742472058","0.121170079492126","0.244776003917971","0.241465447864027","0","1917.14923623292","-939.733430599582","520"
"87","-2","-2e-04","-4","-1.75","0.2","0.2","NaN","-1.87357387808665","-4.37512662075994","0.000856357258417209","-0.0351681110670893","0.244581774435271","0.241869177592858","0","1916.23420669526","-939.275915830751","288"
"88","-2","1e-04","-3","-1.75","0.2","0.2","NaN","-1.81430689772258","-4.06811939962514","0.000869067991519002","0.171205847004941","0.24480310536517","0.242130199309717","0","1916.10658292005","-939.212103943142","323"
"89","-2.5","-0.00035","-5","-0.5","0.2","0.2","NaN","-1.95096159211486","-4.40332907631258","0.000796552919592305","-0.716766422959065","0.245534183786742","0.242788759450295","0","1920.32622262577","-941.321923796007","507"
"90","-2","-2e-04","-3","-2.375","0.2","0.2","NaN","-2.15699400477439","-4.91553089730965","0.000668449118109982","-1.41005390595383","0.249289987193328","0.24075669787342","0","1932.34980562889","-947.333715297567","188"
"91","-1.5","1e-04","-3","-1.75","0.2","0.2","NaN","-2.12980776303505","-4.69991428861105","0.000683131431572317","-4.27095480581512","0.250921991549733","0.241978782128193","0","1943.09465173262","-952.706138349428","324"
"92","-2","-5e-05","-3","-2.375","0.2","0.2","NaN","-2.13793327181339","-4.83646086531417","0.000688801507803179","-4.9066341061997","0.250924098000633","0.242091977576832","0","1943.54009948973","-952.928862227986","193"
"93","-1","-2e-04","-4","-2.375","0.2","0.2","NaN","-1.9359765153204","-4.71434619742421","0.000838718568154175","-0.34920428099316","0.244977105322482","0.241786561205257","0","1918.36260843115","-940.340116698693","165"
"94","-2.5","-0.00035","-4","-0.5","0.2","0.2","NaN","-1.95421150162101","-4.94923827321339","0.000838590702306446","-0.238658470861093","0.245200959699939","0.241589585204272","0","1919.36881816984","-940.843221568038","532"
"95","-1","-5e-05","-2","-1.125","0.2","0.2","NaN","-0.915692405078998","-2.34057500623704","0.00113382090047543","1.60880665301421","0.256425771988987","0.231069302304201","0","1982.8913713403","-972.604498153267","470"
"96","-1.5","-5e-05","-2","-1.125","0.2","0.2","NaN","-1.84093230199059","-4.18761822883744","0.000860872276164265","0.0725713619956807","0.24451515539433","0.242037750094424","0","1915.93367771229","-939.125651339267","469"
"97","-1","-5e-05","-5","-3","0.2","0.2","NaN","-1.79915422954562","-3.96885787187624","0.000867373364046869","0.168792580635767","0.244738689965488","0.241957073980019","0","1916.42330416513","-939.370464565685","20"
"98","-2","-0.00035","-2","-1.75","0.2","0.2","NaN","-2.14641632863304","-4.99427038080993","0.000692104277879361","-16.1593871269811","0.251138441889453","0.242058034683744","0","1944.19851172041","-953.258068343324","333"
