"","a_log","h_log","log_w","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"78","-2","-3","-10","0.2","0.2","NaN","-1.6481785160368","-3.33907206606193","-4.59403880404687","0.240783844039724","0.242032683126912","0","1892.95841093846","-930.778215871828","13"
"79","-3","-1","-5","0.2","0.2","NaN","-1.64751822298376","-3.33805855329344","-4.59236621458117","0.240777990524114","0.24201684608426","0","1892.95834921449","-930.778185009845","121"
"80","-1.5","-4","-7.5","0.2","0.2","NaN","-1.6480794245598","-3.33853375665199","-4.59349414904961","0.240748394007677","0.242065448153182","0","1892.95834119545","-930.778181000323","59"
"81","-3","-3","-10","0.2","0.2","NaN","-1.64774299776397","-3.33748166924816","-4.59321057468305","0.240799264780214","0.242058638483866","0","1892.95836383327","-930.778192319235","11"
"82","-1","-1","-8.75","0.2","0.2","NaN","-1.64842487333169","-3.33858490792086","-4.59360073254474","0.240748089947864","0.241934630838855","0","1892.95852954891","-930.778275177055","50"
"83","-2","-5","-5","0.2","0.2","NaN","-1.64799553053094","-3.33811659041956","-4.59281090377414","0.24079495064206","0.242018161290526","0","1892.95833820448","-930.778179504838","103"
"84","-1","-3","-10","0.2","0.2","NaN","-1.64714551613274","-3.3381475489194","-4.59072964082325","0.240750402056947","0.241954978554815","0","1892.95859159273","-930.778306198965","15"
"85","-2","-2","-6.25","0.2","0.2","NaN","-1.64781752251155","-3.33808633172738","-4.59283645588417","0.240780137212734","0.242028052586271","0","1892.95831413817","-930.778167471682","93"
"86","-3","-2","-5","0.2","0.2","NaN","-1.64791623901918","-3.33661534569202","-4.59402543406866","0.240856291717526","0.242004782787637","0","1892.95861119786","-930.778316001529","116"
"87","-2.5","-2","-10","0.2","0.2","NaN","-1.64804410335181","-3.33767692022136","-4.5939387153407","0.240743553263361","0.242052141387304","0","1892.95835366919","-930.778187237195","17"
"88","-2","-1","-5","0.2","0.2","NaN","-1.64897825261878","-3.33927660310419","-4.59464885686406","0.240550561235095","0.242065988253773","0","1892.9593129135","-930.778666859351","123"
"89","-1.5","-1","-6.25","0.2","0.2","NaN","-1.64800639617892","-3.33809818853697","-4.59369794173995","0.240740872362316","0.24204218190332","0","1892.9583367385","-930.778178771847","99"
"90","-1.5","-3","-8.75","0.2","0.2","NaN","-1.64846115705853","-3.33833351628138","-4.5942918497609","0.240796325840132","0.241994403525586","0","1892.95839575918","-930.778208282191","39"
"91","-3","-2","-7.5","0.2","0.2","NaN","-1.64791623901918","-3.33661534569202","-4.59402543406866","0.240856291717526","0.242004782787637","0","1892.95861119786","-930.778316001529","66"
"92","-1.5","-2","-10","0.2","0.2","NaN","-1.64788739216703","-3.33811743597187","-4.59276895051543","0.240778383502943","0.242044627267424","0","1892.9583139482","-930.778167376698","19"
"93","-2","-4","-8.75","0.2","0.2","NaN","-1.64762430031975","-3.33793805540429","-4.5925585548247","0.240777369572791","0.242015805776278","0","1892.95833252577","-930.778176665484","33"
"94","-1","-3","-6.25","0.2","0.2","NaN","-1.64714551613274","-3.3381475489194","-4.59072964082325","0.240750402056947","0.241954978554815","0","1892.95859159273","-930.778306198965","90"
"95","-3","-5","-7.5","0.2","0.2","NaN","-1.64793745030647","-3.33586932236538","-4.59293472835713","0.240774389421406","0.241939186752884","0","1892.95880583501","-930.778413320106","51"
"96","-2.5","-2","-5","0.2","0.2","NaN","-1.64804410335181","-3.33767692022136","-4.5939387153407","0.240743553263361","0.242052141387304","0","1892.95835366919","-930.778187237195","117"
"97","-1","-1","-7.5","0.2","0.2","NaN","-1.64842487333169","-3.33858490792086","-4.59360073254474","0.240748089947864","0.241934630838855","0","1892.95852954891","-930.778275177055","75"
"98","-3","-5","-5","0.2","0.2","NaN","-1.64793745030647","-3.33586932236538","-4.59293472835713","0.240774389421406","0.241939186752884","0","1892.95880583501","-930.778413320106","101"
