"","a_log","a12","h12","h_log","kr_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","h12.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"32","-1","-0.00035","1e-04","-5","-3","0.2","0.2","NaN","-1.03754663495147","-0.000710473967228345","-4.84458910511661","0.0720394684426868","-2.72005189616825","0.342508556708768","0.251212228906042","0","2257.15629770227","-1106.59676341477","110"
"33","-1","-5e-04","-0.00035","-2","-1.75","0.2","0.2","NaN","-1.11553975286135","-0.00069948559537687","-1.88230464071361","-6.45588337288166e-05","-1.67594145277105","0.320537376093719","0.280717713095068","0","2074.39301834291","-1015.2151237351","1655"
"34","-2","-2e-04","-0.00035","-2","-0.5","0.2","0.2","NaN","-1.83309740422552","-0.000352681961652131","-3.558616615415","0.000197731806134129","-2.20357380453535","0.230281857274215","0.24222553938905","0","1857.73209998888","-906.884664558081","2913"
"35","-2.5","-0.00035","-2e-04","-5","-2.375","0.2","0.2","NaN","-2.01356877583787","-0.000291698671547248","-6.18376187802358","0.000484616423346901","-3.06228863515073","0.236896409192162","0.241167344046782","0","1887.86968641247","-921.953457769872","682"
"36","-2.5","-0.00035","-5e-04","-5","-0.5","0.2","0.2","NaN","-2.49288856151479","-0.000151781439111725","-4.97110593623531","0.000149448929246318","-6.39224397864332","0.253957824416116","0.243116574200678","0","1962.52903082806","-959.283129977667","2507"
"37","-2.5","-0.00035","-5e-05","-4","-3","0.2","0.2","NaN","-1.88112467296044","-0.000337142492275886","-3.759035502672","0.000227287018197356","-4.37341248924993","0.230941789358574","0.242005811386614","0","1860.97436238804","-908.505795757658","207"
"38","-3","-5e-05","-5e-05","-1","-1.125","0.2","0.2","NaN","-2.64691297193022","-0.000304761928022174","-1.06797861517469","-0.325777588017906","-1.25076224446409","0.342232085029945","0.24340155365804","0","2278.58448218136","-1117.31085565432","2466"
"39","-3","-0.00035","1e-04","-4","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","856"
"40","-1","-0.00035","-5e-05","-3","-3","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","335"
"41","-2.5","-2e-04","-2e-04","-4","-1.125","0.2","0.2","NaN","-1.82966890380604","-0.000354376940209027","-3.44872945701433","0.000168639953754928","-2.08240576680313","0.230002710855301","0.241749504497011","0","1858.03688469689","-907.037056912087","2062"
"42","-2.5","1e-04","-5e-04","-2","-1.125","0.2","0.2","NaN","-2.28705294491991","-0.000435869389372744","-1.73280868356391","-0.157349653477263","-1.46289589555968","0.342705851388936","0.243117520277723","0","2277.08384233649","-1116.56053573189","2272"
"43","-1.5","-5e-04","-5e-04","-5","-1.75","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","1254"
"44","-3","-5e-04","-2e-04","-1","-1.125","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2426"
"45","-1.5","-5e-05","-5e-04","-2","-1.125","0.2","0.2","NaN","-1.49808961366487","-0.000502736411446156","-1.80413570273411","-0.000483407694016041","-1.22572182111759","0.258349615693477","0.239954382868552","0","1956.48379087279","-956.260510000037","2269"
"46","-2.5","-2e-04","-2e-04","-4","-2.375","0.2","0.2","NaN","-1.85671130776466","-0.000345607551089687","-3.52147574446977","0.000172571293646451","-3.19592084645768","0.230989528984807","0.241853708331536","0","1860.28975848134","-908.16349380431","812"
"47","-2","-5e-05","-5e-05","-4","-1.75","0.2","0.2","NaN","-1.80890167015453","-0.000355115619816795","-4.20478697142447","0.000406725183613128","-0.955634802653935","0.234514336875908","0.239533417686748","0","1861.66353983521","-908.850384481242","1468"
"48","-3","1e-04","-0.00035","-4","-2.375","0.2","0.2","NaN","-1.85105004628488","-0.000345894542248053","-3.79251011907954","0.000259029311905892","-2.15712814968661","0.230115064521489","0.241831068613584","0","1857.78617308101","-906.911701104143","796"
"49","-1","1e-04","-2e-04","-3","-0.5","0.2","0.2","NaN","-0.683258608717298","-0.00101229288490324","-2.796509892884","0.0546645378879711","-0.448459169021867","0.338752825071556","0.242607932876467","0","2252.5591063862","-1104.29816775674","2825"
"50","-1.5","-0.00035","-5e-04","-4","-0.5","0.2","0.2","NaN","-1.74918611934395","-0.000380892848673865","-3.4708952261971","0.000232579195718713","-0.780115767973954","0.306615590195826","0.282551960354599","0","1952.46632205857","-954.251775592924","2634"
"51","-1","-5e-04","1e-04","-1","-0.5","0.2","0.2","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","3105"
"52","-3","-0.00035","1e-04","-5","-1.125","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1981"
