"","r2_log","alpha11","alpha22","alpha12","alpha21","sigma","sigma2","error","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"29","-0.5","5e-04","5e-04","5e-04","5e-04","0.2","0.2","NaN","-1.79243354231696","0.00161576600420606","0.00203724667851302","0.00197700995028467","0.000912772305975116","0.26841111562619","0.228609868769818","0","58.4494055589146","-10.5098264219461","4"
"30","-3","0.005","0.005","0.001","5e-04","0.2","0.2","NaN","-1.81988032464995","0.00162516269634467","0.00209719123601911","0.00197842195364896","0.000932849473977395","0.263928146942636","0.229493097829414","0","58.6711570485777","-10.6207021667777","106"
"31","-1","5e-04","5e-04","0.001","5e-04","0.2","0.2","NaN","-1.81666137961008","0.00168762597571341","0.00202678756508799","0.00200646114052087","0.00099423800202649","0.269539286848014","0.229313454035179","0","59.1922196241607","-10.8812334545692","67"
"32","-1","5e-04","0.005","0.001","0.001","0.2","0.2","NaN","-1.77771366707616","0.00166658034755551","0.00204357612265387","0.0020391888792226","0.0010719099198863","0.267493961780698","0.227624659491566","0","59.0538880270067","-10.8120676559922","355"
"33","-1","0.001","0.005","0.001","0.005","0.2","0.2","NaN","-1.78906295910608","0.00165557363896122","0.00200161583103998","0.0019648125234376","0.000989238288309786","0.269175552092028","0.229340451792869","0","58.8134565315498","-10.6918519082638","751"
"34","-1","0.001","0.001","0.001","0.001","0.2","0.2","NaN","-1.8100125880548","0.00168840478652984","0.00202214578013183","0.00203378791770122","0.000971357355141769","0.269105452397653","0.229685519104268","0","59.1972941178639","-10.8837707014208","503"
"35","-0.5","0.001","0.005","0.005","0.005","0.2","0.2","NaN","-1.79299001975672","0.00158323011957576","0.00207757846282037","0.0020683113826861","0.000994300930873586","0.265641828123587","0.228472241586667","0","58.3007259508759","-10.4354866179268","688"
"36","-1","0.001","0.005","0.001","0.001","0.2","0.2","NaN","-1.81044176060177","0.00168844042097178","0.00202235753221475","0.00198816257102024","0.000973690049647749","0.268853869521254","0.22953418351666","0","59.1791950293609","-10.8747211571693","871"
"37","-5","0.001","5e-04","0.001","0.001","0.2","0.2","NaN","-3.1692215472173","0.00162741241189335","0.00202849023348417","0.00042885068783552","-0.00117183002503858","0.268567660940823","0.235553994771446","0","79.937084223704","-21.2536657543409","461"
"38","-3","0.005","0.001","0.001","0.005","0.2","0.2","NaN","-1.7509596528136","0.0015870507862918","0.00204888859259045","0.00200988540102157","0.00100092472575976","0.268339279223393","0.228101612997042","0","58.3819541727871","-10.4761007288824","634"
"39","-1","0.001","0.001","0.005","0.005","0.2","0.2","NaN","-1.73434104021515","0.00166894395929008","0.00204405989497733","0.00198899229399417","0.000966152107993739","0.271669504846014","0.22825266235323","0","59.2548899746651","-10.9125686298214","663"
"40","-3","0.001","0.001","0.005","5e-04","0.2","0.2","NaN","-1.86773087560243","0.00156473408618085","0.00204459702317558","0.00198237487142202","0.000951671957152957","0.279900936818382","0.226080811835717","0","59.1849179223744","-10.8775826036761","182"
"41","-0.5","0.001","0.005","5e-04","0.001","0.2","0.2","NaN","-1.78120472609458","0.00159884761530638","0.00202885804803192","0.00204467912777313","0.000897058434499675","0.269390460144675","0.230742408107114","0","58.4390314325558","-10.5046393587668","304"
"42","-3","0.001","0.005","0.005","0.005","0.2","0.2","NaN","-1.85308795701939","0.00166713681224487","0.00206902732919675","0.00212565711417075","0.000905491049531874","0.269640954790407","0.229005862456388","0","59.1051934734871","-10.8377203792324","686"
"43","-3","0.001","5e-04","0.001","0.001","0.2","0.2","NaN","-1.8386459869531","0.00163870353169035","0.00199656253157398","0.00191914513277662","0.000969896920612149","0.267086134050354","0.228631606420687","0","58.715151283417","-10.6426992841974","326"
"44","-0.5","0.001","0.005","0.005","0.001","0.2","0.2","NaN","-1.82613064241988","0.00161348980044725","0.00206132309093723","0.00189778485204887","0.000963013587420036","0.273227060026678","0.231184239348913","0","58.5685562977081","-10.5694017913429","944"
"45","-3","0.005","0.001","5e-04","0.001","0.2","0.2","NaN","-1.80382747617701","0.00167682528896787","0.00203680822764195","0.00212731274446799","0.000916972196500011","0.268805979689804","0.229331555041776","0","59.1115014249985","-10.8408743549881","826"
"46","-5","0.001","0.001","0.005","0.005","0.2","0.2","NaN","-1.81176025379008","0.00167900523756523","0.00202419410126735","0.00205381369614743","0.000919340811382452","0.270784035200986","0.228278623341089","0","59.1226588148513","-10.8464530499145","701"
