"","a_log","h12","h_log","sigma","sigma2","error","a_log.est","h_log.est","h12.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"46","-2.5","-2e-04","-2","0.2","0.2","NaN","-2.14596649664689","-4.99797723462615","0.000693319312998867","0.251175219873993","0.242015455592107","0","1937.91811679811","-953.258068801652","87"
"47","-1","-2e-04","-1","0.2","0.2","NaN","-2.20516928322584","-0.651946955876072","-0.0022289116378831","0.30195016341065","0.242008129053521","0","2143.92062490776","-1056.25932285648","115"
"48","-1","1e-04","-5","0.2","0.2","NaN","-2.01138923375064","-3.39413049033702","0.000633905963807688","0.259802665327009","0.236349364832952","0","1960.79546077219","-964.696740788696","25"
"49","-1.5","-2e-04","-5","0.2","0.2","NaN","-2.11075968169389","-4.30862608911088","0.000664143536163594","0.251504039782432","0.241738207451125","0","1940.07427081463","-954.336145809917","14"
"50","-1","-5e-05","-3","0.2","0.2","NaN","-2.146228145628","-4.99464209094703","0.000692363783087734","0.251089703197228","0.24201150924028","0","1937.91808217077","-953.258051487983","70"
"51","-1.5","-5e-04","-4","0.2","0.2","NaN","-2.03796237447536","-2.99569648150205","0.000557810325273812","0.267846773123191","0.244649476162377","0","1977.37332090027","-972.985670852735","29"
"52","-1.5","-5e-05","-4","0.2","0.2","NaN","-2.14627922551527","-4.9965264005832","0.000692709515641952","0.251140116417988","0.242036480495307","0","1937.9180550224","-953.258037913799","44"
"53","-2","-5e-04","-4","0.2","0.2","NaN","-2.10731146508387","-4.10166094263232","0.000644681796914947","0.250975603718825","0.24279280452262","0","1942.07263323074","-955.33532701797","28"
"54","-1","-0.00035","-1","0.2","0.2","NaN","-2.20449298202836","-0.565885810907654","-0.00242445513517537","0.305401013754154","0.238068499408006","0","2148.55553716901","-1058.5767789871","110"
"55","-1","-0.00035","-2","0.2","0.2","NaN","-1.98473704671803","-1.86925201427054","0.000414815875989972","0.276008797762728","0.24423222661657","0","2069.63106515895","-1019.11454298208","85"
"56","-2","-5e-05","-3","0.2","0.2","NaN","-2.1460320379668","-4.99826214574187","0.000693064913340378","0.251118320198759","0.242061286407008","0","1937.91806973664","-953.25804527092","68"
"57","-2.5","1e-04","-2","0.2","0.2","NaN","-2.14622527589774","-4.9964580655869","0.000692790885979789","0.251116301008704","0.242027375797839","0","1937.91804211298","-953.25803145909","97"
"58","-1.5","-5e-04","-5","0.2","0.2","NaN","-2.1082149624642","-4.25648765293715","0.0006612048601847","0.251596957318519","0.241363923227042","0","1940.50735335304","-954.552687079118","4"
"59","-2.5","-5e-04","-2","0.2","0.2","NaN","-2.14635280187092","-4.99631189819562","0.00069325411434948","0.251040985861484","0.242018293681738","0","1937.91820484504","-953.258112825117","77"
"60","-2","-2e-04","-3","0.2","0.2","NaN","-2.32742626674761","-3.32110688600706","0.000408918886279796","0.259561749457864","0.243520259439652","0","1975.11059629782","-971.854308551511","63"
"61","-1.5","-2e-04","-4","0.2","0.2","NaN","-2.14641954854632","-4.99740538868168","0.000693290174353986","0.251071053235697","0.242064300386533","0","1937.91817078262","-953.258095793909","39"
"62","-2","-5e-05","-1","0.2","0.2","NaN","-2.18896185872019","-10.1081195580969","0.000733826656173906","0.252016326449171","0.242026891901352","0","1941.33816015672","-954.968090480958","118"
"63","-1.5","1e-04","-5","0.2","0.2","NaN","-2.12667954770703","-4.46706244556832","0.000666058910455201","0.251554139678281","0.240525334230557","0","1939.07613851714","-953.837079661172","24"
"64","-3","-5e-05","-4","0.2","0.2","NaN","-2.14616721544634","-4.99965004513839","0.000691854154346015","0.25110295442499","0.242009849477547","0","1937.91823196579","-953.258126385492","41"
"65","-3","1e-04","-1","0.2","0.2","NaN","-3.20078058979249","-1.7881176700005","-0.17493242554499","0.352903575049374","0.242311488400205","0","2302.43463798423","-1135.51632939471","121"
"66","-2.5","-5e-04","-3","0.2","0.2","NaN","-2.58654381391789","-2.82452241193258","0.000238020221844698","0.278864126413172","0.246216604887656","0","2033.73109905101","-1001.16455992811","52"
"67","-2","1e-04","-2","0.2","0.2","NaN","-2.14621603917118","-4.99421356663248","0.000692027269306729","0.251127520086826","0.241944726811893","0","1937.91823015054","-953.258125477871","98"
"68","-2.5","1e-04","-1","0.2","0.2","NaN","-2.14582105971477","-4.99334073855705","0.000693119695368529","0.251140709690596","0.242029395889871","0","1937.91807244509","-953.258046625142","122"
"69","-3","1e-04","-4","0.2","0.2","NaN","-2.14622834132273","-4.99701347624512","0.000692980600777163","0.251119403087795","0.242047790404521","0","1937.91805054325","-953.258035674225","46"
"70","-1.5","-5e-04","-1","0.2","0.2","NaN","-1.73300671845275","-0.543375641838021","-0.00224617009015091","0.314840076816117","0.245318310137884","0","2194.32530681431","-1081.46166380975","104"
"71","-2.5","-5e-04","-5","0.2","0.2","NaN","-2.1608350692314","-3.59057287209803","0.00054329867742338","0.259520331422681","0.244859253216182","0","1953.52935448353","-961.063687644365","2"
"72","-1.5","-5e-05","-2","0.2","0.2","NaN","-2.14617070660123","-4.99697973982657","0.000692955094799813","0.251135056770003","0.242052460266152","0","1937.91805165811","-953.258036231655","94"
"73","-3","-2e-04","-3","0.2","0.2","NaN","-2.14609041296912","-4.99589561079326","0.000693169158431301","0.251103881002611","0.242038513045965","0","1937.91804914848","-953.258034976838","61"
"74","-1","-5e-05","-4","0.2","0.2","NaN","-1.96640050418655","-2.92153564054905","0.000600175658359028","0.26259623241993","0.228248319719623","0","1987.46501566189","-978.031518233544","45"
"75","-2.5","-0.00035","-5","0.2","0.2","NaN","-2.13988206470714","-4.82374205288423","0.000685009277482595","0.251098134188769","0.241987682360555","0","1938.00921468967","-953.303617747434","7"
"76","-2.5","-2e-04","-1","0.2","0.2","NaN","-2.14595486144652","-4.99239020725116","0.000692913139143525","0.251091027105685","0.241940064977926","0","1937.91823688533","-953.258128845264","112"
