"","a_log","h_log","log_w","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"58","-2","-4","-6.25","0.2","0.2","NaN","-2.16097721882286","-3.54369907506943","-5.15285706434394","0.214802003854798","0.242690688470425","0","1773.72041135977","-871.159216082484","83"
"59","-1","-4","-8.75","0.2","0.2","NaN","-2.16206777843467","-3.53911649153017","-5.15703585944851","0.214872004337137","0.242709973458224","0","1773.72139353178","-871.159707168487","35"
"60","-1.5","-5","-6.25","0.2","0.2","NaN","-2.16150306227004","-3.54609444242167","-5.15230496344138","0.21479979479712","0.242607202009924","0","1773.72055447637","-871.159287640786","79"
"61","-3","-3","-5","0.2","0.2","NaN","-2.1610043946038","-3.54331601106355","-5.15209990634038","0.214816597957712","0.242659175944304","0","1773.72035073803","-871.159185771617","111"
"62","-3","-4","-10","0.2","0.2","NaN","-2.1608966201003","-3.54324765651161","-5.15171218234645","0.214777606151667","0.242658835261453","0","1773.72034666476","-871.15918373498","6"
"63","-2","-3","-7.5","0.2","0.2","NaN","-2.16088068426225","-3.54365849146289","-5.15178194434956","0.214794283912133","0.242631125926545","0","1773.72033566889","-871.159178237045","63"
"64","-2","-5","-6.25","0.2","0.2","NaN","-2.16078449305213","-3.54426464535005","-5.15048665673763","0.214777986808944","0.242646724174073","0","1773.72040835391","-871.159214579556","78"
"65","-1.5","-4","-10","0.2","0.2","NaN","-2.16058700532391","-3.54277533830627","-5.15059600729943","0.214793155112722","0.242611748246724","0","1773.72042242988","-871.159221617539","9"
"66","-2.5","-1","-7.5","0.2","0.2","NaN","-2.16038808734877","-3.54221682628195","-5.1517051739492","0.214677757302888","0.242601602504387","0","1773.72071711624","-871.159368960718","72"
"67","-1","-1","-7.5","0.2","0.2","NaN","-2.16121679981096","-3.54352079912377","-5.15213783990298","0.214756817637176","0.242673237275471","0","1773.72039941369","-871.159210109442","75"
"68","-2.5","-4","-6.25","0.2","0.2","NaN","-2.16075844200565","-3.54347431343946","-5.15118606108789","0.214787360641149","0.242627963749864","0","1773.72035264034","-871.15918672277","82"
"69","-1","-3","-6.25","0.2","0.2","NaN","-2.16088485593616","-3.54277078579938","-5.15267706466098","0.214776992899879","0.242623587615733","0","1773.72035407929","-871.159187442246","90"
"70","-2.5","-4","-5","0.2","0.2","NaN","-2.16075844200565","-3.54347431343946","-5.15118606108789","0.214787360641149","0.242627963749864","0","1773.72035264034","-871.15918672277","107"
"71","-1.5","-3","-6.25","0.2","0.2","NaN","-2.16122117663053","-3.54337385439669","-5.15275726417058","0.214801842995147","0.242637065584598","0","1773.7203435117","-871.159182158448","89"
"72","-2","-4","-5","0.2","0.2","NaN","-2.16097721882286","-3.54369907506943","-5.15285706434394","0.214802003854798","0.242690688470425","0","1773.72041135977","-871.159216082484","108"
"73","-1.5","-2","-6.25","0.2","0.2","NaN","-2.1611005779993","-3.54418881152974","-5.15165175010834","0.214806673392034","0.242646495393966","0","1773.7203634142","-871.159192109697","94"
"74","-1","-1","-6.25","0.2","0.2","NaN","-2.16121679981096","-3.54352079912377","-5.15213783990298","0.214756817637176","0.242673237275471","0","1773.72039941369","-871.159210109442","100"
"75","-2.5","-3","-6.25","0.2","0.2","NaN","-2.16091658387744","-3.54324085486172","-5.1518623002815","0.214807823388893","0.242637353345024","0","1773.7203386874","-871.1591797463","87"
"76","-1","-1","-5","0.2","0.2","NaN","-2.16039788552833","-3.54153582760324","-5.15092624945765","0.214698923316669","0.242642208683039","0","1773.72066549641","-871.159343150803","125"
"77","-1.5","-2","-5","0.2","0.2","NaN","-2.16091419944238","-3.54316446934076","-5.15248284370736","0.214799191833206","0.242659589004924","0","1773.72034115291","-871.159180979055","119"
"78","-1.5","-4","-7.5","0.2","0.2","NaN","-2.16087599821231","-3.54352144766899","-5.15223741462045","0.214816531202533","0.242667139886638","0","1773.72036145053","-871.159191127865","59"
"79","-2.5","-5","-5","0.2","0.2","NaN","-2.16100949380578","-3.54337536973518","-5.15225961323663","0.214771328412439","0.242620971632917","0","1773.72034734687","-871.159184076034","102"
"80","-1","-1","-10","0.2","0.2","NaN","-2.16039788552833","-3.54153582760324","-5.15092624945765","0.214698923316669","0.242642208683039","0","1773.72066549641","-871.159343150803","25"
"81","-2.5","-3","-10","0.2","0.2","NaN","-2.16118487860471","-3.54344032031304","-5.15196136750716","0.214801722815754","0.242647400155688","0","1773.72036094824","-871.159190876718","12"
"82","-3","-1","-6.25","0.2","0.2","NaN","-2.16073650211065","-3.54230001143894","-5.15167556507401","0.214795059707657","0.242628125472235","0","1773.72037114266","-871.15919597393","96"
"83","-1","-4","-6.25","0.2","0.2","NaN","-2.16090711916929","-3.54247115621971","-5.1510320153401","0.214815154999913","0.242642875138508","0","1773.72046290463","-871.159241854914","85"
"84","-2.5","-5","-6.25","0.2","0.2","NaN","-2.16100949380578","-3.54337536973518","-5.15225961323663","0.214771328412439","0.242620971632917","0","1773.72034734687","-871.159184076034","77"
"85","-1","-4","-10","0.2","0.2","NaN","-2.16090711916929","-3.54247115621971","-5.1510320153401","0.214815154999913","0.242642875138508","0","1773.72046290463","-871.159241854914","10"
"86","-1","-1","-8.75","0.2","0.2","NaN","-2.16039788552833","-3.54153582760324","-5.15092624945765","0.214698923316669","0.242642208683039","0","1773.72066549641","-871.159343150803","50"
"87","-2.5","-1","-5","0.2","0.2","NaN","-2.16093281483218","-3.54367570869673","-5.15161283505625","0.214788909955383","0.242652469690676","0","1773.72034147348","-871.159181139339","122"
"88","-1","-3","-10","0.2","0.2","NaN","-2.16162436707655","-3.54192528017444","-5.15463098058433","0.214866127276826","0.242672611784568","0","1773.7206360851","-871.159328445149","15"
"89","-3","-4","-7.5","0.2","0.2","NaN","-2.16122983195148","-3.54351652338522","-5.15271400758648","0.214789199478778","0.242624688950735","0","1773.72034675801","-871.159183781602","56"
"90","-2","-2","-5","0.2","0.2","NaN","-2.16089901908942","-3.5431041957577","-5.15209836551745","0.214824210688502","0.242642242362627","0","1773.72035365626","-871.159187230732","118"
"91","-2.5","-3","-5","0.2","0.2","NaN","-2.16118487860471","-3.54344032031304","-5.15196136750716","0.214801722815754","0.242647400155688","0","1773.72036094824","-871.159190876718","112"
"92","-1.5","-3","-7.5","0.2","0.2","NaN","-2.16104415654657","-3.54334865742658","-5.15216155518583","0.214784862045028","0.242628238327642","0","1773.72033681294","-871.159178809071","64"
"93","-2.5","-2","-7.5","0.2","0.2","NaN","-2.16140260372322","-3.54492185059242","-5.15135798366365","0.214742606430489","0.242622916837195","0","1773.72051947495","-871.159270140075","67"
"94","-1","-5","-5","0.2","0.2","NaN","-2.16120130837644","-3.54253065755429","-5.15327786146753","0.21484266082413","0.242595292664238","0","1773.72046261616","-871.159241710679","105"
"95","-3","-3","-8.75","0.2","0.2","NaN","-2.16052422652733","-3.54104968089414","-5.15258019037892","0.214769578065925","0.242614398108254","0","1773.72048226266","-871.159251533931","36"
"96","-3","-4","-6.25","0.2","0.2","NaN","-2.16122983195148","-3.54351652338522","-5.15271400758648","0.214789199478778","0.242624688950735","0","1773.72034675801","-871.159183781602","81"
"97","-1","-2","-10","0.2","0.2","NaN","-2.16088834949028","-3.54307885307339","-5.15152391903021","0.214780275452957","0.242650028872008","0","1773.72035462654","-871.159187715871","20"
"98","-2","-4","-7.5","0.2","0.2","NaN","-2.16069716722808","-3.54378010634898","-5.15047531149055","0.214808813857402","0.242677969360493","0","1773.72042446735","-871.159222636274","58"
