"","a_log","h12","h_log","kr_log","sigma","sigma2","error","a_log.est","h_log.est","h12.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"72","-3","-5e-04","-1","-1.75","0.2","0.2","NaN","-2.27554720020508","-4.08256158563494","0.000818307087300009","0.0840161314241058","0.214887251648375","0.244655074323592","0","1797.53131963982","-879.924472303028","351"
"73","-3","-2e-04","-3","-3","0.2","0.2","NaN","-2.273860315249","-4.11298498855019","0.000829817827894076","-0.0513315596575154","0.218282947119564","0.242624760472288","0","1797.04873463485","-879.683179800546","61"
"74","-2.5","-0.00035","-5","-1.125","0.2","0.2","NaN","-2.40007054988296","-4.65114117075966","0.000757411973862934","-1.03715857467028","0.219064985783522","0.242622354236185","0","1800.74244282417","-881.530033895205","382"
"75","-2.5","-5e-04","-2","-0.5","0.2","0.2","NaN","-3.065167515879","-1.34435470923934","-0.254036443438947","-0.427492336917746","0.28905536396545","0.243835017914901","0","2098.92463000582","-1030.62112748603","577"
"76","-2.5","-5e-05","-2","-2.375","0.2","0.2","NaN","-2.27480995681554","-4.11415254956654","0.000828730776678312","-0.0556883496123851","0.218239451815621","0.242631609415925","0","1797.04854789482","-879.683086430528","217"
"77","-1.5","-5e-04","-1","-3","0.2","0.2","NaN","-2.09176467641424","-3.3451602715904","0.00086432207681702","0.868474229441993","0.21975984337045","0.242423026832368","0","1803.59584696184","-882.956735964041","104"
"78","-3","-5e-05","-5","-3","0.2","0.2","NaN","-2.27955791864264","-4.12864030518879","0.000825101253303098","-0.0779590727476288","0.21820269287113","0.243207890978221","0","1797.05731505881","-879.687470012524","16"
"79","-2.5","-5e-05","-4","-1.75","0.2","0.2","NaN","-2.491621151243","-4.77832607426324","0.000652803562653493","-0.69445567894394","0.219372397918728","0.242817486016052","0","1801.98419995616","-882.1509124612","292"
"80","-3","-5e-05","-1","-3","0.2","0.2","NaN","-2.27531768579962","-4.1144976958365","0.000827973828403283","-0.0567974490214138","0.218235791393366","0.242663792841609","0","1797.0485697536","-879.683097359919","116"
"81","-1.5","-2e-04","-5","-0.5","0.2","0.2","NaN","-2.30907812492446","-4.32749603126903","0.000820798349124195","-0.241633566929737","0.218337133226293","0.242589685772753","0","1797.31677955276","-879.817202259501","514"
