"","a_log","h_log","log_w","kr_log","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"65","-2.5","-5","-5","-0.5","0.2","0.2","NaN","-2.02644326797567","-3.15769799496768","-1.18968393223411","-4.90208619710631","0.214419091900163","0.242619306560571","0","1778.20348818105","-870.260556573643","602"
"66","-1","-1","-10","-2.375","0.2","0.2","NaN","-2.02575606811622","-3.15666115907662","-1.17598176242897","-4.90157138298765","0.214552051348107","0.24257201749634","0","1778.20428815759","-870.260956561912","150"
"67","-1.5","-1","-5","-0.5","0.2","0.2","NaN","-2.02652020656444","-3.15771874065552","-1.18972287759727","-4.90188709922476","0.214388666231925","0.24268485783992","0","1778.20348960291","-870.260557284572","624"
"68","-1.5","-2","-6.25","-0.5","0.2","0.2","NaN","-2.03905194658094","-3.19526366849644","-1.60641755564111","-4.90001291653358","0.214466187917907","0.243195202566094","0","1778.44643041563","-870.382027690933","594"
"69","-2","-1","-10","-1.75","0.2","0.2","NaN","-2.02651056916778","-3.15840482899618","-1.19096511350846","-4.90235139356837","0.214418405543678","0.242665005351807","0","1778.2034768884","-870.260550927319","273"
"70","-1.5","-4","-10","-2.375","0.2","0.2","NaN","-2.09752216570245","-3.2843984428484","-5.02699146805331","-4.90262066835557","0.214914860522976","0.242511339295909","0","1780.6933944257","-871.505509695968","134"
"71","-2","-4","-8.75","-1.75","0.2","0.2","NaN","-2.02704710037543","-3.15824666875966","-1.18729962850843","-4.90347832876803","0.21438238218975","0.242635309340209","0","1778.20349306872","-870.26055901748","283"
"72","-1","-3","-10","-3","0.2","0.2","NaN","-2.02272934290354","-3.145699569947","-1.06731705208864","-4.90847784084664","0.214457474516576","0.242452058534363","0","1778.23047892565","-870.274051945946","15"
"73","-1","-2","-8.75","-3","0.2","0.2","NaN","-2.0975163589665","-3.27851590525015","-2.96627246225322","-4.93689463370747","0.214795516423414","0.242585370243626","0","1779.89447801115","-871.106051488695","45"
"74","-1.5","-2","-8.75","-0.5","0.2","0.2","NaN","-2.03905194658094","-3.19526366849644","-1.60641755564111","-4.90001291653358","0.214466187917907","0.243195202566094","0","1778.44643041563","-870.382027690933","544"
"75","-3","-2","-6.25","-0.5","0.2","0.2","NaN","-2.02751898326402","-3.15874024729658","-1.19007706838674","-4.90498264961465","0.21446866197146","0.242659180305883","0","1778.20360955877","-870.260617262504","591"
"76","-1","-3","-7.5","-1.125","0.2","0.2","NaN","-1.98558514716954","-3.09696590027785","-0.777597658026137","-4.86607498427466","0.214460906728804","0.242724377336585","0","1778.57460823183","-870.446116599037","440"
"77","-2","-2","-6.25","-0.5","0.2","0.2","NaN","-2.03342183993757","-3.15629093870668","-0.770486386186395","-4.9350815840709","0.21760262542589","0.242334049921216","0","1778.86243801751","-870.590031491876","593"
"78","-3","-5","-7.5","-3","0.2","0.2","NaN","-2.0265065609678","-3.16007852835111","-1.02992204850792","-4.9081757240524","0.214573541406244","0.24259404343261","0","1778.25680760144","-870.287216283839","51"
"79","-3","-4","-5","-1.125","0.2","0.2","NaN","-2.09849594022688","-3.28461240252679","-3.89910624386637","-4.91656139274694","0.214850683997994","0.242675575788369","0","1780.42230263584","-871.369963801042","481"
"80","-2","-1","-10","-2.375","0.2","0.2","NaN","-2.02705631664488","-3.15747435462377","-1.19867645556082","-4.9024235158826","0.21443193540006","0.242631182256919","0","1778.20371044227","-870.260667704253","148"
"81","-2.5","-2","-5","-2.375","0.2","0.2","NaN","-2.06219700261996","-3.24240059745735","-2.18846344080305","-4.86691961283708","0.214225264998429","0.242737286131642","0","1779.10571753493","-870.711671250585","242"
"82","-2.5","-1","-6.25","-1.75","0.2","0.2","NaN","-2.02696520822973","-3.15748521311613","-1.19022196454277","-4.90304941040331","0.214440898762102","0.242669117776079","0","1778.20350366866","-870.260564317448","347"
"83","-1","-1","-8.75","-2.375","0.2","0.2","NaN","-1.94348566241039","-3.01064307453737","-0.523736099004794","-4.81701045539089","0.215293608891836","0.243158052155037","0","1779.49654132029","-870.907083143262","175"
"84","-3","-2","-5","-1.125","0.2","0.2","NaN","-2.02690587707255","-3.15914278948039","-1.18929577734134","-4.90323998578566","0.214392290153698","0.242652540841785","0","1778.20349547121","-870.260560218723","491"
"85","-1.5","-3","-10","-3","0.2","0.2","NaN","-2.10224193090854","-3.27720724814747","-2.71851665822051","-4.95595746884523","0.214739732494974","0.242501865992809","0","1779.70986945483","-871.013747210535","14"
"86","-1","-2","-6.25","-3","0.2","0.2","NaN","-2.09986197085363","-3.27254746370637","-4.32813272795077","-4.92077712406176","0.214905695724453","0.242655899037806","0","1780.55753854859","-871.437581757414","95"
"87","-3","-2","-5","-2.375","0.2","0.2","NaN","-2.03034945007503","-3.16404045875548","-1.1983137350967","-4.90327067014726","0.214531261049993","0.242361753997764","0","1778.20739070818","-870.262507837208","241"
"88","-2","-1","-8.75","-3","0.2","0.2","NaN","-2.0270963392843","-3.15918161113925","-1.19143738899469","-4.90335620489335","0.214401254972838","0.242626290377161","0","1778.20350928424","-870.260567125241","48"
