"","a_log","h_log","log_w","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"79","-3","-1","-5","0.2","0.2","NaN","-2.09790287141794","-3.27572159591255","-4.89937834325513","0.214949115604136","0.242683249471983","0","1774.55116734075","-871.574594072973","121"
"80","-1.5","-4","-7.5","0.2","0.2","NaN","-2.09692346898511","-3.27614384149515","-4.89918470710279","0.214973766332364","0.242715318450622","0","1774.55125068448","-871.57463574484","59"
"81","-3","-3","-10","0.2","0.2","NaN","-2.09607506593691","-3.27384912904125","-4.89914900842915","0.214966806804793","0.242659053926719","0","1774.55142399751","-871.574722401353","11"
"82","-1","-1","-8.75","0.2","0.2","NaN","-2.09762314638872","-3.27463484382382","-4.9007976592585","0.214949394070576","0.242659365150911","0","1774.55107475415","-871.574547779672","50"
"83","-2","-5","-5","0.2","0.2","NaN","-2.09613036286848","-3.27403026118189","-4.89654471797086","0.214924298537499","0.242806945012513","0","1774.55168608271","-871.574853443954","103"
"84","-1","-3","-10","0.2","0.2","NaN","-2.09809176695872","-3.27276788602845","-4.90487170528203","0.214872084809455","0.242710842340876","0","1774.5519115706","-871.574966187898","15"
"85","-2","-2","-6.25","0.2","0.2","NaN","-2.09733073775693","-3.27564295554134","-4.89949539323993","0.214935840625965","0.242659400622655","0","1774.55106310735","-871.574541956274","93"
"86","-3","-2","-5","0.2","0.2","NaN","-2.09772802477514","-3.27517538885678","-4.9006023939289","0.21493534070304","0.242659970102302","0","1774.55106189208","-871.574541348639","116"
"87","-2.5","-2","-10","0.2","0.2","NaN","-2.09743044968503","-3.27482811263993","-4.89977816883468","0.21495534514799","0.242711848831758","0","1774.55111245945","-871.574566632324","17"
"88","-2","-1","-5","0.2","0.2","NaN","-2.09735027936319","-3.27503148078658","-4.89984409188385","0.214947542195745","0.242655822895727","0","1774.55105269875","-871.574536751976","123"
"89","-1.5","-1","-6.25","0.2","0.2","NaN","-2.09455041212644","-3.27416260655267","-4.89242930102501","0.215019209905171","0.242711694942161","0","1774.55228361861","-871.575152211903","99"
"90","-1.5","-3","-8.75","0.2","0.2","NaN","-2.04182713515967","-3.18255318192305","-4.78178162192294","0.214962537375355","0.242833549752374","0","1774.96191689313","-871.779968849164","39"
"91","-3","-2","-7.5","0.2","0.2","NaN","-2.09772802477514","-3.27517538885678","-4.9006023939289","0.21493534070304","0.242659970102302","0","1774.55106189208","-871.574541348639","66"
"92","-1.5","-2","-10","0.2","0.2","NaN","-2.09688148248393","-3.27502718265547","-4.89803189328093","0.21495698690182","0.242673114394643","0","1774.55111893756","-871.574569871378","19"
"93","-2","-4","-8.75","0.2","0.2","NaN","-2.09772906634606","-3.27528752968163","-4.90077492501519","0.214960026496087","0.242634437500502","0","1774.55107640907","-871.574548607136","33"
"94","-1","-3","-6.25","0.2","0.2","NaN","-2.09809176695872","-3.27276788602845","-4.90487170528203","0.214872084809455","0.242710842340876","0","1774.5519115706","-871.574966187898","90"
"95","-3","-5","-7.5","0.2","0.2","NaN","-2.09740373757211","-3.27563822355611","-4.8995268002989","0.214948644002974","0.242669972043109","0","1774.55106089834","-871.574540851768","51"
"96","-2.5","-2","-5","0.2","0.2","NaN","-2.09743044968503","-3.27482811263993","-4.89977816883468","0.21495534514799","0.242711848831758","0","1774.55111245945","-871.574566632324","117"
"97","-1","-1","-7.5","0.2","0.2","NaN","-2.09762314638872","-3.27463484382382","-4.9007976592585","0.214949394070576","0.242659365150911","0","1774.55107475415","-871.574547779672","75"
"98","-3","-5","-5","0.2","0.2","NaN","-2.09740373757211","-3.27563822355611","-4.8995268002989","0.214948644002974","0.242669972043109","0","1774.55106089834","-871.574540851768","101"
