"","a_log","a12","h12","h_log","kr_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","h12.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"30","-1","1e-04","-0.00035","-5","-2.375","0.2","0.2","NaN","-1.07498524494321","-0.00279965563211658","-5.09184236665334","0.230866247791299","-2.08753908772258","0.285719139320372","0.238012962594661","0","2083.26077636664","-1019.64900274696","675"
"31","-3","-5e-05","-2e-04","-2","-1.125","0.2","0.2","NaN","-2.23872221295101","-0.000206657232505484","-3.61496409251812","0.000200168672636707","-0.677723783489534","0.21167846127478","0.242475073426479","0","1770.32652877049","-863.181878948886","2316"
"32","-1","-0.00035","1e-04","-5","-3","0.2","0.2","NaN","-1.8608975081318","-0.000317284981356986","-3.9704931264764","0.000962689701899398","-2.82930296983991","0.21571376228762","0.251784295695563","0","1835.77085610266","-895.904042614967","110"
"33","-1","-5e-04","-0.00035","-2","-1.75","0.2","0.2","NaN","-1.1256717147336","-0.0012880410503164","-1.57123215260926","0.106802407590619","-1.64424945316529","0.282278985242795","0.243983945251161","0","2080.69654024161","-1018.36688468445","1655"
"34","-2","-2e-04","-0.00035","-2","-0.5","0.2","0.2","NaN","-2.00582986822149","-0.000270329256489718","-2.95408383926254","0.000139524109266473","0.111524217596136","0.212728101555164","0.242743328997386","0","1774.63953167493","-865.338380401105","2913"
"35","-2.5","-0.00035","-2e-04","-5","-2.375","0.2","0.2","NaN","-2.22022857024559","-0.000212897383318021","-3.31710238043636","0.000112779360249496","-0.79610777475971","0.21201182741636","0.242935630987229","0","1769.22791994291","-862.632574535095","682"
"36","-2.5","-0.00035","-5e-04","-5","-0.5","0.2","0.2","NaN","-2.33206083568275","-0.000178172805470327","-5.07801049692265","0.000432524016616835","-0.560873120156992","0.214688444272208","0.241929028533663","0","1784.98284106051","-870.510035093894","2507"
"37","-2.5","-0.00035","-5e-05","-4","-3","0.2","0.2","NaN","-2.2723085993416","-0.000203635652103106","-3.48123198063582","0.00012992909049853","-3.22032758539571","0.211830897631925","0.242503378653592","0","1771.89441068147","-863.965819904375","207"
"38","-3","-5e-05","-5e-05","-1","-1.125","0.2","0.2","NaN","-2.2674928981032","-0.00020499104256751","-3.42127217281604","0.000114335770847566","-3.39765452789568","0.212120921823047","0.242813468224195","0","1772.05562707523","-864.046428101255","2466"
"39","-3","-0.00035","1e-04","-4","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","856"
