"","a_log","h_log","log_w","kr_log","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"52","-2","-4","-10","-1.125","0.2","0.2","NaN","-1.57681655293887","-3.8258074789967","0.823284795809939","-8.37616837698343","0.413829595988887","0.280370528051679","0","2837.4421826749","-1399.97116561067","383"
"53","-1.5","-5","-7.5","-3","0.2","0.2","NaN","-1.6089965123642","-3.82698741271713","0.838564718734313","-23.7538673292901","0.414497646931141","0.280155654932806","0","2838.80583617328","-1400.65299235986","54"
"54","-3","-1","-10","-3","0.2","0.2","NaN","-1.56761611193901","-3.82161737645151","0.783911183039715","-8.07902565852946","0.413918972238648","0.280137469624959","0","2837.18489138471","-1399.84251996557","21"
"55","-2.5","-3","-10","-2.375","0.2","0.2","NaN","-1.51953091061366","-3.77013491314934","0.823185156056253","-7.48721316658314","0.413911210111276","0.280061798448381","0","2836.85952779411","-1399.67983817028","137"
"56","-2.5","-4","-8.75","-1.75","0.2","0.2","NaN","-1.59649231388806","-3.83276829590529","0.79754819213792","-9.14570865371915","0.414114128942393","0.28015907902066","0","2838.05513902295","-1400.2776437847","282"
"57","-2.5","-2","-8.75","-0.5","0.2","0.2","NaN","-1.52024719543895","-3.77171454181232","0.837717040645341","-7.51089545837162","0.413738680772412","0.280170371610077","0","2836.85785824528","-1399.67900339586","542"
"58","-2.5","-1","-8.75","-1.75","0.2","0.2","NaN","-1.59258311842864","-3.84105234335936","0.736365266206144","-8.49891433005189","0.413748738376994","0.279726861811988","0","2837.60627258225","-1400.05321056435","297"
"59","-2.5","-1","-7.5","-3","0.2","0.2","NaN","-1.60923433137685","-3.82929749063497","0.826552867414972","-11.7819035375166","0.414470862002821","0.280065848515685","0","2838.74410936155","-1400.62212895399","72"
"60","-2.5","-3","-10","-1.125","0.2","0.2","NaN","-1.55838763700409","-3.81443608241539","0.788144577755836","-7.92210267139556","0.413754530130425","0.280057082145889","0","2837.0550334025","-1399.77759097447","387"
"61","-1","-3","-6.25","-1.125","0.2","0.2","NaN","-1.59766108958041","-3.82593751210523","0.764898030938077","-9.1827212259106","0.414050329630077","0.280089545368954","0","2838.09714432588","-1400.29864643616","465"
"62","-1","-2","-6.25","-2.375","0.2","0.2","NaN","-1.56843079811864","-3.81274778343418","0.780310521382061","-8.16018104319314","0.41391940535951","0.280056823828053","0","2837.25115802908","-1399.87565328776","220"
"63","-2","-2","-10","-3","0.2","0.2","NaN","-1.60938896098976","-3.82784832462574","0.83818983252711","-24.1089742168862","0.414587850783827","0.28013517483032","0","2838.80588863946","-1400.65301859295","18"
"64","-1.5","-5","-8.75","-1.125","0.2","0.2","NaN","-1.52144368390746","-3.7730139326571","0.831922540324203","-7.5154062471647","0.413722649264633","0.280154540177528","0","2836.85767440743","-1399.67891147694","404"
