"","a_log","h_log","kr_log","sigma","sigma2","error","a_log.est","h_log.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"80","-1.44444444444444","-4.55555555555556","-3","0.2","0.2","NaN","-1.6085057182827","-3.82607847134795","0.837156631772612","0.414501858475658","0.280204828792924","0","2832.55600377307","-1400.65306378089","18"
"81","-2.33333333333333","-1","-2.375","0.2","0.2","NaN","-1.6096807361","-3.82825841004972","0.833740972825452","0.41453710598821","0.280104994371666","0","2832.55596003371","-1400.65304191121","194"
"82","-1.44444444444444","-1.44444444444444","-1.125","0.2","0.2","NaN","-1.60909340584368","-3.82710767351246","0.837763076372561","0.414578723397724","0.280128724785809","0","2832.55587296734","-1400.65299837802","388"
"83","-1.44444444444444","-2.77777777777778","-3","0.2","0.2","NaN","-1.6085117781928","-3.82641413499287","0.835725054321882","0.414462180715947","0.280125284394965","0","2832.55601869829","-1400.6530712435","58"
"84","-1.44444444444444","-5","-0.5","0.2","0.2","NaN","-1.60842416463852","-3.82623385880685","0.839158261876494","0.414511379790278","0.280176407416267","0","2832.55592974258","-1400.65302676564","408"
"85","-1.44444444444444","-3.22222222222222","-2.375","0.2","0.2","NaN","-1.60896559136352","-3.82749556863428","0.8387920047537","0.414503178939222","0.28014588007412","0","2832.55586976742","-1400.65299677806","148"
"86","-1.22222222222222","-1.44444444444444","-0.5","0.2","0.2","NaN","-1.61032028501953","-3.82684611976592","0.836096853514517","0.414426597788446","0.280304417455348","0","2832.55685933944","-1400.65349156407","489"
"87","-2.55555555555556","-5","-0.5","0.2","0.2","NaN","-1.60932059955404","-3.82714154956857","0.833636288253058","0.415039292533554","0.279997260971039","0","2832.55785252154","-1400.65398815512","403"
"88","-1.22222222222222","-2.77777777777778","-2.375","0.2","0.2","NaN","-1.60932111370139","-3.82822783420815","0.836000200232448","0.414497716965963","0.280164839568717","0","2832.55591587789","-1400.6530198333","159"
"89","-1","-3.22222222222222","-1.125","0.2","0.2","NaN","-1.57012083223044","-3.74093231219019","0.990806017862731","0.414366862402028","0.280022470133814","0","2832.77875744819","-1400.76444061845","350"
"90","-1","-5","-1.75","0.2","0.2","NaN","-1.60655681474676","-3.8206415918452","0.841000006538307","0.414570424948934","0.28005385119298","0","2832.55695111053","-1400.65353744962","210"
"91","-2.77777777777778","-3.22222222222222","-3","0.2","0.2","NaN","-1.60924119451694","-3.826973504475","0.836124087140375","0.414537869636774","0.280120687865704","0","2832.55587254029","-1400.6529981645","42"
"92","-1.66666666666667","-2.77777777777778","-2.375","0.2","0.2","NaN","-1.6085763120539","-3.82694881445087","0.840695757705029","0.414506507688507","0.280151316046944","0","2832.55591827391","-1400.65302103131","157"
"93","-2.77777777777778","-4.11111111111111","-0.5","0.2","0.2","NaN","-1.60817695776208","-3.82376118569673","0.837840323146532","0.414400258891796","0.280192749541453","0","2832.55623690146","-1400.65318034508","422"
"94","-1.66666666666667","-5","-2.375","0.2","0.2","NaN","-1.60929227332299","-3.82567374019452","0.839778710324684","0.414433152581223","0.280121369571319","0","2832.55613707041","-1400.65313042956","107"
"95","-2.77777777777778","-1","-1.125","0.2","0.2","NaN","-1.60889567343859","-3.82815281621527","0.836952772363598","0.41447195274258","0.280073322054947","0","2832.55600777652","-1400.65306578261","392"
"96","-2.55555555555556","-3.66666666666667","-0.5","0.2","0.2","NaN","-1.60864116242128","-3.82590104049548","0.840118494520773","0.41452961943721","0.280162917561707","0","2832.55590759425","-1400.65301569148","433"
"97","-2.11111111111111","-1","-2.375","0.2","0.2","NaN","-1.60885531610468","-3.82662331728305","0.842485507042976","0.414348502559196","0.280075965234366","0","2832.55619632321","-1400.65316005596","195"
"98","-2.33333333333333","-2.77777777777778","-1.75","0.2","0.2","NaN","-1.60945890417807","-3.82798969376719","0.833743225714194","0.414524896078189","0.280109935812612","0","2832.55595761416","-1400.65304070143","254"
