"","a_log","h_log","h12","log_w","sigma","sigma2","error","a_log.est","h_log.est","h12.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"69","-2.5","-4","-2e-04","-8.75","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","182"
"70","-2.5","-1","-2e-04","-8.75","0.2","0.2","NaN","-2.56417161116494","0.0216478799020204","-1.14885985155377","-9.70076857958329","0.589204478559775","0.280997393054096","0","3202.9395792876","-1582.71986391702","197"
"71","-2","-3","-5e-04","-5","0.2","0.2","NaN","-3.37444805409967","-2.23339380407304","-0.399341316575026","-7.29522351470461","0.587000288587484","0.279030874064465","0","3206.20134129668","-1584.35074492156","513"
"72","-1.5","-5","-0.00035","-6.25","0.2","0.2","NaN","-1.93438139651791","-4.19924142359346","-2.41795906214941e-05","-9.40304843058166","0.430525528026523","0.280328427750288","0","2877.18450225892","-1419.84232540268","404"
"73","-2.5","-5","-0.00035","-7.5","0.2","0.2","NaN","-3.15707165817429","-4.40351818077591","-8.02500529661207e-05","-9.90417271527629","0.539286221868529","0.266950909357572","0","3052.44709489196","-1507.4736217192","277"
"74","-2","-3","-2e-04","-8.75","0.2","0.2","NaN","-1.75712538460538","-3.3692900033232","-5.93979976183156e-05","-10.0195166658276","0.442982299148843","0.278812935740941","0","2893.33733355099","-1427.91874104872","188"
"75","-1","-2","-0.00035","-10","0.2","0.2","NaN","-1.84843029918568","-0.453017862854933","-0.0012872511402841","-9.61293723862397","0.595940641379787","0.279626527093318","0","3119.98713273952","-1541.24364064298","45"
"76","-1.5","-4","-5e-04","-6.25","0.2","0.2","NaN","-2.01830513188591","-2.31770785734648","-0.000205478264348508","-9.99242249346369","0.46762987278418","0.280326286759572","0","2957.26590622141","-1459.88302738393","384"
"77","-1.5","-5","-5e-04","-10","0.2","0.2","NaN","-1.98117839663372","-4.4704631761784","-1.71004542800877e-05","-9.27223016084101","0.434496162692858","0.280046033290061","0","2878.8984940207","-1420.69932128357","4"
"78","-1","-5","-2e-04","-6.25","0.2","0.2","NaN","-1.78160605722135","-3.31607979123731","-6.61075733168272e-05","-9.21198144591763","0.437953679830184","0.279563248954741","0","2891.85763762233","-1427.17889308438","430"
"79","-2.5","-5","-0.00035","-5","0.2","0.2","NaN","-3.15707165817429","-4.40351818077591","-8.02500529661207e-05","-9.90417271527629","0.539286221868529","0.266950909357572","0","3052.44709489196","-1507.4736217192","527"
"80","-2.5","-1","1e-04","-8.75","0.2","0.2","NaN","-2.91232349103946","0.470688571982584","-1.78497260821134","-8.76053954497074","0.590949803718542","0.278866227150592","0","3202.42747119193","-1582.46380986919","247"
"81","-1.5","-1","-2e-04","-10","0.2","0.2","NaN","-2.16363129363709","-0.591380700874892","-0.48474258517678","-9.49001468154593","0.59387126207797","0.279027094540569","0","3211.1345860621","-1586.81736730427","74"
"82","-3","-3","-5e-04","-5","0.2","0.2","NaN","-4.3477730628721","-1.4230868484654","-1.78841352776359","-6.8928185783445","0.593162386458863","0.279876445004398","0","3210.28654690319","-1586.39334772482","511"
"83","-1","-4","-5e-05","-6.25","0.2","0.2","NaN","-1.66367149736633","-2.99895427642113","-8.73590595352461e-05","-10.132795214283","0.439690993137427","0.253101654985292","0","2926.37395201489","-1444.43705028066","460"
