a_log,a12,h_log,sigma,sigma2,error,a_log.est,a12.est,h_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-3,1e-04,-1,0.2,0.2,,-1.53949562843155,-0.000257066604011304,-4.42323205723728,0.417825688652478,0.280265676400802,0,2841.99998102238,-1405.37505240554,121
-1,-0.00035,-4,0.2,0.2,,-1.53816674084943,-0.000256940705907795,-4.42075507814656,0.417953641057763,0.280312053763615,0,2841.99835481247,-1405.37423930059,35
-3,-5e-05,-1,0.2,0.2,,-1.53862003889525,-0.000256286721744522,-4.42097869524097,0.417817430733536,0.280189947980777,0,2841.99888843179,-1405.37450611025,116
-1,-2e-04,-1,0.2,0.2,,-0.85963383894618,-0.000875770738102099,-1.81035129219357,0.606374024059639,0.312295063480694,0,3138.38252269737,-1553.56632324303,115
-1.5,-5e-05,-5,0.2,0.2,,-1.53765789679831,-0.000257001988370845,-4.41901108758157,0.418335114842864,0.280342432802468,0,2841.99926341635,-1405.37469360253,19
-1.5,-5e-05,-4,0.2,0.2,,-1.53838691906431,-0.000256856292542247,-4.42119205642095,0.418032847184445,0.280338058159695,0,2841.99836146521,-1405.37424262696,44
-1,-2e-04,-3,0.2,0.2,,-1.53840630373792,-0.00025665749853278,-4.42080254166725,0.417990613460737,0.28036191449594,0,2841.99833044854,-1405.37422711862,65
-3,-2e-04,-2,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,86
-3,-5e-04,-5,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,1
-1,-0.00035,-1,0.2,0.2,,-1.13568749168905,-0.000659403956114959,-1.24938093702351,0.584954034095148,0.273234632054271,0,3157.08642148598,-1562.91827263734,110
-1,1e-04,-1,0.2,0.2,,-1.53856090304239,-0.000253676787954799,-4.41460575901917,0.41844731517601,0.280444016227552,0,2842.00803657958,-1405.37908018414,125
