a_log,a12,h12,h_log,sigma,sigma2,error,a_log.est,a12.est,h_log.est,h12.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1.5,-0.00035,-5e-04,-5,0.2,0.2,,-1.1708565900099,-0.000573717753109763,-3.35655793014673,-0.000117007302082463,0.468486878165728,0.293087928193528,0,2893.05366431027,-1427.77690642836,9
-3,1e-04,1e-04,-1,0.2,0.2,,-3.00470961772085,-0.00052489239487544,-1.01258247634577,-0.195722162003037,0.63893327209453,0.280798415833897,0,3271.47013199212,-1616.98514026928,621
-2,-2e-04,-0.00035,-1,0.2,0.2,,-2.09972084464965,-0.00135837043688715,-1.05071133451444,-0.196153037380831,0.638392709382862,0.278087002512813,0,3271.1799702082,-1616.84005937732,538
-1.5,-5e-04,-0.00035,-1,0.2,0.2,,-1.63979672456258,-0.00471343594524355,-0.96750298771304,-0.191906478032633,0.646724155260927,0.291569338029167,0,3272.55682914668,-1617.52848884656,529
-1.5,1e-04,1e-04,-2,0.2,0.2,,,,,,,,,,,499
-2.5,-0.00035,-0.00035,-4,0.2,0.2,,-2.41567074100801,-0.00330190861114629,-4.10156997605449,-0.237348664588941,0.628386930730254,0.293886534652399,0,3249.55155557982,-1606.02585206313,157
-2.5,-2e-04,-5e-04,-5,0.2,0.2,,-2.59400432978629,-0.0506904857029131,-4.48960849337259,-0.843307996283275,0.640212344363095,0.279406390941867,0,3292.80709138655,-1627.6536199665,12
-1,1e-04,-0.00035,-3,0.2,0.2,,,,,,,,,,,300
-2.5,-5e-04,-2e-04,-3,0.2,0.2,,-1.32122537885496,-0.000515265651069977,-3.00438704158587,-0.000202343438486055,0.429640137761783,0.2789481767441,0,2887.65499537827,-1425.07757196236,302
-3,-5e-04,-0.00035,-1,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,526
-3,-5e-05,-5e-05,-3,0.2,0.2,,,,,,,,,,,341
-3,1e-04,-0.00035,-4,0.2,0.2,,-3.04093211451773,-0.00121291589629486,-3.99344412648268,-0.0923263342473733,0.609564614079156,0.282929614381294,0,3241.03311159118,-1601.76663006881,171
-2.5,-5e-05,-0.00035,-2,0.2,0.2,,-2.48455722175105,-0.000410079220796507,-2.12433929479542,-0.178149445020394,0.636250100985462,0.281236836244142,0,3272.6923537692,-1617.59625115782,417
-1.5,1e-04,-5e-05,-3,0.2,0.2,,-1.56966435025768,-0.000242641472532119,-2.9482536059435,-0.000117410823723238,0.446288217486689,0.280406070802711,0,2915.69434136663,-1439.09724495654,349
-1.5,-2e-04,-0.00035,-4,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,164
-1,-0.00035,1e-04,-2,0.2,0.2,,-1.06917865597986,-0.00834481547648351,-1.99855649040078,-0.108667865068795,0.617335098157798,0.281949708572633,0,3263.16803674886,-1612.83409264765,485
-3,1e-04,-0.00035,-1,0.2,0.2,,-3.00472305818299,-0.000524910359239707,-1.01247391439234,-0.196388330010981,0.639171495222647,0.2809304960507,0,3271.15719360801,-1616.82867107723,546
-2.5,-0.00035,-0.00035,-5,0.2,0.2,,-2.25044301992092,-0.0861089755606039,-6.11327611148459,-1.04131498945583,0.640001387474991,0.281798683751082,0,3292.06174394011,-1627.28094624328,32
-2.5,-5e-05,-0.00035,-4,0.2,0.2,,-2.53450997514935,0.000208700568720801,-4.0461471814502,-1.24116347383836e-05,0.584601126586352,0.283098441442635,0,3033.9393333871,-1498.21974096677,167
-1,-5e-05,1e-04,-3,0.2,0.2,,-0.982373989023001,-0.000733461048945877,-3.0743688212117,-0.000154509931232452,0.457808791851823,0.28030822739068,0,2942.23626382769,-1452.36820618707,370
-3,-2e-04,1e-04,-4,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,236
-2.5,-0.00035,-2e-04,-3,0.2,0.2,,-2.46629690484217,-0.00202917012675515,-2.94950550028587,-0.269264108070632,0.612533633185372,0.285607700186686,0,3276.29101087282,-1619.39557970963,307
-1.5,-2e-04,-5e-05,-3,0.2,0.2,,-1.50983149772577,-0.000300038335557244,-4.15927131568461,-3.5638060093741e-05,0.416629840581968,0.280469452028134,0,2844.98399962175,-1403.7420740841,339
-2,-5e-04,-0.00035,-2,0.2,0.2,,,,,,,,,,,403
-1.5,-0.00035,-5e-05,-4,0.2,0.2,,-1.49860475222312,-0.000307444984775777,-4.13613384983624,-3.70472890559576e-05,0.41657586546989,0.280380263630302,0,2845.01711609463,-1403.75863232054,209
-2.5,-5e-05,1e-04,-5,0.2,0.2,,-2.62788911906315,0.000245315233083206,-4.87816597732561,1.43002409116699e-05,0.581293866545166,0.303475663532435,0,3037.47879529207,-1499.98947191926,117
-1,1e-04,1e-04,-1,0.2,0.2,,,,,,,,,,,625
-1,-0.00035,-5e-05,-3,0.2,0.2,,-1.00318724116495,-0.000716426669069659,-3.12642611172828,-0.000147719205020166,0.45433910423702,0.280262095213067,0,2934.61875671299,-1448.55945262972,335
-2.5,-0.00035,1e-04,-5,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,107
-1.5,-5e-05,-2e-04,-1,0.2,0.2,,-1.70231510443032,-0.00390937953300652,-0.758977160197075,-0.401580174014969,0.63412399669328,0.280063954293303,0,3277.56983871509,-1620.03499363076,569
-1.5,-5e-04,-5e-04,-2,0.2,0.2,,,,,,,,,,,379
-2,-0.00035,-5e-05,-1,0.2,0.2,,-2.10263194643406,-0.00294897135046957,-0.922987920293269,-0.249406093104874,0.644571164998699,0.294658791616193,0,3272.10761565551,-1617.30388210098,583
-1,-5e-04,-5e-04,-4,0.2,0.2,,-1.92072803105409,-6.59308877307767e-05,-3.43769815829094,-6.56462211408895e-05,0.520582641993058,0.250269941576666,0,2959.70553919134,-1461.10284386889,130
-1,-5e-04,-2e-04,-5,0.2,0.2,,-1.3003425285209,-0.000445386590738273,-5.00238133218321,7.31595705879919e-05,0.443688122190584,0.262986863238774,0,2904.32537558099,-1433.41276206372,55
-2.5,-5e-05,1e-04,-2,0.2,0.2,,-2.47209412521159,-0.00195980866976464,-2.04188785903986,-0.169471962584045,0.618063617795916,0.285223928281729,0,3267.22916760382,-1614.86465807513,492
-3,-5e-04,-5e-05,-2,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,451
-2.5,-5e-04,-2e-04,-2,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,427
-2,-5e-04,-5e-05,-4,0.2,0.2,,,,,,,,,,,203
-2.5,-0.00035,-0.00035,-1,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,532
-3,-5e-04,-0.00035,-2,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,401
-1,-0.00035,-5e-05,-4,0.2,0.2,,-1.06899547377691,-0.000668112670602317,-3.10007692503964,-0.000159433350575051,0.444097364829613,0.280126482319019,0,2914.15555051839,-1438.32784953242,210
