r1_log,r2_log,alpha11,alpha22,alpha12,alpha21,sigma,sigma2,error,r1_log.est,r2_log.est,alpha11.est,alpha12.est,alpha22.est,alpha21.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
0.5,-0.5,0.005,0.005,0.005,0.001,0.2,0.2,,-0.836747257813696,-2.4088741133418,0.000768024777321326,0.00215991975801946,0.00646087018632688,-4.83247041072758e-05,0.294095369783125,0.253633247623764,0,130.137810035781,-43.776865101337,1712
-0.5,-3,0.005,0.001,0.001,0.005,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,2919
-2,-0.5,5e-04,0.001,0.001,0.005,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,2509
-1,-1,0.001,0.001,0.005,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,1658
-0.5,-3,0.001,0.005,0.005,0.005,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,2711
-1,-3,0.001,0.005,5e-04,0.001,0.2,0.2,,-0.777998060410831,-3.31978529582918,0.000831305841614489,0.00188519038263924,0.0146845753991326,-0.00142549074611726,0.293601290512442,0.240202477915604,0,123.0663317094,-40.2411259381465,1206
0.5,-0.5,0.005,5e-04,0.001,0.005,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,2352
-1,-0.5,0.005,0.005,0.005,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,1710
-1,-3,5e-04,0.001,0.001,0.005,0.2,0.2,,-0.798482818470064,-3.26239899122705,0.000833392387853323,0.00170156593883682,0.0143486888981933,-0.00160501604760568,0.30367207161002,0.239428399214795,0,123.958782455262,-40.6873513110772,2374
0.5,-0.5,0.005,0.005,0.001,0.005,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,2992
-1,-1,0.001,5e-04,0.001,0.001,0.2,0.2,,-0.739132759500532,-8.14199424808052,0.000662993046932626,0.00214660772610144,1.2862747485391,-0.256820464993913,0.259503942659849,0.250273805304778,0,100.048387033041,-28.732153599967,3898
-1,-0.5,0.001,0.001,0.001,0.005,0.2,0.2,non-finite finite-difference value [5],,,,,,,,,,,,3070
-2,-0.5,0.001,0.005,0.005,0.005,0.2,0.2,,-1.18929454262691,-4.81324650207551,0.000580578201096075,0.000834209087862502,0.0243653477453693,-0.00231768580986059,0.383506737289375,0.19123328817245,0,196.485369567484,-76.9506448671883,2749
0.5,-3,5e-04,0.005,5e-04,0.005,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,2184
-2,-5,0.005,0.001,0.001,0.005,0.2,0.2,,-0.840624713569824,-6.8254556107185,0.00074668049324565,0.00193740445359037,0.0812403369497041,-0.0240905281847991,0.318439356235153,0.252935514658167,0,131.004554497473,-44.2102373321826,2401
-2,-5,0.001,0.001,5e-04,0.005,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,2289
-1,-1,0.005,0.005,0.001,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,3498
-2,-3,0.001,0.001,0.001,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,1397
-2,-5,0.001,5e-04,5e-04,0.005,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,2065
-1,-5,5e-04,0.005,0.001,0.001,0.2,0.2,,-0.689205181924737,-4.96428339660361,0.000548984011921936,0.00177519630357549,0.0838465237296555,-0.000395314435145766,0.244640616121259,0.241845189589819,0,121.737752269209,-39.576836218051,1410
-1,-0.5,0.001,0.005,0.001,0.005,0.2,0.2,,-0.765932052060413,-4.46889322333753,0.00082110181260734,0.00178770228898971,0.0429922758429105,-0.00974910559326354,0.343610251474912,0.239791854614187,0,130.162134873185,-43.7890275200389,2462
-0.5,-3,0.001,0.001,0.001,0.001,0.2,0.2,,-0.787055068339214,-3.56991910449126,0.000823780537904042,0.0019489378662661,0.0179561217248623,-0.00229585763892539,0.294547591816828,0.23841424210833,0,120.537300881015,-38.9766105239539,1495
-2,-3,0.001,0.005,0.005,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,3733
-1,-1,0.005,0.001,0.005,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,3818
0.5,-3,0.001,0.005,0.005,0.005,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,2712
-0.5,-5,0.005,0.005,5e-04,0.005,0.2,0.2,,-0.610846625752174,-5.56928342378773,0.000793172382239573,0.00210619761263366,0.103887417744028,-0.0257174819297049,0.203474048469867,0.239838179253368,0,194.501536288675,-75.9587282277841,2211
-1,-1,5e-04,0.001,5e-04,0.001,0.2,0.2,,-0.814331801192161,-3.16231861870966,0.000805996048304902,0.00173876376816867,0.0104563629739953,-0.000502249319810986,0.299019794609027,0.247057382071441,0,125.216735986865,-41.3163280768787,3146
-2,-0.5,0.005,0.001,5e-04,5e-04,0.2,0.2,,-0.809253553702762,-3.9356308381319,0.000477991231217036,0.00346992235487084,0.00809270431693127,-0.00267167451172502,0.412837213799004,0.272015092147766,0,176.056724984508,-66.7363225757003,109
0.5,-3,5e-04,0.001,0.001,5e-04,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,328
-2,-3,0.001,5e-04,0.005,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,3605
-2,-3,5e-04,0.001,5e-04,0.001,0.2,0.2,,-0.771808713467957,-3.04249442309263,0.000823053299682191,0.00205844230865364,0.0112347355451607,-0.000956062531010305,0.302808512139792,0.237536078066235,0,124.509238746367,-40.9625794566297,1221
0.5,-0.5,0.005,0.001,5e-04,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,3184
-1,-0.5,0.001,0.005,0.001,0.001,0.2,0.2,,-0.752907688805683,-2.74511773129375,0.000617034753816079,0.00193219965523967,0.0073449623010246,-0.000702697613743903,0.289066633448182,0.24730519314389,0,104.247599659882,-30.8317599133875,3518
-0.5,-0.5,0.005,0.005,0.001,5e-04,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,431
-2,-3,0.001,0.001,0.005,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,3797
0.5,-5,0.001,5e-04,5e-04,5e-04,0.2,0.2,,-25.5310354830145,-26.0290338730221,9.40518731384328,5.43514208477722,29.4577799948767,22.4726503427907,0.426775644225963,0.258657204852052,0,302.579463089907,-129.9976916284,52
-1,-3,0.001,0.001,5e-04,0.001,0.2,0.2,,-0.801448013497788,-3.47978638809207,0.000456684130004764,0.00185764682835111,0.0162652380049017,-0.00207210718645168,0.300961980454422,0.238389065649988,0,96.8313005065863,-27.1236103367395,3190
0.5,-1,5e-04,0.005,0.001,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,3980
-2,-5,0.001,5e-04,0.001,0.005,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,2865
-0.5,-1,0.001,0.001,0.005,0.001,0.2,0.2,,-1.04600415880963,-6.0582154724798,0.000691884602174574,0.000597600757275416,-0.0108282813684091,0.000370059862334235,0.328616619396447,0.253119834633152,0,166.227640511435,-61.8217803391641,3707
0.5,-5,0.005,0.005,5e-04,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,3236
-0.5,-0.5,5e-04,5e-04,0.001,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,1295
-0.5,-3,0.005,0.005,0.001,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,1447
0.5,-3,0.001,0.001,0.005,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,1624
0.5,-1,5e-04,5e-04,0.001,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,3852
-2,-5,0.001,5e-04,0.001,0.001,0.2,0.2,,-0.848809696822174,-6.56688204125919,0.000769080137797296,0.00200698317264434,0.382722034235345,-0.00319174650132411,0.295101019056011,0.238315389880124,0,133.430738037148,-45.4233291020204,1841
-1,-3,0.001,0.001,0.001,0.001,0.2,0.2,,-0.667770177488443,-3.73434090061438,0.000687862569110677,0.00197242669665908,0.0156403564550605,-0.00309292497563972,0.275852098501124,0.246765617671073,0,104.673331502443,-31.044625834668,2038
0.5,-0.5,5e-04,0.001,5e-04,5e-04,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,208
-1,-5,0.005,0.005,0.001,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,4002
-2,-1,0.001,0.001,0.001,5e-04,0.2,0.2,,-0.785231037915855,-5.64509992517607,0.000540151376269259,0.00269095557553083,0.0637333905369191,-0.0152744744673707,0.270207144543894,0.235703357982742,0,102.388360199321,-29.9021401831071,985
-2,-3,5e-04,0.001,0.001,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,3909
-0.5,-0.5,5e-04,0.005,5e-04,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,3215
-1,-0.5,0.001,5e-04,0.001,0.005,0.2,0.2,non-finite finite-difference value [5],,,,,,,,,,,,2334
-0.5,-5,0.001,0.001,0.001,5e-04,0.2,0.2,,-0.529606408922873,-4.99528058078195,0.000819937233711858,0.00142010798378441,0.0807210371841154,-0.0181257853735585,0.237096588695786,0.214488445858692,0,191.066594200462,-74.2412571836775,979
-2,-0.5,0.001,5e-04,0.001,0.001,0.2,0.2,,-0.773744198053389,-5.64312698976677,0.000813539903577601,0.00192890146365851,0.012240367436862,-0.00185235344562,0.292119701016612,0.229451754475001,0,148.712114076048,-53.0640171214703,3901
-1,-0.5,0.005,0.001,0.005,0.001,0.2,0.2,,-1.00001720594084,-0.500014225718695,0.000681010941856803,0.00299699636970843,0.00399709019560579,0.000442695576911293,0.200210655212713,0.200085057667781,0,933.59388480493,-445.504902485911,3694
0.5,-3,0.001,5e-04,0.001,0.005,0.2,0.2,,-0.707794912101098,-4.61781110485161,0.000613690790653499,0.00217118685404421,0.0485023831772919,-0.00752414925462872,0.275832236509055,0.238907210024575,0,91.674847188161,-24.5453836775269,2360
-0.5,-0.5,0.001,0.001,0.001,5e-04,0.2,0.2,,-0.64019560627538,-3.50169204071054,0.000712444400379772,0.00210828127503408,-0.00371812257473934,-0.000240064323656204,0.292593114839447,0.256647402111932,0,156.839108551047,-57.1275143589701,863
-2,-3,5e-04,0.005,5e-04,0.005,0.2,0.2,,-0.718997429716039,-3.6892595274186,0.00059140613397818,0.00319946534348468,0.0218271160793918,-0.00282139097092667,0.308155120505111,0.307712760926396,0,134.437456489595,-45.9266883282439,2181
-2,-0.5,0.001,0.001,0.005,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,3805
0.5,-5,0.001,0.005,5e-04,0.001,0.2,0.2,,-9.9057039125951,-9.5983772858708,0.216164433291799,-7.18528717229582,6.69234064760014,-1.09841215580183,0.42206674880519,0.238924646015565,0,265.502205573541,-111.459062870217,1172
-2,-1,0.005,0.001,0.001,5e-04,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,873
0.5,-0.5,0.001,0.005,0.005,0.005,0.2,0.2,,-37.5462825216654,-24.9225696041821,7.54275367808403e-05,0.00829376452706915,-0.0714860571513641,0.00497212105247175,0.426775648705804,0.258661195472203,0,302.579430605867,-129.99767538638,2720
0.5,-0.5,0.001,0.005,5e-04,0.001,0.2,0.2,,-0.917946481312727,-9.36824108076815,0.000528654238137505,0.00210972539480633,4.59166759134488,-0.830262886818259,0.285262552198674,0.227888246010219,0,97.7410921091773,-27.578506138035,1216
-2,-1,0.005,0.005,5e-04,0.005,0.2,0.2,,-1.12356437282191,-1.70587009241719,0.000663751389694599,0.00152200093012083,0.0064086356139364,2.08276305844697e-05,0.403148356216969,0.257735583142656,0,202.090887226451,-79.7534036966719,2217
0.5,-1,5e-04,0.005,0.005,5e-04,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,652
0.5,-1,0.001,0.001,0.001,5e-04,0.2,0.2,,-0.809889101306511,-5.25149373427268,0.000822134256054794,0.00188389459458254,-0.00784410723284362,-0.000743077399051224,0.308272150125505,0.259735807243726,0,154.120426606684,-55.7681733867885,1020
-0.5,-3,0.005,0.001,0.001,0.005,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,2407
-1,-0.5,5e-04,0.005,0.001,0.001,0.2,0.2,,-0.745697679842756,-3.00519724096247,0.000755797199574273,0.00201331930327823,0.00795997352428733,-0.000912194834964093,0.287982265190996,0.243731873935999,0,117.444750811101,-37.4303354889969,3470
-2,-5,0.001,0.005,0.005,0.001,0.2,0.2,,-0.740136674882749,-5.22078443045774,0.000836788719136192,0.00190711733012284,0.0861386189448412,-0.0158593335841251,0.29708783004817,0.242264957049613,0,120.807813202213,-39.1118666845527,3729
-0.5,-1,0.001,0.001,0.001,5e-04,0.2,0.2,,-0.833682263891735,-3.26627387736151,0.000601740046791717,0.00188765258702448,0.0114958611765344,-0.00107848120192863,0.303735950794639,0.249090425440576,0,103.148803568601,-30.282361867747,379
-2,-3,0.001,0.005,5e-04,0.005,0.2,0.2,,-0.798949288819344,-3.21968133461881,0.000813263224332187,0.00194526476061768,0.0123013888118752,-0.0012696971319637,0.303820483350332,0.240649408109705,0,121.731222514627,-39.5735713407596,2197
-0.5,-5,0.001,0.005,0.001,0.001,0.2,0.2,,-0.74608611830697,-6.32421126606058,0.000816199069343567,0.00205215823069176,0.256138996995901,-0.0338005079786674,0.288333500872322,0.239888514257997,0,119.230144368184,-38.3230322675386,3475
-0.5,-1,0.001,0.001,5e-04,0.005,0.2,0.2,,-0.749891259452991,-3.93341045334739,0.000709197763463447,0.00193793745778532,0.0195541963982505,-0.00453253709876835,0.295583860967593,0.238978403014604,0,106.874298024259,-32.145109095576,2267
-2,-0.5,0.001,0.001,5e-04,0.005,0.2,0.2,,-0.650973322451472,-3.63068989843322,0.000554991942236328,0.00258177506838199,0.019572549662442,-0.00280523295725643,0.329044142079809,0.208195783182903,0,113.380904485981,-35.3984123264367,2141
-2,-5,0.005,0.005,0.001,0.001,0.2,0.2,,-0.856519187834367,-5.13464881086592,0.000799081233151012,0.00179363056959009,0.0785045061488876,-0.0134546282179032,0.3197038120769,0.239062339143691,0,118.960047953148,-38.1879840600205,1953
-1,-5,0.001,0.001,0.001,0.001,0.2,0.2,,-0.759393145796313,-5.53305728580809,0.000769261032293023,0.00225452606730789,0.114645594514381,-0.0244159365681987,0.305995394851024,0.238299269549253,0,113.33658941554,-35.3762547912166,1490
0.5,-5,0.001,0.001,0.001,0.001,0.2,0.2,,-23.6260980215141,-8.45942249279037,3.74939312593882,3.96288861092601,2.0867413263694,-0.34736819648141,0.426771301564947,0.239059028736426,0,270.301540460701,-113.858730313797,1908
0.5,-5,0.001,0.001,0.001,0.001,0.2,0.2,,-23.6260980215141,-8.45942249279037,3.74939312593882,3.96288861092601,2.0867413263694,-0.34736819648141,0.426771301564947,0.239059028736426,0,270.301540460701,-113.858730313797,4084
-1,-0.5,0.001,0.001,0.005,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,1790
-0.5,-5,0.005,0.001,5e-04,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,1251
0.5,-0.5,0.001,0.001,0.005,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,3712
-0.5,-1,0.001,0.001,0.001,0.005,0.2,0.2,,-1.53843345811224,-4.57373199300089,0.000535519907490452,0.00263305932090951,0.0382531484063268,-0.00584131768374248,0.370494238858226,0.24579821534227,0,172.312820643527,-64.86437040521,2523
-0.5,-1,5e-04,0.001,0.001,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,3403
-0.5,-5,0.005,0.001,0.005,0.001,0.2,0.2,,-0.497440539448424,-5.00013659884458,0.000651072465138519,0.00292899209519697,0.000825540577595728,-0.00668532037006758,0.195006229901117,0.259065870980395,0,272.827352910035,-115.121636538464,1763
-2,-0.5,5e-04,0.001,0.001,5e-04,0.2,0.2,,-20.9189668972961,-7.41636646500503,0.00210280772837205,-0.0422107008158575,0.737048959692445,-0.122146293971079,0.426725574643075,0.239054403265038,0,270.310028548225,-113.862974357559,973
-0.5,-1,0.005,0.001,5e-04,0.005,0.2,0.2,,-0.500041762827352,-1.00073672788651,0.000820353790454736,0.00218079537611249,0.00362710735623962,0.000240305120339866,0.205380880390298,0.204217709893375,0,514.422615518931,-235.919267842912,2283
-2,-5,0.001,0.005,5e-04,0.001,0.2,0.2,,-0.774489781026648,-7.16009852033149,0.000827918605525676,0.00178802365675892,0.442593268732186,0.000612699094433806,0.287858567865647,0.252332640139172,0,138.179447851967,-47.7976840094299,1201
-1,-3,5e-04,5e-04,0.005,0.001,0.2,0.2,,-1,-3,0.000500000000000206,0.00499999999999991,0.00050000000000001,0.000999999999999981,0.2,0.2,0,550.486823392472,-253.951371779682,3590
-0.5,-0.5,5e-04,0.001,0.005,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,1743
-2,-0.5,0.005,5e-04,5e-04,0.001,0.2,0.2,,-0.792691856159481,-2.71204508338849,0.000774550177753931,0.00172436273780238,0.00262514544942946,0.000238402825840807,0.292171249142746,0.252582137056731,0,146.001523951111,-51.7087220590019,3117
-0.5,-3,0.001,0.001,0.005,0.001,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,1783
-0.5,-3,0.001,0.005,5e-04,5e-04,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,183
-0.5,-0.5,0.001,0.001,0.001,5e-04,0.2,0.2,,-0.64019560627538,-3.50169204071054,0.000712444400379772,0.00210828127503408,-0.00371812257473934,-0.000240064323656204,0.292593114839447,0.256647402111932,0,156.839108551047,-57.1275143589701,991
-2,-5,0.001,0.001,0.001,0.005,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,2929
-2,-1,0.001,5e-04,5e-04,0.005,0.2,0.2,,-9.46440377372401,-6.01970543987877,0.141654906324285,-4.65065743967559,0.189946550479999,-0.0302181992931498,0.422037306788746,0.238978795469837,0,265.534765203675,-111.475342685284,2073
-2,-5,5e-04,0.001,0.001,0.001,0.2,0.2,,-2,-5,0.000500000000000311,0.000999999999999949,0.00100000000000001,0.000999999999999941,0.2,0.2,0,480.991442444133,-219.203681305513,3393
-0.5,-5,0.001,0.001,0.005,0.005,0.2,0.2,non-finite finite-difference value [2],,,,,,,,,,,,2675
