a_log,h_log,log_w,sigma,sigma2,error,a_log.est,h_log.est,log_w.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-2.5,-4,-6.25,0.2,0.2,,-1.55628559894013,-4.58645396085487,-6.45283968841358,0.42062455146043,0.280385056950848,0,2847.68163211426,-1408.21587795148,82
-1,-3,-6.25,0.2,0.2,,-1.55396371465034,-4.58797849812956,-6.44586622185895,0.420270258791961,0.28036903012229,0,2847.67873420263,-1408.21442899566,90
-2.5,-4,-5,0.2,0.2,,-1.55628559894013,-4.58645396085487,-6.45283968841358,0.42062455146043,0.280385056950848,0,2847.68163211426,-1408.21587795148,107
-1.5,-3,-6.25,0.2,0.2,,-1.55390085353073,-4.58839051402931,-6.44446308644215,0.420221421545399,0.280340822427469,0,2847.67875961909,-1408.2144417039,89
-2,-4,-5,0.2,0.2,,-1.55419414751105,-4.58771646159083,-6.44737385894302,0.420321101926872,0.280319065596816,0,2847.67880728377,-1408.21446553623,108
-1.5,-2,-6.25,0.2,0.2,,-1.55361930289602,-4.58733322471732,-6.44582737754991,0.420284127484748,0.280281601968195,0,2847.67880601179,-1408.21446490025,94
-1,-1,-6.25,0.2,0.2,,-1.55380636543588,-4.58871523723227,-6.44525646632648,0.420201821333218,0.280320655269537,0,2847.67876023561,-1408.21444201215,100
-2.5,-3,-6.25,0.2,0.2,,-1.55392981687289,-4.58691731425195,-6.44747870177601,0.420190799724493,0.280339112596478,0,2847.6788558049,-1408.2144897968,87
-1,-1,-5,0.2,0.2,,-1.55400975369919,-4.58864788795314,-6.44771524678528,0.420166864115344,0.280326587028599,0,2847.67888491338,-1408.21450435104,125
-1.5,-2,-5,0.2,0.2,,-1.55321258213048,-4.58936803655953,-6.43829190395028,0.420639396539651,0.280371914166799,0,2847.68005651075,-1408.21509014973,119
-1.5,-4,-7.5,0.2,0.2,,-1.55382776893169,-4.58756767349851,-6.44476477508261,0.420297759022652,0.280340228381591,0,2847.67875700083,-1408.21444039477,59
-2.5,-5,-5,0.2,0.2,,-1.55332045949253,-4.58816104787018,-6.44365472554306,0.420295580723346,0.280394561612875,0,2847.67879592636,-1408.21445985753,102
-1,-1,-10,0.2,0.2,,-1.55400975369919,-4.58864788795314,-6.44771524678528,0.420166864115344,0.280326587028599,0,2847.67888491338,-1408.21450435104,25
-2.5,-3,-10,0.2,0.2,,-1.55361576982869,-4.58749250459761,-6.44183294794905,0.42018654545366,0.280344870790861,0,2847.67901087613,-1408.21456733242,12
-3,-1,-6.25,0.2,0.2,,-1.55474923858307,-4.58593761402761,-6.44904111374884,0.420162690291105,0.280301844388706,0,2847.67940619228,-1408.21476499049,96
-1,-4,-6.25,0.2,0.2,,-1.55341905794734,-4.58768608016538,-6.44577558657826,0.420496109178593,0.280339364498602,0,2847.67908880213,-1408.21460629542,85
-2.5,-5,-6.25,0.2,0.2,,-1.55332045949253,-4.58816104787018,-6.44365472554306,0.420295580723346,0.280394561612875,0,2847.67879592636,-1408.21445985753,77
-1,-4,-10,0.2,0.2,,-1.55341905794734,-4.58768608016538,-6.44577558657826,0.420496109178593,0.280339364498602,0,2847.67908880213,-1408.21460629542,10
-1,-1,-8.75,0.2,0.2,,-1.55400975369919,-4.58864788795314,-6.44771524678528,0.420166864115344,0.280326587028599,0,2847.67888491338,-1408.21450435104,50
-2.5,-1,-5,0.2,0.2,,-1.55329872082413,-4.58747910266697,-6.44439602917335,0.420303185372733,0.280329756454565,0,2847.67878449864,-1408.21445414367,122
-1,-3,-10,0.2,0.2,,-1.5536131742988,-4.58694056811604,-6.44631462711156,0.420270304259417,0.280320614767248,0,2847.67879652291,-1408.21446015581,15
-3,-4,-7.5,0.2,0.2,,-1.55371259151062,-4.58561396502136,-6.44747204918671,0.420262141131325,0.2803831175444,0,2847.67898691424,-1408.21455535147,56
-2,-2,-5,0.2,0.2,,-1.55337174847091,-4.58918736464314,-6.44406897766787,0.420229999626663,0.280374231112151,0,2847.67884745142,-1408.21448562006,118
-2.5,-3,-5,0.2,0.2,,-1.55361576982869,-4.58749250459761,-6.44183294794905,0.42018654545366,0.280344870790861,0,2847.67901087613,-1408.21456733242,112
-1.5,-3,-7.5,0.2,0.2,,-1.55388321154126,-4.58830286630239,-6.44485464472104,0.420249151996645,0.280302971596105,0,2847.67875426897,-1408.21443902883,64
-2.5,-2,-7.5,0.2,0.2,,-1.55390681795129,-4.5866236535506,-6.4455145906889,0.420271227830042,0.280438151390692,0,2847.67895930515,-1408.21454154693,67
-1,-5,-5,0.2,0.2,,-1.55386255202452,-4.58737734654294,-6.44427546027301,0.420213741323211,0.280373775211661,0,2847.67884462556,-1408.21448420713,105
-3,-3,-8.75,0.2,0.2,,-1.55484122127388,-4.5792735047971,-6.46082952744939,0.420344304396176,0.280429877606597,0,2847.68344601397,-1408.21678490133,36
-3,-4,-6.25,0.2,0.2,,-1.55371259151062,-4.58561396502136,-6.44747204918671,0.420262141131325,0.2803831175444,0,2847.67898691424,-1408.21455535147,81
-1,-2,-10,0.2,0.2,,-1.55539231335166,-4.58851481022312,-6.45011615482535,0.420162003957585,0.280363183195194,0,2847.67947466837,-1408.21479922854,20
-2,-4,-7.5,0.2,0.2,,-1.55363192441568,-4.588277749799,-6.44408959172796,0.420227735263739,0.280314281799199,0,2847.67875032306,-1408.21443705588,58
