a_log,h_log,h12,log_w,sigma,sigma2,error,a_log.est,h_log.est,h12.est,log_w.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1,-2,-0.00035,-10,0.2,0.2,,-1.78849061854932,-1.15911119750712,-0.000632559861525954,-10.8869848210794,0.583816197730982,0.274408334784293,0,3142.68746924515,-1552.5938088958,45
-1.5,-4,-5e-04,-6.25,0.2,0.2,,-1.63835934789488,-3.89843740215684,-7.8729722206277e-06,-10.1109490270437,0.427489525261071,0.281493856338965,0,2885.44099102343,-1423.97056978493,384
-1.5,-5,-5e-04,-10,0.2,0.2,,-1.65603061739537,-4.04199110388634,-3.50377096618198e-06,-9.46596220066155,0.433295124238515,0.277517714589016,0,2879.03535582322,-1420.76775218483,4
-1,-5,-2e-04,-6.25,0.2,0.2,,-1.61744709428698,-3.90295831583747,-3.98822057472528e-05,-6.41346225117591,0.485044552835464,0.35725466896739,0,2931.20015772195,-1446.8501531342,430
-2.5,-5,-0.00035,-5,0.2,0.2,,-1.73832955293981,-4.66362065711839,1.72791794644385e-05,-10.100721983967,0.427453523047806,0.280482070182606,0,2871.36999293198,-1416.93507073921,527
-2.5,-1,1e-04,-8.75,0.2,0.2,,-2.29212788538364,0.0619865568910738,-1.16031665767262,-10.7876128182768,0.636861293172423,0.280103719986201,0,3279.02451369689,-1620.76233112167,247
-1.5,-1,-2e-04,-10,0.2,0.2,,-1.95011807454635,-0.862639252137164,-0.00203820117558536,-9.3450763392174,0.575617219727157,0.288495346189496,0,3162.24882290599,-1562.37448572622,74
-3,-3,-5e-04,-5,0.2,0.2,,-4.74517775444468,-1.19532711850569,-4.61160427776439,-18.2266288261424,0.640682898911674,0.280129246346896,0,3290.50132526154,-1626.50073690399,511
-1,-4,-5e-05,-6.25,0.2,0.2,,-1.78552652077198,-5.10187014211999,2.89060566192793e-05,-9.90931665874752,0.43838683790195,0.275249122257137,0,2874.43875644144,-1418.46945249394,460
-2,-5,-5e-05,-5,0.2,0.2,,-1.72427461515536,-4.42195280484504,7.63105030904112e-06,-9.76504240213341,0.428098283914507,0.278572043163095,0,2872.10324029292,-1417.30169441968,578
-1.5,-3,-2e-04,-10,0.2,0.2,,-1.48858476642872,-4.28309560500729,-2.17041915678907e-05,-6.03414600361882,0.418180252381069,0.280281213118907,0,2848.7579211467,-1405.62903484657,64
-1,-5,-0.00035,-5,0.2,0.2,,-1.61680120031359,-3.91281081154015,-3.95919749631171e-05,-6.40343710205707,0.483906136626064,0.356678933409319,0,2929.69412840265,-1446.09713847455,530
-1.5,-2,-5e-04,-7.5,0.2,0.2,,-2.03891209608637,-2.78263091795538,-0.000125755009894211,-8.65756030060293,0.451111272597661,0.260286417330827,0,3003.92748318133,-1483.21381586389,269
-3,-3,1e-04,-6.25,0.2,0.2,,-4.74154729825171,-1.20674492187825,-4.59459655328647,-18.1860731088198,0.640713300098052,0.280162701359214,0,3290.50142486148,-1626.50078670396,486
-2.5,-4,-0.00035,-10,0.2,0.2,,-1.69809008992849,-4.17809365775859,-1.78877851459358e-06,-9.34428779862136,0.42884013838454,0.279359654231801,0,2874.69885967585,-1418.59950411115,32
-1,-2,-2e-04,-7.5,0.2,0.2,,-1.58213396605337,-2.25181344576194,-0.000187238728935626,-9.03605561813847,0.481006455080992,0.265959595234476,0,3022.74887120426,-1492.62450987535,320
-2,-4,-5e-04,-10,0.2,0.2,,-1.72993863039181,-4.85962404469576,1.9568481189387e-05,-8.24109013012266,0.424741170628319,0.280651926104994,0,2866.86898377058,-1414.68456615851,8
-1.5,-5,-5e-05,-10,0.2,0.2,,-1.68775128597708,-4.41519873296082,1.17537563085622e-05,-9.67410346987748,0.429667432125895,0.286760714611625,0,2872.98189007797,-1417.74101931221,79
-1,-2,-5e-05,-8.75,0.2,0.2,,-1.33622049939064,-3.96543552387862,-4.40375799340071e-05,-5.51358270386563,0.420531313179901,0.281235129047343,0,2852.19525728027,-1407.34770291336,220
-2,-1,1e-04,-10,0.2,0.2,,-2.89692087713617,-0.213227716250255,-0.989076035063196,-9.04087807458887,0.638125274130346,0.280613176529775,0,3283.64567156953,-1623.07291005799,123
-1,-3,-2e-04,-7.5,0.2,0.2,,-1.54668505877835,-3.91336319906964,-3.20559872518475e-06,-8.38057952915692,0.430253181092395,0.358451947351159,0,2937.46065128051,-1449.98039991347,315
-2,-4,-5e-04,-8.75,0.2,0.2,,-1.72993863039181,-4.85962404469576,1.9568481189387e-05,-8.24109013012266,0.424741170628319,0.280651926104994,0,2866.86898377058,-1414.68456615851,133
-1,-1,-5e-04,-10,0.2,0.2,,-0.795607495235883,-2.09333453345,-0.000289378795615195,-4.15641852767403,0.503589864873633,0.273730357243526,0,3022.59392233467,-1492.54703544055,25
-3,-5,-5e-04,-10,0.2,0.2,,-3.86463879392137,-3.19404680272301,-0.797265334480808,-9.7580058111291,0.639298318974284,0.280312950983809,0,3289.4262326895,-1625.96319061797,1
