"","a_log","a12","h12","h_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","h12.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"81","-1","-0.00035","-5e-04","-4","-2","-0.5","5e-04","0.001","0.005","0.005","-10","0.2","0.2","881385","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"82","-1.5","1e-04","-2e-04","-1","-2","-0.5","0.005","5e-04","5e-04","5e-04","-10","0.2","0.2","471199","NaN","-3.15841095649646","0.000311999140440953","0.608769991848023","0.379330074373463","-2.02279434936503","-1.70567122792108","0.00211016653169916","0.00216760671693953","0.0024515128128262","0.00089169522540839","-9.40478268444354","0.244914113253423","0.245598277483756","0","1965.991047606","-942.172950849756"
"83","-2","1e-04","-5e-04","-5","-2","-1","0.005","0.001","0.005","0.001","-15","0.2","0.2","283148","NaN","-1.79302175117078","1.97224737571501","-5.05176830250986","0.68893433080469","-1.92389269285426","-1.66101595897085","0.0019512858215826","0.00237792798208072","0.00246383134251484","0.000853773489261328","-14.8767966850594","0.245997268765218","0.241240534713005","0","1962.80014443491","-940.577499264216"
"84","-3","-5e-04","1e-04","-3","-2","-0.5","5e-04","0.005","0.005","5e-04","-10","0.2","0.2","594726","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"85","-2","-5e-05","1e-04","-3","-0.5","-3","0.005","0.001","0.005","0.005","-5","0.2","0.2","1345993","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"86","-1.5","1e-04","-5e-05","-4","-0.5","-1","5e-04","0.001","5e-04","0.001","-10","0.2","0.2","627724","NaN","-1.39652256126713","-0.00057501299015259","-3.61839248705513","0.00116958124600425","-0.534537130945948","-1.01414150261125","0.00171875894207938","0.00276920592044351","0.00417459655095631","0.000639849789239046","-9.92831447318697","0.390865006208278","0.381673864942868","0","2397.2213948992","-1157.78812449636"
"87","-3","-5e-05","-0.00035","-5","-1","-0.5","0.001","0.001","0.001","0.001","-10","0.2","0.2","685041","NaN","-1.86915767144683","-0.000345396659633987","-4.34255728281821","0.000326017427149599","-0.655261859912845","-0.777532217867926","0.00126082200084196","0.0022439637746357","0.00278825580553232","0.00127937544559717","-10.792925891909","0.229715562746365","0.293074125846961","0","2036.32127222175","-977.338063157635"
"88","-2","-2e-04","-5e-05","-1","-0.5","-0.5","0.001","5e-04","0.001","0.001","-10","0.2","0.2","669338","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"89","-1","-0.00035","-5e-04","-4","-0.5","-1","5e-04","0.001","5e-04","0.001","-10","0.2","0.2","627635","NaN","-1.00547313827212","-0.0172227172619084","-3.58752251484057","1.09510462738993","-0.713282063198668","-1.39810224772816","0.00170736717227705","0.00244606581068615","0.00250480214843973","0.000662940424070043","-10.2810627113777","0.296279519936587","0.24234889269177","0","2263.42419735893","-1090.88952572622"
"90","-2","-0.00035","-0.00035","-4","-2","-3","0.001","0.005","0.005","0.001","-5","0.2","0.2","1203908","NaN","-2.06152643744085","-0.00139015606760045","-4.02314678192862","0.358174970264575","-2.07502526314204","-2.88437753216983","0.00192577932826851","0.00288892595008303","0.00303753992388175","-0.00086146141223277","-4.97180574597141","0.251977624918175","0.250947468539619","0","2011.33460233357","-964.844728213542"
"91","-3","-5e-04","-0.00035","-3","-1","-3","5e-04","0.001","5e-04","5e-04","-15","0.2","0.2","17776","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"92","-2","-5e-05","-5e-05","-5","-2","-0.5","0.005","0.005","0.005","0.001","-5","0.2","0.2","1213218","NaN","-1.99689061306953","0.798864250712068","-5.21834020695507","0.666302166814994","-1.92029001444674","-1.66089402499654","0.00194627495975283","0.00237916348460006","0.00246659907916458","0.000851925688296985","-5.39776706572647","0.245933682896431","0.241250088572874","0","1962.61981160506","-940.487332849289"
"93","-1","1e-04","-0.00035","-5","-2","-3","0.005","5e-04","0.001","0.001","-5","0.2","0.2","1125050","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"94","-3","-5e-04","-5e-04","-5","-2","-1","0.001","5e-04","0.001","0.001","-15","0.2","0.2","210001","NaN","-2.22959231777905","1.04301799540969","-4.75732405871706","0.678379679290409","-1.92187467541267","-1.65911548384797","0.00195174614574049","0.00237560993087229","0.00246179126749883","0.000855677575101762","-15.5534945174089","0.246037728711826","0.241282657066764","0","1962.76193471329","-940.558394403405"
"95","-3","-2e-04","-0.00035","-2","-0.5","-3","0.005","0.001","5e-04","0.001","-15","0.2","0.2","181661","NaN","-4.76362148417717","0.00119517442228927","-3.53962285052709","0.367727938664286","-1.93372797268969","-1.71691962630799","0.00196331635170593","0.00231103192175985","0.00245897668781908","0.00081116789474891","-12.9787367603629","0.246331614160026","0.241482407421758","0","1964.04006189931","-941.197457996415"
"96","-2","-2e-04","1e-04","-1","-1","-3","0.001","0.001","0.001","0.001","-5","0.2","0.2","1137488","NaN","-1.97476200614999","-0.000293898926018341","-1.70909402379191","-0.00049054458319424","-1.05558434031559","-2.28913693107361","0.00147733948565405","0.00197015581778798","0.00347134985728266","-0.000532001582039504","-4.74306395641768","0.232198224822606","0.23790674070431","0","1900.65994784632","-909.50740096992"
"97","-3","-0.00035","1e-04","-1","-1","-3","5e-04","0.001","0.001","5e-04","-10","0.2","0.2","524356","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"98","-2.5","-5e-05","-5e-04","-2","-2","-3","5e-04","5e-04","0.001","0.001","-10","0.2","0.2","658517","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
