"","a_log","a12","h12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","h12.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"21","-2.5","-0.00035","-5e-05","-1","-1.75","-1","-1","0.005","0.005","0.005","5e-04","-15","0.2","0.2","745582","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"22","-3","-5e-05","-0.00035","-3","-3","-2","-3","0.005","0.005","0.001","5e-04","-5","0.2","0.2","5034666","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"23","-3","1e-04","1e-04","-2","-0.5","-2","-1","0.001","5e-04","0.001","5e-04","-5","0.2","0.2","4849871","NaN","-2.97103671738899","-8.76681616917505e-05","-1.72318250718861","-0.00072080552856604","-0.418441462806345","-1.64116516977895","-1.2004477364482","0.00141516106217019","0.0016877669556252","0.00294149093158978","0.000874363572586711","-5.13046668333845","0.220883891210489","0.258912220275711","0","1913.62161787934","-912.848038066946"
"24","-3","1e-04","-2e-04","-4","-3","-2","-0.5","5e-04","0.005","0.005","0.005","-15","0.2","0.2","2212696","NaN","-2.96985120433347","-0.0001329372415961","-4.00700427951689","0.000585435099978168","-2.78782041416866","-1.79370698071468","-0.477265588526858","0.00117026789850855","0.00386467959848903","0.00387090398846812","0.00123054781874221","-14.617213032555","0.369871203950421","0.562628997032384","0","2653.46207731618","-1282.76826778537"
"25","-2.5","-2e-04","-2e-04","-4","-3","-1","-3","0.005","5e-04","0.005","5e-04","-5","0.2","0.2","5122062","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"26","-2","-0.00035","-0.00035","-5","-2.375","-0.5","-1","0.001","5e-04","0.005","0.005","-5","0.2","0.2","6625658","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"27","-2.5","1e-04","-0.00035","-2","-2.375","-2","-1","0.005","0.005","0.005","0.001","-5","0.2","0.2","6057297","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"28","-1","-5e-04","-5e-05","-3","-2.375","-2","-3","5e-04","0.001","5e-04","5e-04","-5","0.2","0.2","4641580","NaN","-2.00331959165413","0.00372616909894742","-4.40824077247321","2.83890775839548","-4.59193430054342","-2.04312529596643","-1.6741276095819","0.00200081175032692","0.00241420546318743","0.00246013208237466","0.00084312590685811","-4.51380069762345","0.247575664852545","0.241214805983418","0","1976.07774564839","-944.076101951472"
"29","-3","-5e-05","-5e-04","-3","-0.5","-0.5","-1","0.005","5e-04","5e-04","0.005","-10","0.2","0.2","3871516","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"30","-3","-0.00035","-2e-04","-4","-0.5","-0.5","-3","0.001","5e-04","0.005","5e-04","-15","0.2","0.2","543306","NaN","-1.86629477517324","-0.000301392875918665","-3.00726804112987","0.000148757358055225","-0.151749757226907","-0.830194686106812","-5.04973880664881","0.00142370050344284","0.00183267718877799","-0.0237921164962019","-0.0220395354113324","-14.0911505700999","0.217065882302577","0.268707139208592","0","1944.92132490037","-928.497891577464"
"31","-1.5","-0.00035","-5e-04","-4","-1.75","-0.5","-0.5","0.005","0.005","0.001","0.001","-5","0.2","0.2","5820134","NaN","-0.312881410577193","-0.0166784938394021","-4.96363626047492","0.961405914075791","0.128064874059787","-1.68030213054707","-2.64017492175094","0.00207806569685357","0.00213209995190763","0.0049407481645409","-0.00200600757996562","-5.32693830475591","0.247267568655872","0.25536594483115","0","2037.79562068962","-974.93503947209"
"32","-1.5","-2e-04","-5e-05","-3","-0.5","-1","-3","0.001","5e-04","0.001","0.005","-5","0.2","0.2","6362214","NaN","-1.56665003429136","-0.000428757243326421","-2.23101209825597","0.300736334572104","0.00200157988445646","-1.87691416015233","-1.65544059383402","0.00188824928003018","0.00223989457918988","0.00250073929701187","0.00085689775473879","-5.98369610840194","0.245802799217663","0.240226205338581","0","1961.17528316145","-936.624870708004"
"33","-1.5","-0.00035","-5e-04","-3","-2.375","-0.5","-0.5","0.001","0.005","5e-04","5e-04","-10","0.2","0.2","2500884","NaN","-1.45650157803989","0.00871397919445501","-2.99955666246173","2.6678416956026","-2.52486698513197","-2.0329359984371","-1.63304552199462","0.0020457825410082","0.0025061313967735","0.00241876725368837","0.000939409037697189","-12.7966147630715","0.248254498982631","0.241502764361758","0","1976.23865849847","-944.156558376514"
"34","-1.5","-2e-04","1e-04","-4","-3","-0.5","-1","0.001","0.005","0.005","5e-04","-10","0.2","0.2","2997114","NaN","3.27003155850082","-0.00617371973728708","-3.06957445564248","0.683870331725205","-3.0231502028673","-1.92383929128613","-1.66066380784937","0.00195366114790603","0.00237596033798695","0.00246639712097718","0.000853945459302168","-10.7349366377314","0.2459812141107","0.241290747875657","0","1969.22511614128","-940.649787197917"
"35","-2","-5e-05","-2e-04","-3","-1.125","-1","-3","5e-04","0.001","0.005","0.001","-10","0.2","0.2","3633443","NaN","-1.25009863437377","-0.00315257301204611","-4.81338986924671","1.8874450045104","-2.88322964885958","-2.00323158882071","-1.66479824867453","0.00185595365542235","0.00264983087591734","0.00248921719775532","0.000799178120118888","-10.1147848478404","0.246925565426919","0.241615209351818","0","1974.54862033878","-943.311539296667"
"36","-3","1e-04","-2e-04","-5","-3","-0.5","-1","5e-04","0.005","0.005","5e-04","-5","0.2","0.2","5246946","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"37","-2","-5e-04","-5e-05","-5","-1.125","-1","-3","5e-04","5e-04","5e-04","0.001","-10","0.2","0.2","3042578","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"38","-2.5","1e-04","-5e-04","-4","-1.75","-2","-3","0.001","0.001","0.001","0.005","-10","0.2","0.2","4163897","NaN","-2.94126616594519","0.0213740886723383","-2.2569900143853","2.65294795629549","-0.306436149185396","-2.04273642873122","-1.6738967425249","0.00199908126200741","0.00241667516369116","0.0024629403278552","0.000842539470594005","-12.1872266657437","0.247445894521585","0.241517903777921","0","1976.01680514734","-944.045631700949"
"39","-2","-2e-04","-5e-05","-5","-1.125","-0.5","-3","0.001","5e-04","0.001","0.005","-15","0.2","0.2","1808213","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"40","-1.5","-2e-04","-5e-04","-5","-2.375","-1","-1","0.005","0.005","0.005","5e-04","-15","0.2","0.2","744389","NaN","-2.45528855705919","0.407078956778701","-3.21088249054369","0.659553678089385","-3.37530766609202","-1.91667083456631","-1.6599247972186","0.00195078177188234","0.00238056616745637","0.00246780466093","0.000854671852280643","-15.5814813502966","0.246130545980701","0.241457525161565","0","1969.06345552486","-940.568956889707"
"41","-1.5","-0.00035","-2e-04","-4","-1.125","-0.5","-1","5e-04","0.005","0.001","5e-04","-10","0.2","0.2","2717684","NaN","-1.0582896786932","0.0033774313512545","-3.95731574097424","0.539386665129314","-1.50360571031396","-1.89748728327458","-1.66172005521984","0.00194695350463789","0.00234727171642708","0.00245918774362236","0.000852690226200723","-7.30922813263065","0.245759919997337","0.241404934216069","0","1967.9379946137","-940.006226434128"
"42","-2","1e-04","-5e-05","-5","-0.5","-1","-3","0.001","0.001","0.001","0.005","-5","0.2","0.2","6446348","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"43","-2","-2e-04","-2e-04","-2","-1.75","-2","-3","0.005","0.005","0.005","0.005","-5","0.2","0.2","6807938","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"44","-2.5","-5e-04","-5e-04","-2","-3","-1","-3","5e-04","0.005","0.001","0.001","-5","0.2","0.2","5741002","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"45","-1.5","-0.00035","1e-04","-4","-0.5","-0.5","-0.5","0.005","0.005","5e-04","0.001","-15","0.2","0.2","1012109","NaN","-3.96877284106425","0.0311934815380978","-4.19116220640511","0.00341799291513002","6.12056564464076","-1.51483626654102","-1.53879423553717","0.00176344159452964","0.00136321862928276","0.0022914961162382","0.00108459947689847","-10.9797456713731","0.230998767118829","0.242855902582318","0","1898.01108139586","-905.042769825209"
"46","-2","-2e-04","-2e-04","-2","-1.125","-1","-1","0.001","0.005","0.001","5e-04","-5","0.2","0.2","5021063","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"47","-2","1e-04","1e-04","-4","-1.75","-2","-0.5","5e-04","0.005","0.001","0.005","-5","0.2","0.2","6517123","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"48","-2.5","1e-04","-5e-04","-4","-0.5","-1","-3","0.005","5e-04","5e-04","0.001","-15","0.2","0.2","821397","NaN","-4.12985977446933","1.11508892076533","-7.61373398652603","0.662011252889212","2.00899183321531","-1.91703191338835","-1.66079299647695","0.00194696656074643","0.00239397564146608","0.00246204418168583","0.00085220887594745","-18.392716575509","0.246192699008693","0.241436903134397","0","1968.89813606077","-940.486297157663"
"49","-3","-5e-04","-5e-05","-2","-0.5","-2","-0.5","0.005","0.001","5e-04","0.005","-5","0.2","0.2","6237326","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"50","-2","1e-04","-5e-05","-4","-1.125","-2","-0.5","0.001","0.005","0.001","0.005","-10","0.2","0.2","4267723","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"51","-1.5","-0.00035","-5e-04","-4","-0.5","-0.5","-3","0.005","0.005","0.001","0.005","-5","0.2","0.2","6562009","NaN","-1.40515399756407","0.0278000442630119","-3.99300970660693","0.576840017898807","-0.423916116060476","-1.90024706748951","-1.66177824849585","0.00194018585789446","0.00238388233725344","0.0024686553881238","0.000851914026070969","-5.4840898425815","0.245473781541764","0.241248294102145","0","1968.18474919751","-940.129603726034"
"52","-2.5","-2e-04","-5e-05","-5","-3","-0.5","-1","5e-04","0.005","0.001","0.001","-15","0.2","0.2","1196962","NaN","-2.57155769024312","-0.000128148479449295","-5.1339299415549","0.0010573543930325","-0.531874022961082","-1.61580922554541","-2.01145868040508","0.000556027384258905","0.000990759060090017","0.00506812879789813","0.00102189965328895","-14.4932685932628","0.231285637770561","0.256131068181096","0","1967.76512068569","-939.919789470125"
