"","a_log","h_log","log_w","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"26","-1","-2","-6.25","-2","-0.5","5e-04","0.001","5e-04","5e-04","-10","0.2","0.2","95345","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"27","-3","-3","-7.5","-2","-3","0.001","0.005","0.001","5e-04","-15","0.2","0.2","18061","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"28","-2","-3","-5","-0.5","-3","5e-04","0.005","0.001","0.005","-10","0.2","0.2","169113","NaN","-2.66127163371655","-3.33045175579169","-7.91424175105937","-1.23063791343884","-1.64857480180333","0.00138383280426091","0.000941979104429452","0.00244634142028935","0.000868221961045497","-10.016600146323","0.216813295506943","0.241423140699776","0","1819.73622583607","-872.185737884272"
"29","-3","-1","-6.25","-1","-0.5","0.005","0.005","5e-04","0.001","-10","0.2","0.2","131471","NaN","-2.71552251013145","-3.42881526178011","-7.59403922996972","-1.25547823813028","-1.67573565620405","0.00134385742565757","0.000997810953566741","0.0024592872396923","0.000818867134237786","-7.4791822184754","0.215295815776747","0.241439483333571","0","1818.352637995","-871.493943963741"
"30","-1","-3","-6.25","-2","-0.5","0.005","5e-04","0.001","5e-04","-15","0.2","0.2","13215","NaN","-4.28383923135543","4.41187606332654","-11.0720501863722","-7.49391014931475","-1.67191221912845","0.115366011336486","-0.0362599387525669","0.00242830700766608","0.000841136078486917","-18.2205010567713","0.259707577004843","0.241461919034826","0","2014.65260998318","-969.643929957831"
"31","-2.5","-5","-10","-0.5","-0.5","0.001","0.005","0.005","0.001","-15","0.2","0.2","59502","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"32","-1","-5","-7.5","-2","-1","0.001","5e-04","0.005","0.005","-10","0.2","0.2","173680","NaN","-2.74744341150311","-5.25395590199899","-6.32743551184186","-1.26719865587367","-1.77373346802263","0.000969080836361972","0.00136794975134181","0.00231917241394249","0.000568986454964548","-11.1633877615532","0.215791059418958","0.244088152566498","0","1821.40902587211","-873.022137902292"
"33","-3","-1","-7.5","-2","-3","0.001","0.001","0.005","0.001","-10","0.2","0.2","146321","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"34","-2.5","-4","-6.25","-2","-0.5","5e-04","0.005","5e-04","5e-04","-10","0.2","0.2","98707","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"35","-1","-2","-10","-2","-3","0.001","5e-04","5e-04","5e-04","-15","0.2","0.2","1145","NaN","-1.06893803923633","-0.10021487282224","-2.28540927288731","-1.59382040505654","-1.83507371963944","0.00185183964628886","0.00194917243743572","0.00245315243441672","0.00063277259738902","-11.8581860413137","0.238497431711839","0.237470453164679","0","1924.17886379014","-924.407056861309"
"36","-2.5","-4","-8.75","-0.5","-1","0.005","5e-04","5e-04","0.001","-10","0.2","0.2","124407","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"37","-1.5","-4","-10","-1","-3","0.005","5e-04","5e-04","0.001","-15","0.2","0.2","32759","NaN","-2.45221314748583","-1.82481770256985","-11.2589055914231","-1.30289289761134","-1.67935961838523","0.00181225041397555","0.000743089024170571","0.00236095268576723","0.000869967754694222","-14.0791045600419","0.226287817098573","0.240325359330093","0","1864.68865197466","-894.661950953569"
"38","-1.5","-2","-7.5","-0.5","-3","0.001","5e-04","0.001","0.001","-15","0.2","0.2","41944","NaN","-2.21392552851625","-5.10946475502537","-5.01381380544608","-0.949007270435953","-1.58027077467314","0.000999883281581788","0.00182615497437088","0.00285299373403289","0.000773304183674224","-21.566742093331","0.220752683127621","0.249434333514465","0","1834.13897697982","-879.38711345615"
"39","-2","-3","-5","-1","-0.5","5e-04","5e-04","0.005","0.005","-5","0.2","0.2","264238","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"40","-1.5","-5","-5","-2","-0.5","0.005","0.001","0.001","5e-04","-5","0.2","0.2","198854","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
