"","a_log","h_log","log_w","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"73","-3","-5","-5","-1.75","-0.5","-0.5","0.001","0.001","0.001","0.001","-15","0.2","0.2","230351","NaN","-2.46823291637358","-3.89021639388449","-5.66437794776957","-0.201037836135416","-1.20255850548817","-1.64898728658999","0.00109978818565762","0.00142989168776603","0.00244095929232533","0.000799286795029696","-15.5828570361704","0.213327272063496","0.240551447675209","0","1813.94167627353","-866.148265183523"
"74","-3","-5","-8.75","-1.75","-2","-1","0.005","5e-04","0.001","0.001","-15","0.2","0.2","215901","NaN","-2.80778347236925","-5.37546982617796","-6.64698892336522","-0.113685698820719","-1.2942696362083","-1.67321015655115","0.000981665448185887","0.00137575905705787","0.00222528081736348","0.0009188005971459","-14.6923432223451","0.214592278045778","0.240987244715621","0","1833.62857347023","-875.991713781874"
"75","-2.5","-5","-10","-2.375","-2","-1","5e-04","5e-04","0.005","0.001","-10","0.2","0.2","710752","NaN","-2.34335143130612","-3.36605821500631","-6.79643611431526","-1.28042830633064","-1.06468956743318","-1.46755258944727","0.00134044746944842","0.00107635763433443","0.00245295221779215","0.00088976648149509","-12.8927855970891","0.216014316657618","0.241707049058743","0","1825.13593853204","-871.745396312779"
"76","-1.5","-5","-10","-2.375","-2","-0.5","0.001","0.001","0.005","0.005","-5","0.2","0.2","1342629","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"77","-2","-1","-5","-1.75","-1","-0.5","5e-04","5e-04","0.005","0.001","-5","0.2","0.2","1169123","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"78","-2.5","-1","-8.75","-3","-2","-1","0.005","0.001","0.005","0.005","-10","0.2","0.2","890672","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"79","-3","-4","-5","-1.75","-0.5","-1","0.005","5e-04","0.005","0.005","-5","0.2","0.2","1330981","NaN","-2.25785075446547","-3.40833998494047","-5.25917026497092","-1.23555002587504","-1.13417443776558","-1.64315534040369","0.00122398048136088","0.00152356965320835","0.00239897385172053","0.000929170084985125","-5.4255137562968","0.212894243329807","0.241562782012264","0","1809.85445806214","-864.104656077827"
"80","-3","-1","-10","-0.5","-0.5","-1","0.001","0.005","5e-04","0.005","-15","0.2","0.2","346771","NaN","-3.82884968592655","-0.0237353028701108","-4.05280604036831","1.94566937379354","-1.8054046054688","-1.61513890410296","0.00188347968878545","0.00233723166166618","0.0024505039332145","0.000879486795669098","-17.4491504647311","0.244055467273361","0.241811996840699","0","1953.59868770538","-935.976770899447"
"81","-3","-2","-8.75","-1.125","-2","-0.5","0.005","0.005","0.001","0.005","-10","0.2","0.2","859166","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"82","-1","-4","-5","-2.375","-2","-1","0.001","0.005","0.005","5e-04","-5","0.2","0.2","1053985","NaN","-2.02783822720474","-2.88746975291923","-4.67827987268157","-1.22630036687559","-1.11742741120602","-1.5884312590951","0.00136008993881236","0.0017332842220042","0.00251345598428911","0.000919203084634542","-5.12739522916471","0.213189140357131","0.240924093254098","0","1814.22853710989","-866.291695601706"
"83","-3","-5","-10","-2.375","-1","-3","0.005","0.001","5e-04","5e-04","-5","0.2","0.2","940126","NaN","-2.65171485011102","-6.20247895430051","-6.02454657061087","-1.03391955226117","-1.19771517217103","-1.6928198775377","0.00087733068431542","0.00147539468655064","0.00235698331999963","0.000869312789082495","-5.75448596761613","0.216600296818075","0.244547003869919","0","1839.05640864958","-878.705631371549"
"84","-2","-1","-6.25","-2.375","-2","-3","0.005","0.001","0.001","0.005","-15","0.2","0.2","382723","NaN","-2.50828487815031","-3.16967374653501","-5.8776248235937","-0.602854333838765","-1.31194011911367","-1.68703059976511","0.00129255949697879","0.0012844719244146","0.00247276165843453","0.000793023376971807","-17.0539056538681","0.212042824083544","0.238896506375154","0","1814.12453735786","-866.23969572569"
"85","-1.5","-2","-10","-1.125","-0.5","-1","0.005","0.005","5e-04","5e-04","-15","0.2","0.2","48519","NaN","-1.72256176616475","-2.64126754491869","-4.50931037989819","-0.129536063747495","-1.04591807030019","-1.67138754024263","0.00149971183338663","0.00166389645636192","0.00233102567716701","0.000957369483365978","-13.3265217946831","0.212199511758292","0.23859718150822","0","1819.16238350768","-868.7586188006"
"86","-3","-5","-6.25","-1.75","-0.5","-3","5e-04","5e-04","0.005","5e-04","-10","0.2","0.2","558451","NaN","-2.59005632111861","-4.98409764310686","-5.658882714476","-4.588089545971","-1.18071498923564","-1.64424382574411","0.000990429549645138","0.00163800106946983","0.00247729575440915","0.000856478131108956","-10.6555739551648","0.215373716571148","0.243402203202355","0","1819.57315247904","-868.964003286279"
"87","-1.5","-5","-8.75","-0.5","-0.5","-1","0.005","5e-04","0.005","0.005","-10","0.2","0.2","875529","NaN","-1.94220391261421","-3.47648940897404","-4.97180019560586","-3.34704896528349","-0.960803152326254","-2.17665457129136","0.00115673325344886","0.00162216517360417","0.00289398205757782","-5.87122783895132e-05","-8.72081216085006","0.211290808020961","0.254567977050878","0","1845.53526764357","-881.945060868543"
"88","-2","-4","-7.5","-0.5","-1","-1","0.005","0.001","0.005","5e-04","-5","0.2","0.2","1043683","NaN","-2.44849427795762","-3.29147646070658","-5.89344959212291","-0.363890341802269","-1.2104424459553","-1.64354744441171","0.00124398556845914","0.00139300523421607","0.00250095581193925","0.000932437830302085","-4.6404844630403","0.214552869145459","0.241242998987423","0","1826.49002941531","-872.422441754414"
"89","-2.5","-5","-6.25","-3","-2","-1","0.005","0.001","0.001","0.001","-5","0.2","0.2","1143827","NaN","-2.45621651902921","-4.8046200585929","-5.35021146640781","-3.63661319307313","-1.12353556712482","-1.67799964604702","0.000994143233966985","0.00167949621679726","0.00246337957381156","0.000764318523803971","-6.43525713337356","0.215918456492947","0.242763141806151","0","1820.98952364769","-869.672188870602"
"90","-3","-5","-7.5","-1.75","-0.5","-3","0.005","5e-04","5e-04","0.005","-15","0.2","0.2","316551","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"91","-2.5","-3","-8.75","-0.5","-0.5","-0.5","5e-04","0.001","0.005","0.001","-15","0.2","0.2","275537","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"92","-3","-3","-7.5","-3","-1","-3","0.001","5e-04","5e-04","0.001","-10","0.2","0.2","613811","NaN","-2.26247624782263","-3.4740898577864","-5.32059467072226","-2.78379932703755","-1.08691648282771","-1.65418588697903","0.00125118341962721","0.00157837618587303","0.00248806594555151","0.000846430805167203","-11.6614891356275","0.212709232142339","0.241612697077635","0","1806.07310026366","-862.213977178591"
"93","-2.5","-1","-5","-2.375","-1","-3","0.001","5e-04","0.001","5e-04","-5","0.2","0.2","968372","NaN","-2.26314031458997","-3.35170781302295","-5.22824965398398","-1.74598581121227","-1.12772940927257","-1.64807330164892","0.00128982024843295","0.0015916313320729","0.00245243411349749","0.000939992990612069","-6.25665262946619","0.209865272394386","0.245145421562801","0","1806.74134135252","-862.54809772302"
"94","-1","-4","-8.75","-1.75","-0.5","-0.5","5e-04","0.005","0.005","5e-04","-15","0.2","0.2","140285","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"95","-1","-1","-8.75","-1.125","-0.5","-1","0.005","5e-04","0.001","0.005","-15","0.2","0.2","369175","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"96","-1","-2","-6.25","-3","-2","-1","0.001","0.001","0.001","0.005","-10","0.2","0.2","834470","NaN","-2.5739705006238","-3.26484242052713","-6.87923950386873","-3.01387060880943","-1.21006433686172","-1.6586524466487","0.00136579109208332","0.00111664705597978","0.00238636673007929","0.000865049260832001","-9.68444241196415","0.215029066239186","0.240432192507219","0","1817.79140666713","-868.073130380325"
"97","-1.5","-5","-6.25","-0.5","-1","-0.5","0.001","0.001","5e-04","0.005","-5","0.2","0.2","1242454","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"98","-3","-5","-8.75","-0.5","-2","-3","0.001","0.005","5e-04","0.001","-5","0.2","0.2","1103026","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
