"","a_log","h_log","log_w","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"19","-1","-3","-8.75","-2.375","-2","-0.5","0.001","0.001","0.005","5e-04","-5","0.2","0.2","1038915","NaN","-2.65737374560383","-3.05902327475677","-9.03607429629067","-2.27335455447531","-1.20690038764298","-1.61384690014311","0.0014443794221087","0.00095757240834405","0.00234210169810524","0.000945795200231584","-4.68359757617815","0.216423769346904","0.241202763256682","0","1842.60487200036","-880.47986304694"
"20","-2","-2","-10","-0.5","-2","-0.5","5e-04","5e-04","5e-04","0.001","-5","0.2","0.2","1067393","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"21","-2","-5","-6.25","-1.75","-1","-1","0.005","0.001","5e-04","0.005","-5","0.2","0.2","1245953","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"22","-1.5","-4","-10","-1.75","-2","-3","0.001","5e-04","0.005","5e-04","-10","0.2","0.2","562759","NaN","-2.62970244651304","-3.02642181286158","-10.8947644800645","-0.442797807742479","-1.29067571243642","-6.23805714413621","0.00144935523943583","0.000783456162380274","-0.0651655035216934","-0.0165838776704103","-10.7081955480639","0.21783167856317","0.268879098145363","0","1947.77801248249","-933.066433288004"
"23","-1","-4","-7.5","-3","-2","-3","5e-04","5e-04","5e-04","0.001","-15","0.2","0.2","151935","NaN","-2.69646538772476","-3.42852554016964","-10.3026716081445","-3.98372250042502","-1.24382872041964","-4.09729212389466","0.00136684997453636","0.000820326064758149","0.00358213021257435","-0.00736436266037867","-7.28723385061575","0.217782707689139","0.262374975177845","0","1924.35639858762","-921.35562634057"
"24","-2.5","-2","-8.75","-2.375","-2","-3","0.001","0.001","5e-04","0.005","-10","0.2","0.2","782042","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"25","-1.5","-4","-7.5","-3","-0.5","-0.5","0.005","0.001","0.001","0.001","-5","0.2","0.2","1146934","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"26","-2.5","-2","-6.25","-0.5","-2","-0.5","0.001","5e-04","0.005","0.005","-5","0.2","0.2","1326217","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"27","-1.5","-4","-10","-0.5","-1","-1","0.001","5e-04","5e-04","5e-04","-10","0.2","0.2","464259","NaN","-2.46423807796325","-2.70601333288325","-9.09213981277762","0.57432250969491","-1.23805747078003","-1.62260008849499","0.00151544398064123","0.000953435287682721","0.00247130133959629","0.000851217003644727","-9.58297412594152","0.219441576752046","0.242566445386516","0","1836.32133703485","-877.338095564181"
"28","-2.5","-4","-5","-1.125","-1","-1","0.005","0.005","0.005","5e-04","-5","0.2","0.2","1060482","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
