"","a_log","a12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"20","-3","-5e-04","-3","-2.375","-2","-0.5","0.001","0.005","0.001","0.001","-5","0.2","0.2","1157051","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"21","-1.5","1e-04","-4","-3","-2","-1","5e-04","5e-04","0.005","0.005","-10","0.2","0.2","862549","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"22","-1","-5e-04","-3","-1.75","-0.5","-1","0.001","0.005","0.005","0.005","-15","0.2","0.2","447805","NaN","-0.95239073049424","-0.000822380629923838","-0.700090304530729","-3.78099209168754","-0.54503976057983","-0.889758659801278","0.00166881144099311","0.00262352877351222","0.00316789384965613","0.00125949599640419","-13.7794764829828","0.358898461592362","0.326164449997134","0","2453.23904506501","-1185.79694957926"
"23","-2.5","-0.00035","-2","-1.125","-2","-3","0.005","0.005","0.001","5e-04","-10","0.2","0.2","551707","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"24","-1.5","1e-04","-3","-0.5","-0.5","-0.5","0.001","0.005","5e-04","0.001","-15","0.2","0.2","196824","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"25","-2","1e-04","-1","-2.375","-2","-1","0.001","0.005","0.001","0.001","-15","0.2","0.2","243998","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"26","-3","-2e-04","-1","-1.75","-1","-0.5","0.005","0.005","0.001","0.005","-15","0.2","0.2","404111","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"27","-1","-5e-04","-1","-2.375","-2","-3","0.005","0.001","5e-04","0.005","-5","0.2","0.2","1243355","NaN","-2.38258111640064","-0.000152879713695038","-2.01059123071507","-3.24842578560051","-1.37256259248007","-1.49576806047782","0.00279078121169753","0.000762378173537423","0.0023451546981978","0.00110527446584853","-3.51420477260772","0.23135595494264","0.250404539366995","0","1939.20673527709","-928.780794685302"
"28","-2.5","1e-04","-1","-3","-0.5","-0.5","0.001","0.005","0.005","0.005","-10","0.2","0.2","905122","NaN","-1.93406706084645","-0.000296420772572617","-2.86562610777085","-3.28690750515526","-0.805711083924665","-1.61248347575843","0.00149827247353119","0.00181625374603517","0.00202554150210851","0.00109251476644276","-8.87829827758627","0.220826806160794","0.243552058518112","0","1838.15020712591","-878.252530609713"
"29","-1","-5e-04","-4","-2.375","-2","-0.5","0.005","0.005","5e-04","0.001","-5","0.2","0.2","1112030","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
