"","a_log","h_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"1","-3","-2.77777777777778","-0.5","-0.5","0.001","5e-04","0.001","0.001","-15","0.2","0.2","34151","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","-2.77777777777778","-2.77777777777778","-2","-1","0.001","0.001","0.005","0.001","-5","0.2","0.2","190252","NaN","-2.4736514292876","-2.51536334644618","-1.12490595563234","-1.61138467354579","0.0016705686813103","0.00106190768842454","0.0024238753746105","0.00116144609825788","-4.90174280667882","0.221223120412986","0.239635401487386","0","1847.04864605468","-888.982145913058"
"3","-1.22222222222222","-3.22222222222222","-1","-0.5","0.005","0.001","5e-04","0.001","-10","0.2","0.2","102449","NaN","-4.13432708677617","-0.0821608586873815","-7.78714226068515","-1.67307690734128","-0.00429280958839402","0.016374222132249","0.00242170029770048","0.00082464995957817","-5.10868250575132","0.258711456776097","0.24163282548787","0","2003.77381825867","-967.344732015056"
"4","-1.44444444444444","-1.88888888888889","-1","-1","5e-04","0.005","0.001","0.001","-10","0.2","0.2","111178","NaN","-2.76043977121652","-3.20444529812966","-1.29534279312486","-1.6218983946015","0.00141766922817182","0.00083969019660261","0.00246073220568625","0.000918479221602873","-6.03797308226221","0.219253180957346","0.240404800688463","0","1822.05937437536","-876.487510073396"
"5","-1.88888888888889","-3.66666666666667","-2","-0.5","0.005","0.005","0.001","0.005","-5","0.2","0.2","210336","NaN","-2.72599948716029","-2.17665235951155","-1.72453648716339","-1.61022704297228","0.00187887135444996","1.96444260598492e-05","0.00224209832927027","0.001199223335339","-5.21909281216239","0.220998035582471","0.235477453366013","0","1870.72663966105","-900.821142716243"
"6","-3","-2.77777777777778","-1","-1","0.005","0.005","0.001","5e-04","-5","0.2","0.2","161551","NaN","-2.66044014973178","-3.45978041343564","-1.12478262439539","-1.30857495195143","0.00138188274075247","0.000924637662499472","0.00241746829125732","0.00101803336709055","-4.54881789356514","0.218453561262174","0.245978711140447","0","1868.01350777735","-899.464576774394"
"7","-1.88888888888889","-4.55555555555556","-0.5","-0.5","0.001","5e-04","5e-04","0.005","-15","0.2","0.2","50316","NaN","-1.88535946910771","-3.20450880914091","-0.510447708525445","-1.19251625913176","0.00209348506427785","0.000842108969135603","0.00230289131613508","0.00128706982959817","-15.4274525890484","0.286908293472625","0.249129343750173","0","2092.4659801342","-1011.69081295282"
"8","-1.66666666666667","-1","-1","-1","0.001","5e-04","5e-04","0.005","-5","0.2","0.2","195797","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"9","-1.22222222222222","-2.33333333333333","-2","-3","0.001","0.005","0.005","0.005","-15","0.2","0.2","71169","NaN","-1.36954267935583","10.2760567519152","-2.0796545604181","-1.66392831673992","0.00202554907221722","0.00241035133136814","0.00246002342315343","0.000850898753023804","-19.5261176504208","0.24869396866128","0.241236391769217","0","1961.71972027449","-946.317683022961"
"10","-2.33333333333333","-1","-0.5","-1","0.005","0.001","0.001","5e-04","-15","0.2","0.2","13194","NaN","-3.07132613916991","0.981478486712147","-1.74489117404628","-2.03618888535972","0.00154364743197382","0.0012786391617888","0.0016207366890185","0.000763643572241826","-8.2708705769744","0.256462285750981","0.260650315736373","0","1975.55565639188","-953.235651081657"
