a_log,h_log,log_w,kr_log,sigma,sigma2,error,a_log.est,h_log.est,log_w.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-2.5,-3,-10,-2.375,0.2,0.2,,-2.08346986080058,-3.15457715066167,-1.16031743521099,-4.95034953051089,0.213531884157494,0.242705905102303,0,1774.22524608582,-868.271435526031,137
-2.5,-4,-8.75,-1.75,0.2,0.2,,-2.08370650941521,-3.15542226946603,-1.15686297853763,-4.95106802756837,0.213534775894732,0.242734000124833,0,1774.22525200683,-868.271438486536,282
-2.5,-2,-8.75,-0.5,0.2,0.2,,-1.99727558798705,-2.98732549719198,-0.0682807215612777,-4.93092625376596,0.214540209575265,0.243199493388673,0,1777.2676725964,-869.792648781321,542
-2.5,-1,-8.75,-1.75,0.2,0.2,,-2.08440022694912,-3.15580000085968,-1.16448512207661,-4.95087300862691,0.213583069826323,0.242761394053357,0,1774.22536309087,-868.271494028554,297
-2.5,-1,-7.5,-3,0.2,0.2,,-2.0839970801989,-3.15483369593223,-1.16057806971858,-4.9503472838639,0.213523758816374,0.242776400994756,0,1774.22533956902,-868.27148226763,72
-2.5,-3,-10,-1.125,0.2,0.2,,-2.15450809701159,-3.27486212863969,-11.3091196415515,-4.94805572361988,0.214057513127003,0.242720667848402,0,1776.79186011756,-869.554742541899,387
-1,-3,-6.25,-1.125,0.2,0.2,,-2.15513778911401,-3.27547024206582,-15.8439842341139,-4.94812864214449,0.214065648214618,0.242721176623596,0,1776.79208385128,-869.55485440876,465
-1,-2,-6.25,-2.375,0.2,0.2,,-2.14251100508102,-3.25499032111729,-2.64903375624055,-4.96908704857594,0.213668785894077,0.24291913371015,0,1775.59235777315,-868.954991369696,220
-2,-2,-10,-3,0.2,0.2,,-2.10599270098597,-3.18673628532364,-1.17421560388803,-4.9908826596379,0.213325211344921,0.242591512034805,0,1774.27408385346,-868.295854409849,18
-1.5,-5,-8.75,-1.125,0.2,0.2,,-2.15525335865203,-3.27241677079201,-3.60871897343531,-4.9700641409106,0.213943301087425,0.242733922543631,0,1776.27268149558,-869.295153230908,404
-2.5,-5,-5,-0.5,0.2,0.2,,-2.15541681105586,-3.27505461037622,-6.77554932496237,-4.9499930262047,0.214066443951304,0.242724292658998,0,1776.76804499201,-869.542834979127,602
-1,-1,-10,-2.375,0.2,0.2,,-2.08230641894753,-3.15610234201557,-1.15809531353135,-4.94777759512826,0.213599239472775,0.242675171773585,0,1774.22566710822,-868.271646037231,150
-1.5,-1,-5,-0.5,0.2,0.2,,-2.08307731256071,-3.15385715604724,-1.15571825319145,-4.9492636843339,0.213559307437805,0.242707556022231,0,1774.22528492374,-868.271454944991,624
-1.5,-2,-6.25,-0.5,0.2,0.2,,-2.08440018432804,-3.15527855471363,-1.16255128618349,-4.95257013456969,0.213524596441839,0.242701761700647,0,1774.22534927137,-868.271487118802,594
-2,-1,-10,-1.75,0.2,0.2,,-2.12146299188783,-3.21413515209167,-1.75408095839218,-4.98384151414382,0.213717473802981,0.242887822289851,0,1774.6311253502,-868.474375158222,273
-1.5,-4,-10,-2.375,0.2,0.2,,-2.15453969829141,-3.26022020849048,-3.39305913937265,-4.97190525630528,0.213804825965506,0.242599688037464,0,1776.16040435171,-869.239014658975,134
-2,-4,-8.75,-1.75,0.2,0.2,,-2.16081970241216,-3.27924976434629,-3.52504326369952,-4.98036307080149,0.213943234454302,0.242670617646857,0,1776.24515261967,-869.281388792953,283
-1,-3,-10,-3,0.2,0.2,,-2.15810591114966,-3.28420063012965,-3.65429299098761,-4.97413920619478,0.21396127570957,0.242734791571082,0,1776.30465569706,-869.311140331649,15
-1,-2,-8.75,-3,0.2,0.2,,-2.15821158259506,-3.28007307947972,-3.96054594206247,-4.96943431556243,0.21400341926701,0.242732320031429,0,1776.42189737342,-869.369761169828,45
-1.5,-2,-8.75,-0.5,0.2,0.2,,-2.08440018432804,-3.15527855471363,-1.16255128618349,-4.95257013456969,0.213524596441839,0.242701761700647,0,1774.22534927137,-868.271487118802,544
-3,-2,-6.25,-0.5,0.2,0.2,,-2.08258242684555,-3.15355925351087,-1.16125576779149,-4.94934475465803,0.213560953729261,0.242689147088078,0,1774.22537807433,-868.271501520283,591
-1,-3,-7.5,-1.125,0.2,0.2,,-2.08704847427572,-3.15427892771809,-1.16527541817531,-4.95961990569761,0.213566537773843,0.242869230399688,0,1774.22721295402,-868.272418960128,440
-2,-2,-6.25,-0.5,0.2,0.2,,-2.08310425126595,-3.15439624288653,-1.15603397450586,-4.95017350318338,0.213562270506323,0.242724413665482,0,1774.22523900828,-868.271431987261,593
-3,-5,-7.5,-3,0.2,0.2,,-2.08404173569091,-3.1563474214226,-1.15750178131589,-4.95021025903878,0.213433465162095,0.242506470180823,0,1774.22660469842,-868.272114832329,51
-3,-4,-5,-1.125,0.2,0.2,,-2.08303447951846,-3.15318314921781,-1.15357011190211,-4.95099228849711,0.213592631456221,0.242753937384048,0,1774.22533963623,-868.271482301237,481
-2,-1,-10,-2.375,0.2,0.2,,-2.08349273104381,-3.15528929492118,-1.16193260709362,-4.95013287777724,0.213570601807204,0.242745372485711,0,1774.22525453868,-868.271439752459,148
-2.5,-2,-5,-2.375,0.2,0.2,,-2.08386608075875,-3.15579146882331,-1.15823553167044,-4.94929289956088,0.213547895977193,0.242771938867061,0,1774.22538609097,-868.271505528603,242
-2.5,-1,-6.25,-1.75,0.2,0.2,,-2.04746940474289,-3.08372150634316,-0.588493549900419,-4.93145027987913,0.21350310238599,0.243239343836547,0,1774.91869231264,-868.618158639438,347
-1,-1,-8.75,-2.375,0.2,0.2,,-2.08274871213798,-3.15232242487424,-1.15462897577631,-4.95011932202482,0.213670378987839,0.242654501008086,0,1774.22578001297,-868.271702489605,175
-3,-2,-5,-1.125,0.2,0.2,,-2.10155625974294,-3.18299578020205,-1.31713045197892,-4.94279151310306,0.21386084253492,0.242974688148628,0,1774.29972825729,-868.308676611766,491
-1.5,-3,-10,-3,0.2,0.2,,-2.08346790560733,-3.15488105481887,-1.15839117934226,-4.95095755392133,0.213532764537604,0.242725178972478,0,1774.22524331455,-868.271434140394,14
-1,-2,-6.25,-3,0.2,0.2,,-2.08353648320079,-3.15478144488855,-1.15818916660406,-4.95096121664428,0.213550805977533,0.24273277430642,0,1774.22522412434,-868.27142454529,95
-3,-2,-5,-2.375,0.2,0.2,,-2.08436963754785,-3.15579280320843,-1.16345443016059,-4.95154519763021,0.213546605037532,0.242720026635239,0,1774.22529675839,-868.271460862316,241
-2,-1,-8.75,-3,0.2,0.2,,-2.10528401121083,-3.19973323151619,-1.64930452290174,-4.936454400798,0.214100633303289,0.242419949505553,0,1774.5173077208,-868.417466343521,48
-2.5,-5,-10,-3,0.2,0.2,,-2.15508494867797,-3.27888137543767,-5.5386641890101,-4.95102304201568,0.214104973234986,0.242779363694051,0,1776.71081952765,-869.514222246946,2
-1,-1,-5,-3,0.2,0.2,,-2.16524194971143,-3.24949908707467,-2.83957435047317,-5.02459481610604,0.213437736237974,0.243032690769205,0,1775.85660455618,-869.087114761209,125
-1.5,-3,-6.25,-1.75,0.2,0.2,,-2.10841286988358,-3.18837366644053,-1.34144553041192,-4.98866496136064,0.21358752086766,0.242651173026029,0,1774.30061683474,-868.309120900487,339
-1,-4,-7.5,-1.75,0.2,0.2,,-2.08341313018373,-3.15212109182418,-1.14230800101932,-4.95108749439374,0.213506831971135,0.242745779965304,0,1774.22594966708,-868.271787316661,310
-1,-1,-8.75,-1.125,0.2,0.2,,-2.082278402665,-3.16382608728371,-1.15292573694029,-4.94418461688156,0.213279233424782,0.242711684497475,0,1774.23054001236,-868.2740824893,425
-1,-1,-6.25,-1.75,0.2,0.2,,-2.08332912576857,-3.15483449646492,-1.15552548712735,-4.95092394578621,0.213540427437949,0.242741427947954,0,1774.22525694577,-868.271440956006,350
-3,-5,-6.25,-1.75,0.2,0.2,,-2.08291135900179,-3.15568235122855,-1.15668769526728,-4.94988955025735,0.213585238964961,0.24269585488005,0,1774.22541477745,-868.271519871846,326
-2,-2,-6.25,-1.125,0.2,0.2,,-2.06462265555474,-3.12965013649316,-1.03101821136072,-4.92694360456303,0.214021854992916,0.243379605823682,0,1774.2784330031,-868.298028984669,468
-2,-1,-7.5,-0.5,0.2,0.2,,-2.08339577208131,-3.15419037841376,-1.15920510514855,-4.95106754118227,0.213601708696351,0.24260077081638,0,1774.22562436267,-868.271624664457,573
-1.5,-3,-5,-1.75,0.2,0.2,,-2.10841286988358,-3.18837366644053,-1.34144553041192,-4.98866496136064,0.21358752086766,0.242651173026029,0,1774.30061683474,-868.309120900487,364
