a_log,a12,h12,h_log,kr_log,sigma,sigma2,error,a_log.est,a12.est,h_log.est,h12.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-2.5,-0.00035,-2e-04,-5,-2.375,0.2,0.2,,-2.54018647799725,-0.000137399090014231,-3.46686072389674,1.26057385592687e-05,-1.49635632270039,0.21149518685449,0.230578096921781,0,1785.83595563996,-870.93659238362,682
-2.5,-0.00035,-5e-04,-5,-0.5,0.2,0.2,,-2.39093230397371,-0.000162028356618213,-5.7104525351071,0.000481258349157583,-0.746679773252114,0.21513372087611,0.241808405470241,0,1785.44136410555,-870.739296616412,2507
-2.5,-0.00035,-5e-05,-4,-3,0.2,0.2,,-2.31620741036177,-0.000191471082471592,-3.42908029032784,0.000111093436048369,-3.00860948495018,0.211369537477286,0.242638945305547,0,1770.08428811667,-863.060758621973,207
-3,-5e-05,-5e-05,-1,-1.125,0.2,0.2,,-2.15834287771631,-0.000225615143660995,-3.08127289228499,0.000100994049815583,-0.0796155337549913,0.211235375384448,0.242328958500318,0,1769.75603458165,-862.896631854464,2466
-3,-0.00035,1e-04,-4,-2.375,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,,856
-1,-0.00035,-5e-05,-3,-3,0.2,0.2,,,,,,,,,,,,335
-2.5,-2e-04,-2e-04,-4,-1.125,0.2,0.2,,-2.48076430853585,-0.000153027832442588,-3.64390914259996,7.67718154556715e-05,-2.258099491184,0.213241894145685,0.243720994553851,0,1775.92831503075,-865.982772079014,2062
-2.5,1e-04,-5e-04,-2,-1.125,0.2,0.2,,-1.99504651310226,-0.000272495813792165,-2.06544965692611,-0.000320165605516002,-0.508281604039071,0.215883965974807,0.241736446061993,0,1792.33934904749,-874.188289087386,2272
-1.5,-5e-04,-5e-04,-5,-1.75,0.2,0.2,,-2.34700747789866,-0.00017848028636057,-4.34475398090661,0.000332758771319734,-1.29488245476028,0.212191391126324,0.243181614506875,0,1774.16698764119,-865.102108384236,1254
-3,-5e-04,-2e-04,-1,-1.125,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,,2426
-1.5,-5e-05,-5e-04,-2,-1.125,0.2,0.2,,-1.59614476868721,-0.000413378197319749,-1.86434033028015,-9.73931934385388e-06,-1.29746348473379,0.230242551735588,0.272339843694639,0,1862.17484653895,-909.106037833116,2269
-2.5,-2e-04,-2e-04,-4,-2.375,0.2,0.2,,-2.41592761552526,-0.000166781105449339,-3.93489750459215,0.000183436932615552,-3.29089564101584,0.212378295247371,0.243173938539738,0,1773.23162937236,-864.634429249822,812
-2,-5e-05,-5e-05,-4,-1.75,0.2,0.2,,-2.26805629097385,-0.000201280851804249,-3.30466848691466,0.000103968317308517,-1.56428991212164,0.211068764529237,0.242685591829589,0,1767.95581834974,-861.996523738509,1468
-3,1e-04,-0.00035,-4,-2.375,0.2,0.2,,-2.37245507206201,-0.000175079309678059,-4.21695930918829,0.00028117921285583,-2.17089415627167,0.211412075294632,0.242839966766589,0,1773.5903129478,-864.813771037537,796
-1,1e-04,-2e-04,-3,-0.5,0.2,0.2,,-1.80779511798329,-0.000327978807249737,-2.38614635027448,7.95406839461648e-05,0.576139642802713,0.222496229324159,0.294525514280682,0,1826.31997623679,-891.178602682035,2825
-1.5,-0.00035,-5e-04,-4,-0.5,0.2,0.2,,-2.01449649006618,-0.000265811058124264,-3.25302464494801,0.000358799347739165,-0.660032038143798,0.197173215845385,0.238567758268697,0,1784.41684840486,-870.227038766068,2634
-1,-5e-04,1e-04,-1,-0.5,0.2,0.2,,-2.09585005413694,-0.000240175033114482,-3.04704968898192,0.000128196389468535,0.665168238176236,0.212847653574705,0.242681203681338,0,1775.88555212323,-865.961390625254,3105
-3,-0.00035,1e-04,-5,-1.125,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,,1981
-3,-5e-05,-5e-04,-4,-2.375,0.2,0.2,,-2.8930929023057,-5.8467824197968e-05,-5.90152352978464,0.000196105813484748,-0.652584510073714,0.224860201979143,0.243461745436,0,1830.38161025708,-893.209419692178,766
-2,1e-04,-5e-05,-3,-0.5,0.2,0.2,,-2.00637632939922,-0.000269293917146435,-2.50891347585175,-4.32733769968131e-05,-0.422936998090731,0.214500931756241,0.240312437597526,0,1778.40709138161,-867.222160254446,2848
-1.5,-2e-04,-5e-05,-5,-3,0.2,0.2,,-2.66204030532037,-0.000123767417956023,-2.26183698259259,-0.000440818397300769,-3.04671283641004,0.239893382674846,0.216929402531798,0,1847.1832295461,-901.610229336688,89
-1.5,-5e-04,-2e-04,-1,-0.5,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,,3054
-2,-5e-05,-2e-04,-4,-3,0.2,0.2,,-2.32191795632179,-0.000188872668642992,-3.64868202751061,0.000174171761367607,-2.35282939420956,0.211332971470319,0.242313275025103,0,1769.80538230315,-862.921305715214,193
-1,-0.00035,1e-04,-1,-3,0.2,0.2,,-2.06297258909411,-0.000238871262477368,-0.811086148537427,-0.00187461219471201,-2.42026777813964,0.240824871580615,0.247610728808036,0,1896.44487521295,-926.241052170113,610
-3,-5e-04,-5e-04,-1,-2.375,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,,1126
-3,-2e-04,1e-04,-5,-1.125,0.2,0.2,,-2.48804273870913,-0.00014172014943646,-5.13718884929219,0.000338466114952356,-1.01639146158532,0.208214241560472,0.243955078331607,0,1785.21934919925,-870.628289163264,1986
-2,-5e-05,-5e-05,-2,-1.125,0.2,0.2,,-2.32916969675095,-0.000189156155422353,-3.44291954264587,0.000106741158194873,-6.22576368366959,0.211747371172432,0.242771503328975,0,1771.21694288547,-863.627086006374,2343
-1.5,1e-04,-2e-04,-2,-1.125,0.2,0.2,,-1.7541617223197,-0.00035479985046312,-1.69309916564309,-0.000430378815536913,-1.22677256046805,0.224863177951545,0.268888030949371,0,1841.29932953765,-898.668279332462,2324
