a_log,h_log,sigma,sigma2,error,a_log.est,h_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-2.33333333333333,-3.66666666666667,0.2,0.2,,-2.74922142995145,-3.26426112461344,0.227420029893485,0.242809489260055,0,1829.12820294691,-902.003309795535,34
-1.44444444444444,-1,0.2,0.2,,-2.74950216422938,-3.26453794695982,0.227421835675721,0.242771661721703,0,1829.12815708826,-902.003286866209,98
-3,-2.33333333333333,0.2,0.2,,-2.74976274194041,-3.26531870170691,0.227434374417044,0.242777469692453,0,1829.12814654107,-902.003281592613,61
-2.11111111111111,-3.66666666666667,0.2,0.2,,-2.74966951315682,-3.26450054931172,0.227442065169484,0.242809969064586,0,1829.12816294184,-902.003289793001,35
-2.33333333333333,-2.33333333333333,0.2,0.2,,-2.74968976585107,-3.26489865603589,0.227450333864126,0.242761691256236,0,1829.12816348193,-902.003290063043,64
-1.44444444444444,-5,0.2,0.2,,-2.74946629822527,-3.26405008449429,0.227412786236364,0.242768850080056,0,1829.12817083198,-902.00329373807,8
-1.88888888888889,-3.66666666666667,0.2,0.2,,-2.74979981516685,-3.26527228962324,0.227417023219581,0.242792675998004,0,1829.12814939032,-902.003283017239,36
-2.77777777777778,-1.44444444444444,0.2,0.2,,-2.75005451756631,-3.26220176276452,0.227472930841717,0.242716630199257,0,1829.12853561767,-902.003476130914,82
-3,-3.22222222222222,0.2,0.2,,-2.74982457330564,-3.2654188064084,0.227418314953204,0.242788819116331,0,1829.12814924382,-902.003282943988,41
-1.44444444444444,-2.77777777777778,0.2,0.2,,-2.74947746403243,-3.26408992525707,0.227441690323242,0.242821926919439,0,1829.12818662211,-902.003301633137,58
-3,-1.44444444444444,0.2,0.2,,-2.75008932349435,-3.26832246871592,0.227419765275045,0.24289293542162,0,1829.12850486203,-902.003460753097,81
-2.11111111111111,-2.33333333333333,0.2,0.2,,-2.74965602750055,-3.26529144301237,0.227429820700141,0.24279835420054,0,1829.12815030996,-902.00328347706,65
-2.55555555555556,-2.77777777777778,0.2,0.2,,-2.74973422897436,-3.26507793443601,0.227448571691609,0.24277813903094,0,1829.12815261834,-902.003284631251,53
-2.77777777777778,-4.11111111111111,0.2,0.2,,-2.74954394968772,-3.26389560987387,0.227413138730636,0.242788105990669,0,1829.12816773808,-902.00329219112,22
-1.88888888888889,-4.55555555555556,0.2,0.2,,-2.75015646531869,-3.26533436524663,0.227439433670398,0.242820328587811,0,1829.12821192142,-902.00331428279,16
-1,-3.66666666666667,0.2,0.2,,-2.74901727703616,-3.26345083170564,0.227423847279165,0.242749456132849,0,1829.12825939604,-902.0033380201,40
-1.44444444444444,-3.66666666666667,0.2,0.2,,-2.7499957157696,-3.26533145593024,0.227443501465663,0.242788147767547,0,1829.12816449212,-902.003290568138,38
-1,-1.44444444444444,0.2,0.2,,-2.7495672940484,-3.26561398447932,0.227511197749904,0.242823466588631,0,1829.12832771641,-902.003372180283,90
-1.66666666666667,-1.44444444444444,0.2,0.2,,-2.74961996034842,-3.26482753822003,0.227434756027774,0.242771046178262,0,1829.12814996154,-902.003283302847,87
-3,-4.55555555555556,0.2,0.2,,-2.74972351498584,-3.26474583109071,0.227422262521659,0.242766434623327,0,1829.12815340321,-902.003285023685,11
-1.66666666666667,-3.22222222222222,0.2,0.2,,-2.74976785405613,-3.26314445212411,0.227455736315225,0.242825497084073,0,1829.12826773266,-902.003342188408,47
-3,-1,0.2,0.2,,-2.7497731019705,-3.26598177224248,0.227441668583134,0.242795265753213,0,1829.12816245563,-902.003289549893,91
-1.44444444444444,-4.55555555555556,0.2,0.2,,-2.74946441445312,-3.26487262680707,0.227515764299855,0.242774217297327,0,1829.12831451578,-902.003365579968,18
-1.22222222222222,-5,0.2,0.2,,-2.75003238567232,-3.2665096432947,0.227422118133711,0.242832203154327,0,1829.12821646405,-902.003316554102,9
-1.88888888888889,-4.11111111111111,0.2,0.2,,-2.7497440517683,-3.26488942756852,0.227417313937731,0.2427868399449,0,1829.12814804012,-902.00328234214,26
-1.44444444444444,-1.88888888888889,0.2,0.2,,-2.75020875583203,-3.26897225141857,0.227412046402315,0.242915902968287,0,1829.12867050698,-902.003543575568,78
-1.88888888888889,-1.88888888888889,0.2,0.2,,-2.74949581451911,-3.26458953015322,0.22738807066927,0.242787623248083,0,1829.12818816506,-902.003302404612,76
-1.22222222222222,-2.77777777777778,0.2,0.2,,-2.74952790328905,-3.26405791922741,0.227430549990401,0.242797219360728,0,1829.1281605293,-902.003288586732,59
-2.11111111111111,-4.11111111111111,0.2,0.2,,-2.74954221163077,-3.26555383817902,0.227424081801407,0.242794173187001,0,1829.12816593857,-902.003291291362,25
-2.33333333333333,-4.11111111111111,0.2,0.2,,-2.75003246129418,-3.26582282207161,0.227444006875669,0.242787527799476,0,1829.12816743012,-902.003292037137,24
-3,-2.77777777777778,0.2,0.2,,-2.74983997902007,-3.26479323571664,0.227406986139256,0.242770998429032,0,1829.12816584944,-902.0032912468,51
-1.44444444444444,-3.22222222222222,0.2,0.2,,-2.75007212415243,-3.26510572123645,0.227426609145641,0.242781719354419,0,1829.12817676822,-902.003296706191,48
-1.22222222222222,-1.88888888888889,0.2,0.2,,-2.74931350132747,-3.26386594913406,0.227456820724476,0.242783825464318,0,1829.12819252313,-902.003304583645,79
-2.55555555555556,-5,0.2,0.2,,-2.75022805874824,-3.26595256759577,0.227467663496619,0.242779562696667,0,1829.12822411384,-902.003320378997,3
-2.77777777777778,-2.77777777777778,0.2,0.2,,-2.74967348756597,-3.26544348280504,0.227439217406978,0.242787414962408,0,1829.12815087802,-902.00328376109,52
-1,-4.55555555555556,0.2,0.2,,-2.74607722913917,-3.25857377943262,0.226739420374219,0.241629262445016,0,1829.16492579817,-902.021671221167,20
-2.33333333333333,-1.44444444444444,0.2,0.2,,-2.75001928785572,-3.26562365405902,0.227423027901836,0.24278172288481,0,1829.12816209958,-902.003289371872,84
-1.88888888888889,-2.77777777777778,0.2,0.2,,-2.74983914479451,-3.26491872000837,0.22740182499917,0.242806767571449,0,1829.12817361337,-902.003295128765,56
-2.55555555555556,-4.11111111111111,0.2,0.2,,-2.74975731660205,-3.26496647944802,0.227427081537064,0.242776119375326,0,1829.12814643157,-902.003281537864,23
-2.33333333333333,-4.55555555555556,0.2,0.2,,-2.74914619995564,-3.26384707091995,0.227406741334537,0.242776409317841,0,1829.12821643601,-902.003316540083,14
-3,-3.66666666666667,0.2,0.2,,-2.74977551867937,-3.26557132364731,0.227412204164932,0.242778819139828,0,1829.12815443116,-902.003285537659,31
-2.55555555555556,-3.22222222222222,0.2,0.2,,-2.74956213042536,-3.26470576189779,0.227381896373636,0.242777054035337,0,1829.12819594844,-902.003306296298,43
-1.22222222222222,-4.55555555555556,0.2,0.2,,-2.7497816421117,-3.26550183573631,0.227470955819356,0.242737601314356,0,1829.12822363864,-902.0033201414,19
-1.66666666666667,-3.66666666666667,0.2,0.2,,-2.75000616371867,-3.26672435683664,0.227382288614271,0.242820898199875,0,1829.12825105721,-902.003333850684,37
-1.66666666666667,-5,0.2,0.2,,-2.74951523453894,-3.26379901773611,0.227445943419117,0.242724485198168,0,1829.128238098,-902.00332737108,7
-1.22222222222222,-2.33333333333333,0.2,0.2,,-2.74987390853172,-3.26625993683696,0.227416072991617,0.242795847726123,0,1829.12816952644,-902.003293085301,69
-1.88888888888889,-2.33333333333333,0.2,0.2,,-2.74980127974587,-3.26549392220621,0.227422770194987,0.242774931239875,0,1829.12814946819,-902.003283056173,66
-1.44444444444444,-1.44444444444444,0.2,0.2,,-2.7495877398232,-3.26498014450589,0.227444803387646,0.242769634698077,0,1829.12815711274,-902.003286878447,88
-1,-2.77777777777778,0.2,0.2,,-2.75056981574286,-3.26979407867339,0.227510868587573,0.242725143404368,0,1829.12865732983,-902.003536986993,60
-1.22222222222222,-1,0.2,0.2,,-2.749513634003,-3.26405244870339,0.227414800181545,0.242785567060697,0,1829.12816268989,-902.003289667023,99
-2.77777777777778,-5,0.2,0.2,,-2.7495041302208,-3.26470328411189,0.227420636801942,0.242806266114613,0,1829.12816203885,-902.003289341505,2
-2.11111111111111,-3.22222222222222,0.2,0.2,,-2.74986646600651,-3.2642623119592,0.227444361445167,0.242752706682729,0,1829.12819562784,-902.003306135999,45
-2.55555555555556,-1,0.2,0.2,,-2.7497045861369,-3.2649841847432,0.227420179989346,0.242787345113076,0,1829.12814580016,-902.00328122216,93
-2.55555555555556,-3.66666666666667,0.2,0.2,,-2.74966908568771,-3.26504408947052,0.22740790826263,0.242772915262408,0,1829.12815667086,-902.003286657511,33
-1.88888888888889,-3.22222222222222,0.2,0.2,,-2.74947233889665,-3.26529868555694,0.227432805725135,0.242796388788754,0,1829.12816836961,-902.003292506885,46
-2.77777777777778,-1.88888888888889,0.2,0.2,,-2.74955808529031,-3.26574114279426,0.227434616911246,0.242789315054036,0,1829.12816949084,-902.003293067497,72
-1.66666666666667,-4.55555555555556,0.2,0.2,,-2.74986478587241,-3.26543916113518,0.22745712589692,0.242756691528609,0,1829.12817895263,-902.003297798393,17
-1.44444444444444,-2.33333333333333,0.2,0.2,,-2.7496592049215,-3.26650387658342,0.227435094915071,0.24276029903193,0,1829.12820450806,-902.00331057611,68
-1.22222222222222,-3.66666666666667,0.2,0.2,,-2.74987217250078,-3.2658180661831,0.227454722063114,0.24277639784785,0,1829.12816714162,-902.00329189289,39
-3,-4.11111111111111,0.2,0.2,,-2.74991797894076,-3.26546345661205,0.227369080394513,0.242752171255615,0,1829.12824612083,-902.003331382496,21
-1.44444444444444,-4.11111111111111,0.2,0.2,,-2.74928600097388,-3.26373227700588,0.227426044754811,0.242764057619635,0,1829.12819063983,-902.003303641995,28
-1,-4.11111111111111,0.2,0.2,,-2.749832936124,-3.263900430055,0.227363996812523,0.242796646646012,0,1829.12827467844,-902.003345661299,30
-1.22222222222222,-4.11111111111111,0.2,0.2,,-2.74915707350322,-3.26865312217477,0.227409102666863,0.242697855846186,0,1829.12878891413,-902.003602779144,29
-1,-3.22222222222222,0.2,0.2,,-2.74852840250229,-3.26272783956829,0.227414339033228,0.242694530356778,0,1829.12856080433,-902.003488724246,50
-2.55555555555556,-1.44444444444444,0.2,0.2,,-2.74956101864895,-3.26587030910842,0.227456732411586,0.242803975936278,0,1829.12819553413,-902.003306089143,83
-1.66666666666667,-2.33333333333333,0.2,0.2,,-2.749571881911,-3.26440580401579,0.227440476375069,0.242765018455648,0,1829.12816028087,-902.003288462515,67
-1.88888888888889,-1,0.2,0.2,,-2.74987305864253,-3.26528369966152,0.22744506461262,0.242781751568352,0,1829.12815405157,-902.003285347866,96
-1.22222222222222,-1.44444444444444,0.2,0.2,,-2.74947332186229,-3.26327606032851,0.227392352916217,0.242798587690124,0,1829.12821849212,-902.003317568139,89
