a_log,h_log,log_w,kr_log,sigma,sigma2,error,a_log.est,h_log.est,log_w.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1.5,-3,-5,-2.375,0.2,0.2,,-2.21806032261515,-3.53561186070214,-7.59745939524954,-5.20083978841154,0.214006839862625,0.242656272448201,0,1776.36075235701,-869.339188661626,239
-1,-1,-5,-0.5,0.2,0.2,,-2.14508560073137,-3.39884957071751,-1.05957442555478,-5.23132787861083,0.213374212970463,0.24270498478124,0,1773.36062063893,-867.839122802585,625
-2,-4,-7.5,-3,0.2,0.2,,-2.21618347479954,-3.53767337451384,-4.7770358505583,-5.20038963995611,0.213962653350586,0.242676208140713,0,1776.18377576778,-869.25070036701,58
-1.5,-3,-10,-2.375,0.2,0.2,,-2.21806032261515,-3.53561186070214,-7.59745939524954,-5.20083978841154,0.214006839862625,0.242656272448201,0,1776.36075235701,-869.339188661626,139
-1.5,-3,-7.5,-3,0.2,0.2,,-2.21658680983635,-3.53895082981029,-5.12866101631887,-5.19992466149771,0.213980006628075,0.242702503436737,0,1776.23857967997,-869.278102323102,64
-3,-3,-7.5,-3,0.2,0.2,,-2.14469544097062,-3.40826474865444,-1.07700082943114,-5.22147053707849,0.213531778437049,0.242648624052895,0,1773.36404374946,-867.840834357848,61
-2.5,-4,-5,-2.375,0.2,0.2,,-2.21742761689834,-3.53913302909577,-6.927826212406,-5.19833877116271,0.213986954251129,0.242685886178751,0,1776.349260296,-869.33344263112,232
-1.5,-5,-10,-0.5,0.2,0.2,,-2.21688593796056,-3.54163526956828,-5.25331307902602,-5.199148368307,0.213943890023987,0.242662385963386,0,1776.25446797313,-869.286046469683,504
-1.5,-5,-8.75,-2.375,0.2,0.2,,-2.21683529851973,-3.53925874871573,-6.28521906605531,-5.19729448579439,0.214007366611142,0.242743304605116,0,1776.32914692827,-869.323385947255,154
-1,-4,-8.75,-0.5,0.2,0.2,,-2.10825649895986,-3.28422173715885,-0.571273233028472,-5.25139631655305,0.213502060244818,0.242641430514179,0,1773.99207649053,-868.154850728384,535
-2.5,-1,-5,-0.5,0.2,0.2,,-2.14460444869875,-3.39745972561136,-1.05629260420496,-5.23255591728776,0.213390621899427,0.242735201297667,0,1773.36069378943,-867.839159377833,622
