a_log,h12,h_log,kr_log,sigma,sigma2,error,a_log.est,h_log.est,h12.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1,-2e-04,-2,-0.5,0.2,0.2,,-2.45624875040089,-4.04912404267262,0.000666221508579191,-1.49077236366714,0.218255270979204,0.243163531908546,0,1798.68107108162,-880.49934802393,590
-3,-0.00035,-5,-0.5,0.2,0.2,,-2.5703575781606,-5.47416158580159,0.000665159590534528,-2.11972844927264,0.218919321939587,0.242586236833803,0,1801.89687796948,-882.10725146786,506
-3,-0.00035,-3,-0.5,0.2,0.2,,-2.33818468382864,-4.14199954592931,0.000806577943094645,-0.121054171200568,0.217253069779922,0.242713282968546,0,1792.56949657593,-877.443560771083,556
-1,-0.00035,-1,-2.375,0.2,0.2,,-1.59024841110057,-3.15256430741218,0.000813089018240571,3.43131254016589,0.221440495475631,0.242798690681332,0,1812.73038666474,-887.524005815489,235
-2,1e-04,-4,-1.75,0.2,0.2,,-2.33919844760069,-4.15450904367211,0.000807035432493173,-0.112757623360639,0.217250762419512,0.242696882103699,0,1792.57057871033,-877.444101838285,298
-2,1e-04,-1,-1.125,0.2,0.2,,-2.16032701402034,-3.60695055088676,0.000916497572988795,0.744511346681269,0.218739035685206,0.242888049420232,0,1796.44529188985,-879.381458428045,498
-2,-5e-05,-4,-0.5,0.2,0.2,,-2.31835973901026,-4.02885290598305,0.000812736579857833,-0.01956140206481,0.217201431006253,0.242743410163205,0,1792.59323035606,-877.455427661151,543
-2,-0.00035,-1,-1.75,0.2,0.2,,-2.3309262820516,-4.10977842691217,0.000810041557268627,-0.0772003049175391,0.217270019429925,0.24271770465613,0,1792.55931876368,-877.43847186496,358
-1,-5e-04,-1,-2.375,0.2,0.2,,-2.3783249947919,-0.580324669262771,-0.000138062371590927,-2.24762401759052,0.250323379141051,0.247294059786772,0,1970.6767928876,-966.497208926917,230
-3,-2e-04,-1,-1.125,0.2,0.2,,-1.43115750437699,-3.1266146585222,0.000816310241679173,3.75998168773306,0.222411665709897,0.237583405359562,0,1813.96303059342,-888.14032777983,486
-3,-5e-04,-4,-2.375,0.2,0.2,,-2.47527074513547,-7.77185747423303,0.000822545642129946,-0.515865734926968,0.218485741847424,0.242719238186017,0,1798.55822099594,-880.437922981088,151
-2,-0.00035,-5,-0.5,0.2,0.2,,-2.38581489384341,-4.22592998723663,0.000767398895901649,-0.576121330164898,0.21751269053942,0.243308443277167,0,1793.54347624609,-877.930550606166,508
-1,-5e-05,-1,-1.125,0.2,0.2,,-1.7664998793753,-3.23260842495855,0.000809379660410829,3.03443579491699,0.22120868117753,0.24257954271384,0,1811.59751550789,-886.957570237066,495
-1.5,-0.00035,-3,-1.125,0.2,0.2,,-2.214667474432,-2.30772149686706,0.000600531543391133,-1.71878979424551,0.229483597241204,0.249200910840105,0,1844.43431893142,-903.375971948831,434
-2.5,-2e-04,-5,-1.125,0.2,0.2,,-2.49755905042847,-4.7196906142898,0.000694983356766795,-1.49774767292438,0.218829944143609,0.243252929257722,0,1798.18627579049,-880.251950378366,387
-2,-0.00035,-4,-1.125,0.2,0.2,,-2.3465491678282,-4.21131035173483,0.000806870667952156,-0.158241698206363,0.217316054379695,0.242696414400016,0,1792.61347576042,-877.46555036333,408
-1.5,-5e-04,-4,-3,0.2,0.2,,-2.49453340108356,-3.98748371217941,0.000616844248972685,-2.0451070592554,0.218943884242384,0.242162135668554,0,1801.85543997866,-882.086532472449,29
-3,-5e-04,-1,-2.375,0.2,0.2,,-2.33118835152694,-4.10152317685736,0.000807356384935659,-0.0734747920046323,0.217130206491484,0.242607038732988,0,1792.56048669903,-877.439055832635,226
-2,-5e-05,-1,-3,0.2,0.2,,-2.25287737495575,-3.72030476951773,0.000824894149081706,0.336415804933816,0.217224135512381,0.242761682710475,0,1793.80034555686,-878.058985261548,118
-1.5,-0.00035,-5,-1.125,0.2,0.2,,-2.40431963238184,-4.70632378685792,0.000798176215677582,-0.436640664043562,0.217594631915625,0.242572465996028,0,1793.76602118147,-878.041823073856,384
-3,-5e-04,-3,-2.375,0.2,0.2,,-2.46191943857837,-4.24370423001787,0.000687441850664017,-1.70515764281707,0.218344539084777,0.243180944486319,0,1799.38887868546,-880.853251825851,176
-1.5,1e-04,-1,-1.75,0.2,0.2,,-2.46072721608343,-4.6063046735615,0.000728081164730265,-1.2821453843063,0.21808487528028,0.242776560344923,0,1796.97899365767,-879.648309311953,374
-2,-2e-04,-2,-3,0.2,0.2,,-2.55501331522673,-4.67491451793927,0.000631829017285517,-3.64991812359709,0.219706055994236,0.242769926797881,0,1804.57546562883,-883.446545297534,88
-2.5,-2e-04,-4,-1.125,0.2,0.2,,-2.34586404461807,-4.24274655043206,0.000811535257514482,-0.146445562361842,0.217294914388084,0.24251362702281,0,1792.63337298952,-877.475498977877,412
-3,-0.00035,-4,-0.5,0.2,0.2,,-2.4158664813846,-4.68724210560646,0.000783420200696747,-0.535506016178281,0.217619287214509,0.242554452447046,0,1793.94900805851,-878.133316512375,531
-3,-5e-04,-1,-1.75,0.2,0.2,,-2.33074392229957,-4.10268765779808,0.000808170130426976,-0.0774416342663416,0.217284624064534,0.242702563544472,0,1792.55953554353,-877.438580254885,351
-3,-2e-04,-3,-3,0.2,0.2,,-2.54720832898176,-4.7597639848859,0.00064651980424856,-3.08153052079386,0.219414713919309,0.242349921163164,0,1803.6892609972,-883.003442981721,61
-2.5,-0.00035,-5,-1.125,0.2,0.2,,-2.44681969777,-4.67948761303916,0.000748014255950753,-0.940826821892197,0.217892999778081,0.24289852111851,0,1795.40187531944,-878.859750142841,382
-2.5,-5e-04,-2,-0.5,0.2,0.2,,-1.71668774155133,-0.154157751464377,-0.750292180282325,2.87537090635804,0.280028376009366,0.242921616678341,0,2065.99988454042,-1014.15875475333,577
-2.5,-5e-05,-2,-2.375,0.2,0.2,,-2.38072001950028,-4.4047333320378,0.000792403454892114,-0.35318724110179,0.217312138392021,0.24268907303739,0,1793.04128497976,-877.679454973001,217
-1.5,-5e-04,-1,-3,0.2,0.2,,-2.28307746751672,-3.87550539440918,0.000824899957110734,0.180927804247263,0.217319951804086,0.242905700306344,0,1793.00485728062,-877.661241123429,104
-3,-5e-05,-5,-3,0.2,0.2,,-2.47252964305085,-9.03898187086311,0.000830854772123764,-0.47795702614924,0.218556507264406,0.242628321956944,0,1798.82592011801,-880.571772542122,16
-2.5,-5e-05,-4,-1.75,0.2,0.2,,-2.33838698050676,-4.1480075696416,0.000806299800378507,-0.0948121865985075,0.217236467732206,0.242715588163902,0,1792.56712735755,-877.442376161897,292
-3,-5e-05,-1,-3,0.2,0.2,,-2.39425026788383,-4.5211096449915,0.000793944608871553,-0.45264950095314,0.217412746605992,0.242513012091747,0,1793.42310358398,-877.870364275109,116
-1.5,-2e-04,-5,-0.5,0.2,0.2,,-2.34864270544969,-4.46352599903791,0.000835267772019339,0.0014441219004899,0.217529487692863,0.242225306069893,0,1793.09590055434,-877.706762760291,514
-2,-2e-04,-5,-1.125,0.2,0.2,,-2.40615212304617,-4.77835877771211,0.000803051959625656,-0.41935512667021,0.217529334092674,0.242555838323814,0,1793.90696647076,-878.112295718501,388
-1.5,-0.00035,-1,-2.375,0.2,0.2,,-2.12382479956887,-3.30373649201268,0.000856047575895538,1.03670530478478,0.218776688016042,0.242539987500938,0,1800.17444912464,-881.24603704544,234
-1.5,-5e-04,-5,-0.5,0.2,0.2,,-2.3261600230744,-4.65191267749436,0.000883744470345173,0.268961800768229,0.217222081691308,0.243521169799252,0,1794.49192629541,-878.404775630823,504
-2.5,-5e-04,-4,-2.375,0.2,0.2,,-2.4800591869403,-3.73041783467621,0.000597526760585412,-2.25660946277152,0.219632728063231,0.241080388903831,0,1804.54126255199,-883.429443759117,152
-1,-5e-05,-5,-0.5,0.2,0.2,,-2.38169508880272,-3.73255891626132,0.000699506675261207,-0.873160114703964,0.220893865952957,0.243003526354773,0,1796.67908857643,-879.498356771332,520
-2,-2e-04,-4,-1.75,0.2,0.2,,-2.40835530266503,-3.29795007870585,0.00060121842194479,-1.95340792146142,0.221437384210105,0.242904215740036,0,1808.85535029701,-885.586487631626,288
-2,1e-04,-3,-1.75,0.2,0.2,,-2.17038157135434,-3.64800671422898,0.000929467943438503,0.458144489144522,0.21816719256668,0.242820692242985,0,1795.127617384,-878.722621175118,323
-2.5,-0.00035,-5,-0.5,0.2,0.2,,-2.35685898530171,-5.026225144773,0.000880960351362177,0.114313575577174,0.218568917475201,0.242244277543957,0,1795.17445052425,-878.746037745246,507
-2,-2e-04,-3,-2.375,0.2,0.2,,-2.31065142242924,-4.00816153552638,0.000818280009350885,0.00972314975613989,0.217310285735426,0.24275714850422,0,1792.62309766124,-877.470361313737,188
-1.5,1e-04,-3,-1.75,0.2,0.2,,-2.01755558990096,-2.81323395411602,0.000889138416620323,0.769158664991469,0.220496720689195,0.244348053543208,0,1806.70331269322,-884.510468829728,324
-2,-5e-05,-3,-2.375,0.2,0.2,,-2.44786211181099,-4.9894809753315,0.000774210951799299,-0.792595639438591,0.217808676304895,0.242624352979421,0,1795.38342123302,-878.850523099631,193
-1,-2e-04,-4,-2.375,0.2,0.2,,-2.46918733812018,-3.32435622049138,0.000536364828214714,-2.21477868977615,0.22252989651544,0.24184254256044,0,1809.57649177033,-885.947058368285,165
-2.5,-0.00035,-4,-0.5,0.2,0.2,,-2.36189757337141,-3.83728172023178,0.000732819931376488,-0.430801136013905,0.217313719751892,0.242294334374675,0,1793.77931122013,-878.048468093186,532
-1,-5e-05,-2,-1.125,0.2,0.2,,-2.24769212148501,-3.63409361352593,0.000813191504406411,0.42151622657753,0.217671275187864,0.242847423485912,0,1794.44731397096,-878.382469468598,470
-1.5,-5e-05,-2,-1.125,0.2,0.2,,-1.99601685638058,-3.14176730042007,0.000892383779102633,1.68060503514914,0.220233694800279,0.243917493489654,0,1806.79548556847,-884.556555267354,469
-1,-5e-05,-5,-3,0.2,0.2,,-2.50097958356066,-3.79993294772314,0.000587061786328627,-2.95356205099789,0.220305831812321,0.2442994314693,0,1806.29708770478,-884.307356335508,20
-2,-0.00035,-2,-1.75,0.2,0.2,,-2.52024902208783,-4.3864102440158,0.000637903626331141,-2.28696816450273,0.219115549067883,0.242632687033626,0,1801.69915589345,-882.008390429845,333
