"","a_log","h12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","h12.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"19","-1.5","1e-04","-3","-1.75","-0.5","-0.5","0.001","0.005","0.001","0.005","-15","0.2","0.2","399074","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"20","-1.5","1e-04","-2","-2.375","-0.5","-3","0.005","5e-04","0.001","0.005","-10","0.2","0.2","822724","NaN","-1.28302154236865","-2.39819989101745","-0.000156872246628805","-2.80033111726196","-0.529501772123316","-2.83377621202093","0.000776578072640169","0.0015371740339473","0.0117276233430113","-0.00144558844486087","-10.5293526575378","0.508962963905296","0.283095777013971","0","3096.54408640366","-1507.64720412715"
"21","-2","1e-04","-1","-2.375","-2","-0.5","5e-04","5e-04","0.001","0.001","-10","0.2","0.2","662123","NaN","-2.17593741866893","-1.00087985775527","-0.000759159695311642","-2.12070725228276","-1.74216066193865","-0.480863363422726","0.000785518285728379","0.00654535545281885","0.00455270232044095","0.00034110001177451","-10.1540658589232","0.46441227143852","0.642754540660232","0","3654.76288929336","-1786.75660557199"
"22","-1","-0.00035","-3","-2.375","-1","-0.5","0.001","5e-04","5e-04","0.001","-10","0.2","0.2","617685","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"23","-3","-5e-04","-3","-0.5","-0.5","-0.5","0.005","0.005","0.001","0.001","-5","0.2","0.2","1164301","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"24","-2.5","1e-04","-2","-1.75","-0.5","-1","0.005","0.005","0.001","0.005","-5","0.2","0.2","1314097","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"25","-2","-0.00035","-2","-2.375","-0.5","-1","0.005","5e-04","0.001","0.005","-10","0.2","0.2","824583","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"26","-3","-0.00035","-1","-0.5","-0.5","-3","0.001","5e-04","5e-04","0.005","-10","0.2","0.2","766856","NaN","-0.522502329067855","-0.00178309503027115","-0.00450629140035063","6.10706050159583","-3.86103967141475","-5.40106195624961","0.00278559939159673","0.0359172183553336","0.0671039720101131","-0.0155043155513933","-11.4151228250114","0.51415623319921","0.292967325398619","0","3093.22736125687","-1505.98884155375"
"27","-2.5","-2e-04","-3","-2.375","-0.5","-0.5","0.005","0.005","0.001","5e-04","-10","0.2","0.2","556437","NaN","-2.23719390921824","-3.39543645793694","2.66447054011462","-3.68393294433419","-3.39011803880484","-4.70478694980263","0.00175180422488322","0.0255962223871979","0.048611862767418","-0.00910537296281414","-10.5771887019259","0.524857817356309","0.280263035064864","0","3127.69343894037","-1523.2218803955"
"28","-2","-5e-04","-4","-2.375","-1","-1","5e-04","5e-04","0.001","0.001","-10","0.2","0.2","660778","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"29","-2","-0.00035","-3","-1.75","-2","-1","0.005","5e-04","0.001","0.001","-5","0.2","0.2","1127183","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"30","-3","-5e-05","-1","-3","-0.5","-0.5","0.001","0.001","5e-04","0.005","-15","0.2","0.2","331366","NaN","-2.98894541363096","-0.997486543197564","-0.000891751869572405","-2.98660139818808","-0.496215863236414","-0.511852962093238","0.000561209079944276","0.00543645386031653","0.00805560499154535","0.000261237961330475","-14.9959218884655","0.583353772810695","1.28330814874653","0","4323.61588734276","-2121.18310459669"
"31","-2.5","-0.00035","-1","-1.125","-1","-1","0.001","5e-04","0.001","0.005","-15","0.2","0.2","362982","NaN","-2.0526843069838","-0.766705556433374","-0.000947971955955732","-1.09842361677876","-1.26194107638524","-1.27647144222385","0.00084285744304544","0.00382669019156873","0.004481043025791","0.000213196597575442","-15.2613964500405","0.43281227869225","1.09342574261358","0","4042.26938447484","-1980.50985316273"
"32","-2","-5e-05","-2","-0.5","-1","-0.5","0.001","0.001","5e-04","5e-04","-5","0.2","0.2","938718","NaN","-1.98682611058118","-1.99121983124872","-0.000298150999898823","-0.525114186872802","-0.994880036761458","-0.513330953487706","0.000969310078355382","0.000630791338494047","0.00343129544205048","0.000489296484130132","-5.00801893475004","0.439574244611807","0.454764736053651","0","3554.88716619689","-1736.81874402376"
"33","-1.5","-2e-04","-1","-1.75","-0.5","-0.5","0.001","5e-04","0.001","0.001","-5","0.2","0.2","1124739","NaN","-1.50347467418001","-1.02760118965062","-0.000729837219854165","-1.67111483159695","-0.579756431324648","-0.572782784074393","0.000755311174844349","0.00215744044709167","0.00471042644084555","0.000287303024056943","-5.05350625044546","0.604955163605551","0.455926942588056","0","3645.95089056855","-1782.35060620959"
"34","-1","-5e-04","-3","-0.5","-0.5","-0.5","0.005","0.001","0.005","0.005","-15","0.2","0.2","438680","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"35","-2.5","-5e-05","-3","-1.125","-1","-0.5","0.001","0.001","0.001","5e-04","-15","0.2","0.2","77942","NaN","-1.75015745922904","-3.10442835615195","-4.34721669060154e-05","-1.84238614666657","-1.13880889270939","-2.71926099694061","0.000963746669986891","0.00247137025444372","0.00475091810499576","-0.00019761777109258","-11.502503206586","0.439899654343115","0.289147975051535","0","2979.83778869986","-1449.29405527524"
"36","-2","-0.00035","-5","-3","-0.5","-3","0.001","5e-04","0.005","0.001","-15","0.2","0.2","260008","NaN","-1.63610906265801","-4.13542340016805","-1.91099103895136e-05","-3.05672307245953","-0.777142391340141","-3.12403692032019","0.000570549491424715","0.00140468394028788","0.0131456470634651","-0.00153345116918354","-14.6858330860149","0.423144791916422","0.284547284765301","0","2908.52518258442","-1413.63775221752"
"37","-2","-0.00035","-2","-3","-0.5","-0.5","0.005","5e-04","5e-04","5e-04","-10","0.2","0.2","471958","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"38","-2.5","-5e-04","-4","-1.75","-1","-0.5","5e-04","0.005","0.001","5e-04","-5","0.2","0.2","1000277","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"39","-1","-5e-05","-1","-3","-0.5","-3","0.001","5e-04","0.005","0.005","-10","0.2","0.2","867620","NaN","2.83312378989544","-1.55988224034737","0.752605202499745","-5.44241306989999","-3.06930060398097","-4.7874252605274","0.00141162431905893","0.0192382231645743","0.0531469199445514","-0.00984536592091293","-5.53309451847217","0.523827542584213","0.280317074604492","0","3126.07109070195","-1522.41070627629"
"40","-3","-5e-04","-1","-3","-1","-1","5e-04","5e-04","0.001","0.005","-5","0.2","0.2","1268226","NaN","-3.20202227250193","-1.13791408986181","-0.0006988531593726","-2.83422108157569","-0.976523369891148","-1.06596205791258","0.000727622318998049","0.00492330280865447","0.00574178816456668","0.000233436070886056","-4.8847713718673","0.540020415493712","0.521627750420754","0","3463.83929274287","-1691.29480729675"
"41","-2.5","-0.00035","-3","-2.375","-2","-1","0.005","0.001","0.001","0.001","-15","0.2","0.2","232682","NaN","-2.47627752516211","-2.14547116501893","-0.000249336102518892","-1.92733317756518","-1.99131695383167","-3.7129333833339","0.000876457382856329","0.00370581974420934","0.0205856973921407","-0.00278636297418903","-13.4916890782891","0.467267544168544","0.281445162608942","0","3008.8769561512","-1463.81363900092"
"42","-2.5","-2e-04","-4","-0.5","-0.5","-1","0.001","5e-04","0.001","5e-04","-15","0.2","0.2","59912","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"43","-2","-5e-04","-2","-0.5","-1","-1","0.005","0.005","0.001","0.001","-5","0.2","0.2","1161828","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"44","-1","-5e-04","-5","-0.5","-0.5","-0.5","5e-04","0.001","5e-04","5e-04","-5","0.2","0.2","933630","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"45","-3","-5e-04","-1","-2.375","-0.5","-1","0.001","0.001","5e-04","0.001","-15","0.2","0.2","177726","NaN","-0.791635678759023","-2.17630212092986","-1.14089410087007e-05","3.04985489168843","-3.90050183934689","-6.65415139354192","0.00593915460340887","0.0100750985915107","0.0462334856365125","-0.0111380144954256","-15.5844663702446","0.470652895586907","0.289987309350435","0","3034.20993974417","-1476.4801307974"
"46","-1","-5e-04","-2","-0.5","-1","-3","0.005","0.001","0.001","0.005","-10","0.2","0.2","839330","NaN","-1.36128304690341","-1.99202341506731","-0.000178152024447935","0.194593534192835","-1.17766770018688","-2.6925040198671","0.000744287534837256","0.00267680769770945","0.010044870370183","-0.000831809757400575","-10.1951625230421","0.449645147186582","0.283719169279918","0","2974.45641969355","-1446.60337077209"
"47","-2.5","-5e-05","-5","-3","-0.5","-0.5","0.001","5e-04","0.005","0.005","-15","0.2","0.2","415642","NaN","-2.86577181884575","-4.61300050921785","-3.9799879862818e-05","-3.34611317342866","-0.600053437586022","-0.833544489882086","0.000440243654595242","0.0040149197309874","0.00492588626677567","0.000284052731736838","-13.9526859098282","0.778266454007969","0.380827369288532","0","3560.43254385955","-1739.59143285509"
"48","-3","-5e-05","-2","-1.125","-2","-0.5","5e-04","0.001","5e-04","5e-04","-15","0.2","0.2","21091","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"49","-3","-0.00035","-5","-3","-0.5","-0.5","5e-04","5e-04","5e-04","0.005","-15","0.2","0.2","308756","NaN","-1.55138882950079","-5.95946326216105","0.000905388015433506","-3.44920171549307","-1.8519046016548","-1.07531076989496","0.000575539448834533","0.00426927213409807","0.00487133453673324","0.000202765404190128","-12.7650270031639","0.506983138348256","0.371172370839002","0","3303.94450949048","-1611.34741567055"
"50","-1.5","-0.00035","-1","-1.125","-1","-0.5","5e-04","0.001","0.005","5e-04","-5","0.2","0.2","1034234","NaN","-2.04412798274131","-0.359186152594708","-0.00141804805484081","-0.330621363639413","-1.02642199234564","-1.98139098530928","0.000824127405744606","0.00257379962733347","0.00537298606036244","0.000590552591502877","-3.93821160540531","0.623000295956905","0.34284898102759","0","3258.33901204566","-1588.54466694814"
"51","-1.5","-0.00035","-2","-0.5","-0.5","-1","5e-04","0.005","0.001","5e-04","-15","0.2","0.2","88084","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"52","-1.5","-5e-05","-2","-2.375","-2","-3","0.005","5e-04","0.001","0.005","-10","0.2","0.2","821469","NaN","3.72073191365683","-2.20273241757539","0.730853246416549","-3.03579012170412","-3.48443021997354","-4.7861528528795","0.00187416078126282","0.0277002978333421","0.0522589402802359","-0.00997086557310932","-11.0389528991254","0.524336548607934","0.280294290754633","0","3125.71262134756","-1522.23147159909"
"53","-1","-2e-04","-3","-1.125","-1","-0.5","0.005","0.001","0.001","5e-04","-10","0.2","0.2","539190","NaN","433.016166764142","-1112.86142826044","512.614103584315","342.155807922304","-8.15355691566599","-8.74283246489297","0.153558890436327","2.64401338129784","2.58108485462444","-0.546982832598751","-336.049314245972","0.526114646627054","0.280019985827211","0","3129.1442211335","-1523.94727149206"
"54","-1.5","-2e-04","-2","-3","-1","-3","5e-04","0.005","0.005","5e-04","-15","0.2","0.2","135714","NaN","-0.963503028384323","-3.8270009344842","0.610245988617738","-3.30300502082924","-5.22537834680935","-5.30793277527589","0.00476301871725515","0.150121886688963","0.0868250635330413","-0.0169460148474925","-5.6338150094975","0.524123832707006","0.280052645459252","0","3126.77235033366","-1522.76133609214"
"55","-2.5","-5e-05","-5","-2.375","-1","-0.5","0.001","0.005","5e-04","0.001","-15","0.2","0.2","195767","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"56","-1","-5e-04","-3","-1.125","-0.5","-1","5e-04","0.001","0.001","0.005","-10","0.2","0.2","830430","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"57","-2.5","-5e-05","-2","-1.125","-2","-3","0.001","0.001","0.005","0.005","-5","0.2","0.2","1339217","NaN","-4.23720162711775","-6.31600891001125","4.16006036719904","3.6200751590788","-3.35544207629444","-4.61525286023005","0.00174265321970103","0.0247753721236417","0.0447245743543431","-0.00828510717169133","-6.17950688446835","0.525431536886745","0.28027825577003","0","3128.55210566706","-1523.65121375885"
"58","-2","1e-04","-5","-0.5","-2","-0.5","0.001","0.001","5e-04","0.005","-10","0.2","0.2","786148","NaN","-2.85234259825013","-4.70163952910618","-3.64961971520858e-05","-0.586376809684843","-1.22401628138024","-0.57647102488573","0.000459111411036234","0.00445736317105655","0.00445533736292605","0.000307179905139808","-10.2887246890028","0.470672232103223","0.902814486782772","0","3822.72209793545","-1870.73620989304"
"59","-1.5","-5e-04","-2","-1.75","-1","-0.5","0.001","0.001","0.001","0.005","-5","0.2","0.2","1292829","NaN","-1.52181950616306","-1.97376204725244","-0.000289396554298867","-1.68456937352277","-2.70029507266406","-0.539547593326842","0.00134616142202472","0.00156316444883489","0.00488071660122489","0.00027508834224621","-4.872214876459","0.445311368691198","0.432367912057862","0","3506.23236490417","-1712.4913433774"
