"","a_log","h12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","h12.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"73","-1","-2e-04","-2","-0.5","-0.5","-1","0.005","0.001","5e-04","0.005","-15","0.2","0.2","335590","NaN","-1.68897154242517","-0.938985329636379","1.17816332791539","5.00581418628158","-3.33880088470767","-4.47828334225054","0.00170537393447052","0.0242672858050666","0.0398461766016007","-0.00728088578240203","-15.8555934712395","0.524738201699333","0.279983386772174","0","3126.96749135835","-1522.85890660449"
"74","-1.5","1e-04","-2","-2.375","-1","-0.5","5e-04","5e-04","0.005","0.001","-5","0.2","0.2","1168974","NaN","-1.60687857451037","-1.91582713134875","-0.000307045039006736","-2.35796585259586","-0.953223100170221","-0.700704127161303","0.000898049917811696","0.00258019916467231","0.00471614576674695","0.000394329591533778","-5.01005495746435","0.496997169671066","0.500170513414944","0","3447.50824558082","-1683.12928371573"
"75","-2","-0.00035","-3","-1.75","-2","-1","5e-04","0.001","0.005","5e-04","-15","0.2","0.2","120308","NaN","-1.69280557453832","-3.21368832170442","-8.38221447933403e-05","0.502062712760522","-1.57428530080527","-2.25378205874553","0.000779834500565709","-0.000438056874750381","0.00776178511217869","-0.000189534489246147","-15.9258299466051","0.41648297246501","0.285395206942239","0","2935.60578340543","-1427.17805262803"
"76","-3","-5e-04","-1","-2.375","-2","-3","0.005","0.005","5e-04","0.001","-15","0.2","0.2","197101","NaN","105.197077555915","39.8918771309496","60.3215382132555","-103.952279234194","-6.09962575441223","-6.84013514435879","0.0204335357714442","0.341484885417403","0.376504262419087","-0.0831033071550803","31.9029865779006","0.525954214300067","0.280144840467718","0","3129.28121693574","-1524.01576939318"
"77","-3","-5e-04","-5","-1.75","-1","-1","5e-04","5e-04","0.001","0.001","-15","0.2","0.2","205251","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"78","-1","1e-04","-1","-3","-0.5","-0.5","5e-04","0.001","5e-04","0.005","-5","0.2","0.2","1237000","NaN","2.03495003317193","-1.73390301668082","5.66399862186492","0.331276234161048","-3.78345146065169","-4.40300851883627","0.0031471960375227","0.0344837037504814","0.0367027602427038","-0.00651976895123988","-13.9107761036124","0.525498669227186","0.280690580474432","0","3129.33361395318","-1524.0419679019"
"79","-3","-5e-05","-1","-0.5","-2","-0.5","0.001","0.001","0.001","0.001","-15","0.2","0.2","229366","NaN","-2.64551504965888","-0.994080684892078","-0.000806454104934086","-0.495401864780431","-2.00266126899061","-0.501534698916442","0.00113734724632388","0.00246353924322641","0.00403521146841465","0.000366042726202958","-14.9887948790523","0.573319535030841","0.946750896325082","0","3944.27686044561","-1931.51359114812"
"80","-3","-2e-04","-5","-0.5","-1","-3","5e-04","5e-04","5e-04","0.005","-5","0.2","0.2","1216136","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"81","-2","-5e-05","-4","-0.5","-1","-3","5e-04","5e-04","0.005","5e-04","-5","0.2","0.2","1013668","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"82","-1.5","-5e-04","-1","-2.375","-0.5","-0.5","0.001","0.005","0.001","0.005","-10","0.2","0.2","854604","NaN","-1.70863154538724","-0.788504282841351","-0.00093128947201593","-1.13358428805224","-0.811893551886073","-0.387632028277076","0.000802383256692093","0.00398500927646797","0.00476428120102035","0.000356843437866524","-10.9449971560802","0.418811477963779","0.494240360573792","0","3726.03366951301","-1822.39199568182"
"83","-3","-0.00035","-3","-3","-0.5","-0.5","5e-04","5e-04","0.005","0.001","-10","0.2","0.2","713806","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"84","-3","-5e-04","-5","-2.375","-0.5","-0.5","0.001","0.005","0.005","0.001","-5","0.2","0.2","1208876","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"85","-2","-5e-04","-3","-1.125","-2","-0.5","0.001","0.005","5e-04","0.001","-10","0.2","0.2","651053","NaN","-1.31411533826567","-1.85074984566074","4.49273174226366","-0.562146492192255","-2.97583855655074","-4.25139125543453","0.0013002124979657","0.0180494947637217","0.0321010482628349","-0.00544365493772217","-14.184828104313","0.52544665956683","0.280427255922041","0","3129.15038022177","-1523.9503510362"
"86","-2","-5e-04","-4","-1.125","-2","-3","0.005","0.005","0.001","0.005","-5","0.2","0.2","1311028","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"87","-2.5","-5e-04","-5","-0.5","-0.5","-3","0.005","5e-04","5e-04","0.001","-5","0.2","0.2","1076127","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"88","-2","1e-04","-4","-1.75","-0.5","-3","5e-04","5e-04","0.005","5e-04","-5","0.2","0.2","1014048","NaN","-1.44632009579708","-3.95196691668656","-5.11589112203405e-06","-0.330854958601793","-0.761835188548316","-3.96165298249283","0.000574532979800227","0.00132995626823912","0.0247874578733441","-0.00583615159373236","-5.56828305554001","0.410968436314319","0.284376554078119","0","2898.02605223619","-1408.38818704341"
"89","-1.5","-0.00035","-2","-2.375","-0.5","-0.5","5e-04","0.001","5e-04","0.001","-15","0.2","0.2","173959","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"90","-1.5","-5e-05","-1","-1.125","-1","-1","0.005","0.001","5e-04","0.005","-15","0.2","0.2","334869","NaN","-79.4685474514305","81.4377323102374","19.310722288428","-49.4302983301607","-2.83336855801418","-6.23398706455845","0.00111277666372212","0.0153079839968449","0.238116718754169","-0.0371806042316698","-104.662170509889","0.528143496719245","0.282371610431174","0","3131.49022445023","-1525.12027315043"
"91","-3","-5e-04","-5","-2.375","-2","-1","0.005","0.001","0.005","0.005","-10","0.2","0.2","890751","NaN","-3.71455681301186","-4.56153680963134","-0.00011637353282641","-2.2585467354901","-6.76505646495935","-1.19355377098152","0.0502455665399566","0.17716252432346","0.0045860975350495","0.000181734912250185","-6.8693672833868","0.51482864531691","0.331281298129265","0","3276.42341638487","-1597.58686911775"
"92","-1.5","-5e-04","-5","-0.5","-0.5","-0.5","0.005","0.005","0.005","0.001","-5","0.2","0.2","1214879","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"93","-3","-5e-05","-1","-1.75","-1","-1","0.001","0.005","0.005","0.005","-10","0.2","0.2","902866","NaN","-3.29101046141512","-0.0150630806480411","-0.834274632434952","-1.56927069700498","-1.34183703943764","-1.51367221568527","0.000499239853614376","0.00553883727068827","0.00493572520489842","0.000138336368424549","-8.35088767992604","0.563095109770839","0.306946850177816","0","3278.29360778236","-1598.52196481649"
"94","-1","-2e-04","-2","-1.75","-0.5","-3","5e-04","0.005","0.005","0.001","-15","0.2","0.2","288465","NaN","-0.686427945559031","1.53467086211684","3.69027112028488","-2.51062143593036","-3.4354284392549","-4.97536454665469","0.00181851428649043","0.0266464927583513","0.0631207281931209","-0.0121631252540861","-12.8840190371503","0.525582296352249","0.280113776159549","0","3128.40775917232","-1523.57904051147"
"95","-2.5","-0.00035","-1","-1.75","-2","-0.5","0.001","0.005","0.005","5e-04","-15","0.2","0.2","144732","NaN","41.5850872542605","-11.6485244374757","0.622451245124121","-10.6411954539369","-2.94425871811979","-5.14375220022321","0.00131882749537704","0.0171897317647386","0.074177507294908","-0.0144473281096313","-21.5102073583046","0.52369607689714","0.280031784597313","0","3124.61581189127","-1521.68306687095"
"96","-2","-5e-05","-4","-1.75","-1","-1","0.001","0.001","0.005","5e-04","-15","0.2","0.2","126543","NaN","-1.89868172003951","-3.22868237204842","-5.64405598938733e-05","-1.39370104404546","-1.1921065364872","-1.14066225679243","0.000610903226594724","0.00331395141029395","0.00516964343010408","0.000282492073210385","-14.8290083128792","0.4159674335537","0.359770429076903","0","3137.30238368819","-1528.02635276941"
"97","-1.5","-5e-04","-4","-0.5","-1","-3","5e-04","5e-04","0.005","0.005","-5","0.2","0.2","1317404","NaN","-1.48738984485426","-4.00592771224664","6.47918423280324e-05","-0.126402347427232","-0.874702315378218","-3.29496125516061","0.00057963237706344","0.00200324578751058","0.0146442504237382","-0.00203247925267865","-5.25607082720501","0.406547000889963","0.280336499563567","0","2911.50962319696","-1415.12997252379"
"98","-1","1e-04","-3","-1.75","-0.5","-0.5","0.001","0.001","0.005","0.005","-10","0.2","0.2","888450","NaN","-1.43532556592363","-3.42247164792016","-4.27190979288047e-05","-2.28155789657256","-0.0987283459541131","-0.675981606488595","0.000641998634927608","0.0025434731402392","0.00523866950953024","0.000336783835907414","-8.42127419323467","0.532206123054102","0.705887357930096","0","3696.30965112133","-1807.52998648598"
