"","a_log","h12","h_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","h12.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"77","-1","-5e-05","-5","-1","-1","0.001","0.001","0.005","5e-04","-5","0.2","0.2","207520","NaN","15.3704466622065","-24.1815423591997","8.53896881721039","-4.88823612621653","-5.03145150774242","0.00633160347830407","0.104621493936476","0.0662882765909018","-0.0127337343307806","-7.10763931671578","0.526087553090471","0.279984653784252","0","3122.57675066681","-1523.78852387985"
"78","-3","-5e-05","-3","-1","-0.5","5e-04","0.005","0.001","0.005","-15","0.2","0.2","78566","NaN","-1.67199853106052","-2.92565357170675","-0.000117034268010609","-1.07218928081616","-0.730649327668302","0.000726514153250508","0.00128519548017173","0.00526334522252835","0.000160703895957843","-15.1235392467093","0.443792317039064","1.37075286486522","0","4110.99335471756","-2017.99682590522"
"79","-2","1e-04","-1","-2","-3","0.005","0.001","5e-04","5e-04","-15","0.2","0.2","5748","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"80","-1","-0.00035","-2","-0.5","-0.5","0.005","0.001","0.005","0.005","-5","0.2","0.2","269960","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"81","-2.5","1e-04","-4","-2","-0.5","0.001","0.001","0.005","5e-04","-15","0.2","0.2","25547","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"82","-2","1e-04","-2","-2","-0.5","0.001","5e-04","0.005","0.005","-10","0.2","0.2","174098","NaN","-2.11002053910353","-7.9832797230769","0.429210165970535","-3.52592384149763","-4.5492678564165","0.00210297705588904","0.0282292832246221","0.0404181889264432","-0.00801805001778563","-8.0074412628191","0.523363767148352","0.28014761522665","0","3118.27109103672","-1521.6356940648"
"83","-1","-0.00035","-3","-1","-1","0.005","5e-04","0.001","0.005","-5","0.2","0.2","255935","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"84","-1","-0.00035","-3","-2","-0.5","5e-04","5e-04","0.001","5e-04","-10","0.2","0.2","102060","NaN","1.29058646160474","-2.28237024164715","2.17831090045672","-3.25405566207318","-4.92000646870886","0.00156064487419101","0.0227882487057953","0.060323840970092","-0.0113465442138637","-11.7535427356781","0.524897426255002","0.280374576824958","0","3120.94910719152","-1522.9747021422"
"85","-3","-2e-04","-2","-1","-3","0.001","0.001","0.005","5e-04","-5","0.2","0.2","207211","NaN","-2.67823462428259","-2.75330654942904","-7.83453011106811e-05","-1.0915765988972","-2.9131863526176","0.00079238113565929","0.00372842356855614","0.00771850352918248","-0.000343658262777298","-4.37732155618162","0.454851119902098","0.292786141468524","0","3088.43195737407","-1506.71612723348"
"86","-2.5","-5e-04","-5","-2","-1","0.005","0.005","0.001","0.001","-10","0.2","0.2","141002","NaN","-2.51267538534316","-4.90642238405982","1.78277740717869","-3.48347696586123","-4.78004214309525","0.00189873190262767","0.0278246891946109","0.0521843179635615","-0.0099085210692844","-7.71069520812416","0.524617171622941","0.280259263892972","0","3120.84596388214","-1522.92313048751"
"87","-1","-5e-05","-1","-1","-0.5","0.005","0.005","0.005","5e-04","-5","0.2","0.2","212495","NaN","-7.28378368050916","9.22533630002447","-1.36284173584793","-4.3161827770603","-4.91233593070897","0.00348766139811355","0.0606586617302707","0.0589141152147618","-0.0113430716089743","1.42201792461282","0.526062331697749","0.280131704832524","0","3123.06355160532","-1524.0319243491"
"88","-2","-0.00035","-5","-2","-3","5e-04","0.001","5e-04","5e-04","-10","0.2","0.2","94508","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"89","-2","1e-04","-4","-2","-1","0.005","5e-04","5e-04","5e-04","-10","0.2","0.2","93798","NaN","-1.72706180834597","-2.29600879096797","-0.000208990485014737","-2.18164779373945","-2.2740024642679","0.000767817794924127","-0.00301689591426653","0.00535598569919609","-0.000451518341766958","-9.67870641616962","0.511651024812811","0.292681889182186","0","3052.86823673896","-1488.93426691592"
"90","-1.5","-2e-04","-2","-0.5","-0.5","0.005","5e-04","5e-04","5e-04","-10","0.2","0.2","94464","NaN","-3.86370639605579","-1.78305642272936","1.08852344349455","-3.02853157711011","-4.26323320927811","0.00135815531103727","0.0187153403032485","0.033267182270432","-0.00540506003789411","-8.31382260748653","0.525264246357228","0.280357541058463","0","3121.69374199354","-1523.34701954321"
"91","-2","-5e-04","-1","-2","-0.5","5e-04","0.001","0.001","0.001","-10","0.2","0.2","135853","NaN","10.0788853182363","-0.307516506236433","1.51577948941274","-4.44932023856439","-4.38551964034973","0.00424981951860424","0.0678264554068378","0.0359060174625712","-0.00641697489610976","-11.5685955812517","0.525437683594564","0.280441704929418","0","3121.95723091406","-1523.47876400347"
"92","-2.5","-2e-04","-4","-0.5","-1","0.005","5e-04","5e-04","5e-04","-15","0.2","0.2","2912","NaN","-41.618258149877","-22.5927808008001","6.9196101050379","-5.19879608413399","-6.48213560255413","0.00835747531902213","0.141223549729159","0.273438060617501","-0.0562251772083485","-4.25636041870866","0.525849393280106","0.280134104204607","0","3122.76724115978","-1523.88376912633"
"93","-3","-5e-04","-3","-2","-1","5e-04","5e-04","0.005","0.005","-5","0.2","0.2","263676","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"94","-1","-2e-04","-4","-2","-3","0.005","0.005","0.005","0.001","-15","0.2","0.2","59665","NaN","-2.25948290583437","-4.11418181819753","-3.54205785947237e-05","-2.2439627755746","-3.12874277885803","0.000561819367180074","0.0021378571038957","0.0105746555294205","-0.00118065743166004","-12.8121451785117","0.455819883425752","0.278390126007871","0","2975.10178044554","-1450.05103876921"
"95","-1.5","-0.00035","-2","-2","-3","5e-04","0.005","0.001","5e-04","-15","0.2","0.2","16959","NaN","3.81999343214711","0.822255179306426","2.40898873075417","-3.22702852525079","-4.85945621384622","0.00154132972530044","0.0223310566958659","0.0573774417399639","-0.0106299942287063","-16.2930728589798","0.52591981480277","0.280432996349245","0","3121.90701742118","-1523.45365725704"
"96","-1.5","-0.00035","-2","-1","-3","5e-04","0.001","0.001","0.005","-15","0.2","0.2","74459","NaN","-1.68395665702533","-1.65450527771011","-0.000286701016602291","-1.55052674241496","-2.60437114840506","0.00112006882721251","0.00366143673556293","0.00807444277656978","-0.000333942792474985","-14.2416464199308","0.483521857060148","0.276859317628628","0","3069.82776202851","-1497.4140295607"
"97","-1.5","-5e-04","-5","-2","-0.5","5e-04","5e-04","5e-04","0.001","-5","0.2","0.2","213379","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"98","-3","1e-04","-4","-0.5","-0.5","5e-04","0.005","5e-04","0.001","-10","0.2","0.2","129296","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
