"","a_log","h_log","log_w","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"20","-1","-2","-6.25","-1","-1","0.005","5e-04","5e-04","5e-04","-5","0.2","0.2","185095","NaN","-745.089422205703","973.387257888927","147.086291110508","-9.13865107647935","-10.2523461725652","0.671753096272248","6.30381190301816","9.28520924490822","-2.77721820386845","-833.280402699608","0.52676833644501","0.280558098759402","0","3126.81541963331","-1525.9078583631"
"21","-2.5","-4","-6.25","-2","-0.5","0.005","0.001","0.001","0.005","-10","0.2","0.2","168457","NaN","-1.7975801234757","-3.8030034171227","-7.79817332322139","-1.03030024026863","-3.61332592678726","0.000590988012838815","0.00226658798445093","0.016944705006403","-0.00247940094548562","-10.7891968542257","0.430743406129001","0.279332792315738","0","2914.76838519935","-1419.88434114612"
"22","-2","-1","-5","-2","-0.5","0.001","5e-04","0.001","5e-04","-15","0.2","0.2","12123","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"23","-1","-4","-8.75","-0.5","-3","5e-04","0.005","5e-04","5e-04","-5","0.2","0.2","189285","NaN","-1.57346136936636","-3.96979520384977","-6.25968692602191","-0.806100362442216","-4.0806301683684","0.000526880135434132","0.00265225027134035","0.0142862976823515","-0.00382451650395602","-5.99653328608023","0.413827005729073","0.280417762815833","0","2922.47807804475","-1423.73918756882"
"24","-2.5","-2","-8.75","-1","-3","5e-04","0.005","0.005","0.005","-10","0.2","0.2","179042","NaN","-1.70397655919349","-4.4316760868227","-8.54465254884815","-0.806609411892345","-4.57703631951955","0.00052599308730921","0.00177492783952717","0.0347108041372758","-0.00679865361723251","-9.90099457267557","0.420582505850397","0.28208286804144","0","2900.50360913684","-1412.75195311487"
"25","-1","-3","-5","-2","-3","0.001","5e-04","0.001","0.001","-15","0.2","0.2","41740","NaN","-1.73545162183643","-4.53494399174014","-14.4655210489041","-0.802522504072861","-3.36706648155428","0.000543593431004566","0.00151391893454403","0.0124764087240757","-0.00231890963365142","-11.6743975004356","0.422307055752578","0.27848648915675","0","2908.21003337969","-1416.60516523629"
"26","-3","-1","-6.25","-1","-3","0.005","0.001","0.001","0.005","-5","0.2","0.2","258971","NaN","-1.58418142691292","-2.78360248418353","-9.27561128968398","-0.80103613369065","-2.67048437801408","0.000711079750301929","0.00253720420673108","0.0085361837218907","-0.00087738052111877","-4.67947825536055","0.452537515716895","0.286173171271341","0","3020.45966914334","-1472.72998311811"
"27","-1.5","-4","-5","-2","-0.5","0.001","5e-04","5e-04","0.005","-10","0.2","0.2","153859","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"28","-1","-5","-5","-1","-0.5","0.005","0.005","5e-04","0.005","-15","0.2","0.2","70730","NaN","-0.0627035540768351","0.865764991027722","-1.70226006141089","-6.68157434192399","-7.09831361687268","0.00150930674144192","0.656014768101282","0.563226225203204","-0.079734005594293","-3.33458130504019","0.525898035463549","0.280696217608646","0","3129.19326097313","-1527.09677903301"
"29","-1","-3","-7.5","-1","-0.5","5e-04","0.001","0.005","0.001","-5","0.2","0.2","237190","NaN","-1.29541258970913","-3.56780382464665","-5.51527533549142","-0.771702436118964","-2.45441709915794","0.000572295455340635","0.00303976841211972","0.00823682982967905","-0.000312317087141099","-4.92627142800801","0.432207274774352","0.286267970581753","0","2981.44011001232","-1453.2202035526"
