"","a_log","h_log","log_w","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"57","-2","-4","-10","-1.125","-2","-1","5e-04","5e-04","0.001","5e-04","-10","0.2","0.2","508508","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"58","-1","-4","-5","-1.125","-0.5","-3","5e-04","0.005","5e-04","0.005","-10","0.2","0.2","794860","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"59","-2","-4","-7.5","-0.5","-1","-3","0.001","0.001","0.005","0.005","-5","0.2","0.2","1339933","NaN","-1.3354894025205","-4.22882967530092","-6.60133297416257","-0.350651845277456","-0.580497294507863","-2.65167442318314","0.000525140312943963","0.00224832685040869","0.0096011601387217","-0.000784867956822125","-6.28850349537225","0.408311864477556","0.28450851573747","0","2880.5961965066","-1399.67325917861"
"60","-2.5","-1","-6.25","-3","-0.5","-3","0.005","0.001","0.001","0.005","-10","0.2","0.2","839472","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"61","-3","-4","-6.25","-3","-1","-0.5","0.005","5e-04","5e-04","5e-04","-10","0.2","0.2","471331","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"62","-3","-5","-8.75","-0.5","-0.5","-3","0.001","0.001","0.005","0.005","-5","0.2","0.2","1340526","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"63","-2","-1","-5","-2.375","-0.5","-0.5","5e-04","5e-04","5e-04","0.005","-10","0.2","0.2","764623","NaN","-2.65601041001618","2.71232741618795","-5.43660973437994","-2.73254488041854","-2.71957702309134","-5.49213491540846","0.00114859639051035","0.0138716925980812","0.103216232266921","-0.0205017995410798","-8.06742892840094","0.525584035326025","0.280286686760588","0","3129.30240103322","-1524.02636144192"
"64","-1","-3","-6.25","-1.75","-1","-3","0.001","0.005","0.005","5e-04","-10","0.2","0.2","597215","NaN","-1.44584997462589","-4.21074533243934","-7.65044363125064","0.376561689979112","-0.770893385488328","-3.67632313246538","0.000535182697987821","0.00188436433480699","0.0181951540178993","-0.00307047125933424","-9.29143647935985","0.402419595836003","0.280929506264154","0","2855.26559431753","-1387.00795808408"
"65","-1","-2","-7.5","-0.5","-0.5","-0.5","0.001","5e-04","0.005","0.005","-5","0.2","0.2","1327445","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"66","-1","-3","-8.75","-1.75","-0.5","-1","0.005","0.001","5e-04","0.001","-10","0.2","0.2","639040","NaN","-1.17579224239169","-4.39038750746296","-6.7929753899924","0.755647884964779","-0.425782435544186","-2.25168276074995","0.000510396570015903","0.00206756158782754","0.00738625669013275","-0.000532173203078845","-9.62795327830239","0.401230002517238","0.28823745600984","0","2900.42320613465","-1409.58676399264"
