"","a_log","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"60","-2.11111111111111","-2.77777777777778","-3","-2","-0.5","5e-04","0.005","0.001","5e-04","-15","0.2","0.2","70555","NaN","-2.20599155130178","-3.51748047712093","-2.39614716818913","-1.80238314026102","-3.03212810063907","0.000673667006627373","0.00309326471452096","0.0110128882608061","-0.00119326702530126","-13.6434827808932","0.447517301353541","0.281540594029497","0","2961.42381685988","-1443.21205697638"
"61","-2.77777777777778","-2.77777777777778","-2.375","-0.5","-3","5e-04","5e-04","0.001","0.001","-15","0.2","0.2","163152","NaN","-1.61235392343966","-4.4641743558926","-1.74490698213366","-0.764843967307436","-3.34788279844407","0.000532318694312208","0.00152314353294875","0.0131535355838417","-0.00182634484314312","-11.0089101806438","0.415920658316316","0.280378571433282","0","2886.7190734852","-1405.85968528904"
"62","-1.88888888888889","-4.11111111111111","-0.5","-2","-0.5","0.001","5e-04","5e-04","0.005","-5","0.2","0.2","979926","NaN","-3.34618072938293","0.15822139759777","0.418078916351599","-2.09596343655673","-2.61146463552572","0.000825454640202034","0.00900211181656722","0.00910942747122713","-0.000718159652016759","-5.95336443791465","0.495049472823322","0.283086918897283","0","3118.76783601859","-1521.88406655574"
"63","-1.66666666666667","-4.55555555555556","-1.125","-2","-3","0.001","0.005","5e-04","0.001","-15","0.2","0.2","153317","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"64","-1.88888888888889","-1.44444444444444","-0.5","-0.5","-3","5e-04","0.005","0.005","0.001","-5","0.2","0.2","959986","NaN","-1.20445292436256","-2.1653677684545","2.74402748681035","-3.55253447287445","-5.62820508067795","0.00206496413081759","0.0157382621142574","0.12635354036375","-0.0238694712070544","-5.791749578431","0.456845392608298","0.28039807970295","0","2978.98427650051","-1451.9922867967"
"65","-1.22222222222222","-4.11111111111111","-2.375","-0.5","-0.5","5e-04","0.001","5e-04","0.001","-15","0.2","0.2","139129","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"66","-3","-5","-0.5","-2","-3","5e-04","0.001","5e-04","0.005","-15","0.2","0.2","256901","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"67","-2.77777777777778","-2.77777777777778","-2.375","-2","-0.5","5e-04","0.005","0.001","5e-04","-15","0.2","0.2","70652","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"68","-2.11111111111111","-4.11111111111111","-1.125","-1","-1","0.001","0.005","0.005","0.001","-10","0.2","0.2","600825","NaN","-1.38127046745468","-3.53524926226882","1.23194948804103","-0.981983879729459","-2.89676045027201","0.000635874398613124","0.00191361746967423","0.00888010505603149","-0.000800724485474976","-9.19426877164605","0.410681371924085","0.281751637609665","0","2872.07465714666","-1398.53747711977"
"69","-1.88888888888889","-3.22222222222222","-3","-1","-0.5","0.005","5e-04","0.001","0.001","-15","0.2","0.2","174546","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
