"","a_log","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"13","-1.66666666666667","-3.66666666666667","-3","-1","-0.5","0.001","0.001","0.001","0.001","-15","0.2","0.2","183537","NaN","-1.52886485547396","-3.34494353965946","0.120631874375478","-1.25888931106256","-3.26604263923171","0.000718389411297273","0.00161684434100885","0.0100767432083917","-0.00153419029678581","-16.9859519474614","0.419380192210812","0.287629711347295","0","2890.89898989699","-1407.94964349494"
"14","-1.66666666666667","-2.33333333333333","-1.75","-0.5","-0.5","0.001","0.005","5e-04","5e-04","-10","0.2","0.2","400267","NaN","-1.46620827835719","-4.00477201204782","0.562051295915034","-0.797643742300338","-3.64029429040822","0.000590732296150707","0.00166940523488834","0.0106931201797928","0.000707252295643274","-8.63117940720265","0.404975138861126","0.294159611825941","0","2903.18641699459","-1414.09335704374"
"15","-1.88888888888889","-5","-1.75","-2","-3","5e-04","5e-04","0.005","5e-04","-15","0.2","0.2","81206","NaN","-1.46402154474841","-4.146129761246","0.596194026219683","-0.78299671931707","-4.12612752397961","0.00054701020809341","0.00161537337107844","0.0287069880065927","-0.00371118533558133","-13.1418225331244","0.406663857197229","0.279232154951075","0","2855.83385166704","-1390.41707437996"
"16","-3","-5","-1.125","-0.5","-3","5e-04","5e-04","0.005","5e-04","-15","0.2","0.2","82301","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"17","-1","-5","-0.5","-1","-3","0.005","0.001","0.001","5e-04","-10","0.2","0.2","428410","NaN","-1.63301895011043","-4.70058846791566","-0.428549643284606","-0.793992024778696","-4.3179038493636","0.000478803234275325","0.00145550678581356","0.029199289395454","-0.00585010716909074","-7.62128137168972","0.409406462437136","0.278939078617153","0","2868.81411579883","-1396.90720644586"
"18","-1.88888888888889","-1","-1.125","-2","-1","0.005","5e-04","0.001","0.001","-10","0.2","0.2","537396","NaN","-1.60522828038298","-2.75079511113713","1.70491813129078","-10.9050264694004","-9.03447864789934","2.78610809172649","-0.868790444094388","2.91458299834691","-0.0578554702037086","-34.9361183232129","0.45973276563602","0.289724198944667","0","3018.43750709765","-1471.71890209527"
"19","-1.88888888888889","-3.22222222222222","-1.125","-0.5","-1","0.001","5e-04","0.001","5e-04","-5","0.2","0.2","776846","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"20","-1.44444444444444","-1.44444444444444","-2.375","-1","-1","0.005","0.001","5e-04","0.001","-5","0.2","0.2","875188","NaN","-1.65437777026331","-2.70283109451814","1.80661604640624","-6.58966176404724","-5.89873624616219","0.00562280481916071","0.156207815510059","0.105803182197446","-0.0327838545488516","-9.18070029239823","0.463461586623182","0.280466739557691","0","2991.30975958913","-1458.15502834101"
"21","-1.88888888888889","-2.77777777777778","-3","-0.5","-0.5","5e-04","5e-04","0.001","5e-04","-15","0.2","0.2","44556","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"22","-1.88888888888889","-1","-3","-1","-1","0.005","0.005","0.001","5e-04","-15","0.2","0.2","78596","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"23","-2.77777777777778","-3.66666666666667","-2.375","-0.5","-1","0.001","5e-04","5e-04","5e-04","-5","0.2","0.2","736132","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"24","-2.55555555555556","-1.88888888888889","-0.5","-2","-0.5","5e-04","5e-04","5e-04","0.005","-10","0.2","0.2","610973","NaN","-1.5950829976818","-3.88655159062392","1.23303331976567","-1.08985957011489","-2.222727871358","0.000560376149092516","0.0019747225973667","0.00708667565199381","-0.00040848526750213","-10.2924456399828","0.35936224877645","0.313727347647767","0","2924.51395413644","-1424.75712561466"
"25","-1.66666666666667","-5","-1.125","-1","-0.5","5e-04","0.001","0.001","0.001","-15","0.2","0.2","179307","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"26","-2.77777777777778","-2.77777777777778","-2.375","-0.5","-3","0.001","0.005","0.005","5e-04","-10","0.2","0.2","478152","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"27","-2.11111111111111","-1.88888888888889","-3","-2","-3","5e-04","5e-04","0.001","0.001","-5","0.2","0.2","891075","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"28","-1.66666666666667","-4.11111111111111","-3","-1","-0.5","0.005","0.005","0.005","0.005","-5","0.2","0.2","1092527","NaN","-1.66258495058985","-4.13854788898217","-2.20882631665881","-0.881937366857243","-0.608831549042418","0.000599016747891801","0.00223612878092234","0.0050095284374568","0.000261160051310299","-4.65527993085201","0.412671631594117","0.405786769575878","0","3502.32932978628","-1713.66481343958"
"29","-1.88888888888889","-3.22222222222222","-2.375","-1","-3","0.005","0.005","5e-04","0.001","-10","0.2","0.2","522646","NaN","-1.43861290018171","-4.02889084251112","0.707006746432279","-0.788159966839047","-5.56498091257177","0.000576702219519861","0.0015002196201473","0.0087666362445951","-0.0197247806840327","-11.007845484987","0.40663723475414","0.290476497010904","0","2888.44387006287","-1406.72208357788"
"30","-3","-1.88888888888889","-0.5","-2","-0.5","5e-04","5e-04","0.001","0.001","-5","0.2","0.2","894471","NaN","-1.79936581613438","-2.68449397829387","1.38549561930059","-1.04604261885445","-3.83918126090407","0.000641915425106251","0.00326875408836872","0.021052003676493","-0.00259799182677594","-4.58115054039304","0.428062239474724","0.277184835189354","0","2967.04644536185","-1446.02337122737"
"31","-1.22222222222222","-4.11111111111111","-2.375","-2","-3","0.001","0.005","0.005","0.005","-15","0.2","0.2","355629","NaN","-1.555748656352","-4.37240870830452","0.00809197120917434","-0.779840085543475","-4.84019880601155","0.000526927307390119","0.00157406694132665","0.0516243394656174","-0.0102599924071109","-13.1009449495849","0.405879556557014","0.27968461321725","0","2856.03346216301","-1390.51687962795"
"32","-3","-2.77777777777778","-1.125","-2","-3","0.005","0.001","0.005","0.001","-10","0.2","0.2","589851","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"33","-2.55555555555556","-4.55555555555556","-1.125","-2","-1","0.001","5e-04","0.001","0.005","-15","0.2","0.2","289813","NaN","-1.37232717201099","-3.14344821239659","3.63799427333162","-2.36662982322696","-4.5225797929369","0.00096457386140565","0.00394411831890438","0.040082823957636","-0.00938199676764518","-17.034386692979","0.454566914978134","0.28265597548375","0","2965.29463589881","-1445.14746649585"
"34","-2.55555555555556","-1","-0.5","-2","-3","5e-04","5e-04","0.005","0.001","-5","0.2","0.2","931993","NaN","-1.41202908723518","-3.50994775004528","0.751287049960175","-0.847211966522832","-3.89760586525331","0.000601328302429909","0.00184355156804824","0.0232076123953882","-0.00345218194196434","-5.2463852736742","0.408858709021925","0.282331182059696","0","2882.99256613917","-1403.99643161603"
"35","-2.11111111111111","-4.11111111111111","-3","-0.5","-3","5e-04","0.005","5e-04","5e-04","-15","0.2","0.2","28025","NaN","-1.65801271157954","-4.37965185896372","-1.29174486380468","-0.85370397118189","-4.40787070989228","0.000517782606112886","0.00152189015098448","0.0323683211559777","-0.00442914894644209","-13.307351950387","0.409858211416594","0.281625312523062","0","2879.43107710395","-1402.21568709842"
"36","-2.55555555555556","-4.55555555555556","-1.125","-2","-0.5","5e-04","5e-04","0.001","0.001","-15","0.2","0.2","165313","NaN","-1.78027242976131","-3.02335024669278","1.51583906608724","-2.47075330911384","-5.88281249499377","0.000801915189934617","0.00382533211029591","0.185189478825701","-0.0268276425709804","-6.39880838832097","0.451473679586191","0.281090576393098","0","2949.54569826587","-1437.27299767938"
"37","-3","-5","-1.75","-2","-1","0.005","0.001","0.005","0.001","-10","0.2","0.2","591201","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"38","-1.66666666666667","-2.33333333333333","-3","-2","-1","5e-04","5e-04","0.001","5e-04","-10","0.2","0.2","406567","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"39","-1.44444444444444","-5","-3","-0.5","-3","0.001","0.005","0.001","5e-04","-15","0.2","0.2","73008","NaN","-1.72298364743676","-4.14903378105778","-1.82001608716824","-0.976923276873247","-2.87621145011352","0.000563016190603495","0.00164458161992121","0.0104841774970685","-0.00109983246354129","-14.9996097376661","0.41977125583049","0.279800824945986","0","2897.0241996814","-1411.01224838715"
"40","-1.44444444444444","-3.22222222222222","-0.5","-2","-3","5e-04","5e-04","0.001","0.005","-10","0.2","0.2","648448","NaN","-1.27247605678656","-3.56983733253374","1.17247338400216","-0.825783929399529","-2.89820559764851","0.000623051910571123","0.00173844186059301","0.0105420578923966","-0.00108101715330004","-12.6741140606023","0.408646917412352","0.281229095017553","0","2868.21081676601","-1396.60555692945"
"41","-1.66666666666667","-3.22222222222222","-1.125","-2","-1","0.005","0.005","0.001","5e-04","-15","0.2","0.2","78347","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"42","-2.55555555555556","-2.77777777777778","-1.125","-2","-1","0.005","5e-04","5e-04","0.005","-10","0.2","0.2","618353","NaN","-1.43356634245732","-3.75594012831011","0.314525726293782","-0.75637957714472","-3.84363774447948","0.000605436381489134","0.00180579688609352","0.0235593232842505","-0.00404836770498132","-8.63478117252819","0.403459968878626","0.278857499680839","0","2858.16572065496","-1391.58300887393"
"43","-1.44444444444444","-4.11111111111111","-0.5","-2","-0.5","5e-04","5e-04","0.005","5e-04","-15","0.2","0.2","84428","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
