"","a_log","h_log","h12","log_w","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","h12.est","log_w.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"89","-2.5","-3","-5e-04","-8.75","-0.5","-0.5","5e-04","5e-04","0.001","5e-04","-15","0.2","0.2","55762","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"90","-2","-1","-5e-04","-6.25","-0.5","-0.5","5e-04","5e-04","0.001","0.001","-5","0.2","0.2","1119148","NaN","19.8155413274109","-8.81294939456181","0.713401042723217","-9.18990290793772","-4.59779516958292","-4.74000468062928","0.00463908306728287","0.0783204162429744","0.049890738062401","-0.00942488900487821","-9.99153206116232","0.524134030545461","0.28016268340009","0","3126.1105142278","-1522.43041803922"
"91","-2.5","-1","-5e-05","-10","-0.5","-3","0.001","0.005","5e-04","5e-04","-15","0.2","0.2","40722","NaN","-1.9007557769012","-0.652709445955186","-0.00242795604469697","-9.81420744007191","-1.5852729606086","-2.8144640356131","0.00071554963849898","0.00502209587913861","0.00962109512843999","-0.000720446965782595","-14.265088993124","0.494587806304094","0.279737804931133","0","3104.32728256237","-1511.5388022065"
"92","-2.5","-1","-5e-05","-10","-2","-3","5e-04","0.001","5e-04","0.001","-10","0.2","0.2","624472","NaN","-1.68761172478971","-3.23882482981632","-8.06087925611734e-05","-10.9817670078393","-1.2138261456062","-3.70020695337269","0.000625235692106745","0.000358629751278577","0.0197713725312235","0.001284279417944","-8.75472280750724","0.433672545441656","0.278016060605394","0","3010.70998767759","-1464.73015476411"
"93","-2.5","-3","-5e-05","-10","-2","-1","0.001","5e-04","0.001","5e-04","-5","0.2","0.2","969462","NaN","-1.95803214679739","-1.77188900561879","-0.000347246851938758","-8.53852309886953","-1.63054631518274","-2.16460440698166","0.000761006513853795","0.00344664201804095","0.00746868210957328","-0.000339180863470255","-8.3693964979829","0.476897088917188","0.290230699446589","0","3051.26059762297","-1485.0054597368"
"94","-3","-3","1e-04","-10","-2","-3","0.005","5e-04","5e-04","0.001","-5","0.2","0.2","1074486","NaN","-2.14141939726143","-3.03458406672083","-9.77180328798439e-05","-9.17525934844243","-2.63373273574288","-3.34554815157622","0.00176342717657194","0.00141368247989469","0.0156932393120225","-0.00255719773044941","-5.46859212427086","0.452550920226502","0.279209282234793","0","2998.69121894806","-1458.72077039934"
"95","-1.5","-1","1e-04","-5","-2","-0.5","5e-04","5e-04","5e-04","0.005","-5","0.2","0.2","1219374","NaN","-1.46204432614302","-0.967499047698781","-0.000770383518780398","-10.0804821289325","-1.95031614559504","-0.527373349239594","0.000539509854284174","0.00706824787552007","0.0116976251923404","0.000211239959655931","-4.977214393092","0.423123334043793","0.905181059717829","0","4069.98320270506","-1994.36676227784"
"96","-3","-2","-2e-04","-6.25","-2","-3","0.005","5e-04","0.005","0.001","-10","0.2","0.2","720441","NaN","-2.03077981291474","-3.06662698444659","-0.000104380749730565","-8.65694555108217","-3.32278987335094","-3.38474863286446","0.00308052210648479","-0.0104227153335286","0.0130641080001214","-0.00215086226148396","-10.0463843081742","0.472031563073942","0.282407603908055","0","3006.99487152284","-1462.87259668673"
"97","-1","-1","-5e-05","-10","-2","-3","5e-04","5e-04","0.005","5e-04","-10","0.2","0.2","556975","NaN","-4.98441629109299","5.18254304579608","3.75492959089531","-19.3474515013198","-3.46328840912026","-6.28897771754878","0.00186491787821508","0.027308733545302","0.226257271902995","-0.0465603780564564","-15.2968977250856","0.525704648366816","0.280032181610828","0","3128.56976906078","-1523.6600454557"
"98","-2.5","-3","-0.00035","-10","-1","-0.5","0.001","5e-04","0.005","0.001","-5","0.2","0.2","1174412","NaN","-2.50104288527851","-2.61368767191412","-0.000170999802694821","-10.0059034623304","-0.9995183602127","-0.502910687068707","0.000627995696270639","0.00409267739817499","0.00490985384182616","0.000336236692644293","-5.10449973915934","0.472581267113359","0.448929791905569","0","3503.84817393326","-1711.29924789194"
