"","a_log","h_log","log_w","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"18","-3","-1","-6.25","-1.125","-1","-1","0.001","0.001","5e-04","0.001","-10","0.2","0.2","632971","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"19","-1","-3","-8.75","-2.375","-2","-0.5","0.001","0.001","0.005","5e-04","-5","0.2","0.2","1038915","NaN","-1.235441185788","-3.39315764884373","-12.0754737163371","1.88913674924158","-0.932536644859954","-6.42640733798837","0.000649433408520499","0.00184187141119359","0.108040199418733","-0.0613528172750847","-6.76431498301315","0.409930544818259","0.284864819918137","0","2887.8774965159","-1403.31390918326"
"20","-2","-2","-10","-0.5","-2","-0.5","5e-04","5e-04","5e-04","0.001","-5","0.2","0.2","1067393","NaN","-1.39379491473425","-1.82052189599697","-8.38175912304543","2.85687631169093","-1.40824151918567","-2.46494513292935","0.000692746841177963","0.00458060604325985","0.00836013996060293","-0.000722738011573384","-4.83374260164753","0.447768722661314","0.289050725766367","0","3015.01889922041","-1466.88461053552"
"21","-2","-5","-6.25","-1.75","-1","-1","0.005","0.001","5e-04","0.005","-5","0.2","0.2","1245953","NaN","-1.42767395177163","-3.61024937788434","-13.5610304163875","1.23726728315685","-1.01604774041812","-5.82386249630542","0.000621362984926979","0.00160880606781319","-0.0240399517424712","-0.0112450300267847","-24.149892726682","0.407296330629878","0.297237570068821","0","2926.78030504347","-1422.76531344705"
"22","-1.5","-4","-10","-1.75","-2","-3","0.001","5e-04","0.005","5e-04","-10","0.2","0.2","562759","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"23","-1","-4","-7.5","-3","-2","-3","5e-04","5e-04","5e-04","0.001","-15","0.2","0.2","151935","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"24","-2.5","-2","-8.75","-2.375","-2","-3","0.001","0.001","5e-04","0.005","-10","0.2","0.2","782042","NaN","-1.38149292288607","-4.37203300966837","-6.37276444828411","-0.681383064827401","-0.649180101380284","-3.39666408525223","0.000502208892926456","0.00216191475102376","0.0160381412084522","-0.002086227837724","-17.3440710245821","0.400411663488057","0.280682462578112","0","2861.59979122605","-1390.17505653834"
"25","-1.5","-4","-7.5","-3","-0.5","-0.5","0.005","0.001","0.001","0.001","-5","0.2","0.2","1146934","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"26","-2.5","-2","-6.25","-0.5","-2","-0.5","0.001","5e-04","0.005","0.005","-5","0.2","0.2","1326217","NaN","-2.01084414727095","-1.47370997033462","-6.65863291913871","0.349934238154916","-1.70864242946289","-2.87222088221703","0.000761768086832125","0.00553691801653267","0.0102360822285275","-0.00103808662691477","-4.96532110251434","0.477874049316603","0.282493726163604","0","3035.05208136477","-1476.9012016077"
"27","-1.5","-4","-10","-0.5","-1","-1","0.001","5e-04","5e-04","5e-04","-10","0.2","0.2","464259","NaN","-1.22115629776138","-3.94342918942761","-6.12150006128733","0.321733630074578","-0.673246964912267","-3.19725735297053","0.00054858420120066","0.00233456634260521","0.01259794855308","-0.000336277270160143","-9.67520948023735","0.398665698724235","0.286442001761076","0","2867.53806032442","-1393.14419108753"
"28","-2.5","-4","-5","-1.125","-1","-1","0.005","0.005","0.005","5e-04","-5","0.2","0.2","1060482","NaN","-1.46610543935911","-4.22061345071949","-6.13769846524723","-2.24080558179713","-0.721363204151557","-4.69634660134809","0.000536886867697036","0.00223046395196965","0.0307500399949851","0.000424015813218932","-6.70997842142753","0.416180397190713","0.291141614229011","0","2926.29910961273","-1422.52471573168"
"29","-2","-1","-10","-1.125","-0.5","-3","5e-04","0.005","0.001","0.001","-5","0.2","0.2","1149148","NaN","-0.98687077131025","-2.98460004268545","-5.45863611311728","1.25132857822465","-0.920530622801051","-2.8481800357425","0.000581750012372805","0.00347933093393217","0.0113447853055879","-0.00084578073005658","-5.74122976623766","0.408752802000071","0.288296982080526","0","2889.85071956111","-1404.30052070587"
"30","-1","-1","-5","-2.375","-2","-0.5","0.001","0.001","0.005","0.001","-10","0.2","0.2","735250","NaN","-93.983096780643","32.2672932386137","-144.340907656725","21.4360503654723","-6.91176676059848","-7.51470009448227","0.0440422667586278","0.768342854498431","0.76254379977635","-0.15900888559357","25.3266673717693","0.52614720841361","0.279984429007038","0","3129.1402053367","-1523.94526359366"
"31","-2.5","-5","-5","-1.125","-1","-0.5","5e-04","5e-04","0.001","0.005","-5","0.2","0.2","1270477","NaN","-2.5971477181985","-1.42010570819405","-11.1745148710297","-0.636875884650311","-1.70123097293149","-2.20757181887854","0.000749019341276135","0.00585028993524824","0.00707248690678516","-0.000309756077447713","-3.55236627306143","0.47547430068595","0.288837123695201","0","3104.0668689113","-1511.40859538096"
"32","-3","-1","-8.75","-1.125","-1","-3","0.005","5e-04","0.005","0.001","-10","0.2","0.2","721046","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"33","-1","-1","-6.25","-1.75","-2","-0.5","5e-04","0.001","0.005","0.001","-15","0.2","0.2","274100","NaN","-2.14473397073807","-3.70960654660541","-7.57675317954615","-2.86595997193262","-3.38589605901666","-5.10612139734654","0.00100727694864567","0.0038454571200997","0.0877678348299501","-0.00661642896284139","-7.29491504740904","0.469007399698393","0.284731751583415","0","3021.79292213741","-1470.27162199402"
"34","-2.5","-5","-6.25","-2.375","-0.5","-0.5","0.001","0.005","5e-04","0.001","-5","0.2","0.2","1107702","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"35","-3","-1","-7.5","-0.5","-0.5","-1","0.001","0.005","0.001","0.005","-15","0.2","0.2","397446","NaN","-1.33716317866999","-1.55093105823429","-3.83926569082767","0.653096637017851","-1.42898946746987","-1.98189525679768","0.000669677736563975","0.00553834871041849","0.0062641776616766","-0.000135428995972899","-16.8957109680772","0.475018166802898","0.292495309149209","0","3083.8889576981","-1501.31963977437"
"36","-2","-2","-10","-1.75","-1","-3","0.005","0.005","0.001","0.005","-15","0.2","0.2","400268","NaN","-1.23468457172234","-3.52948269339331","-11.7029886682499","1.56149001834726","-0.812568058110465","-3.9183349805284","0.000628615417847317","0.00187309644686512","0.0299397100760623","-0.00491104251530068","-8.94940267207275","0.407247026945643","0.280194644870302","0","2870.48698250237","-1394.6186521765"
"37","-2","-2","-7.5","-2.375","-1","-1","0.001","5e-04","0.001","0.001","-10","0.2","0.2","666443","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"38","-3","-3","-5","-0.5","-1","-0.5","5e-04","0.005","5e-04","5e-04","-10","0.2","0.2","494361","NaN","-1.22654745238463","-2.20417493913284","-5.12162601464527","0.784085937785134","-4.51993001918368","-3.69076107158317","0.00557062302809541","0.0394221041382223","0.0188519256516934","-0.002913625829328","-14.3074746568497","0.464606293642021","0.281665487481985","0","3000.4306002643","-1459.59046105747"
"39","-2","-4","-8.75","-1.125","-1","-3","0.005","0.005","5e-04","0.005","-10","0.2","0.2","805408","NaN","-1.64272612681527","-4.43417157782439","-10.051772866867","-1.13035024375822","-0.724881304126966","-2.82771325645023","0.0005430425594254","0.00150179430525796","0.0100629179933484","-0.00121078760901048","-9.49520376017107","0.416033598788568","0.279146749317432","0","2891.95831710557","-1405.3543194781"
"40","-3","-4","-10","-1.125","-2","-3","0.001","0.001","0.005","0.001","-5","0.2","0.2","1187256","NaN","-1.6480516346761","-3.93934335845615","-9.83731960233608","-1.75538062415882","-0.812341683295212","-3.55542791092819","0.000586889300437995","0.00181901110216969","0.0165789659633168","-0.00265822465583767","-5.63818267745862","0.417455857158041","0.283292438300172","0","2911.70146336123","-1415.22589260593"
"41","-2.5","-2","-10","-3","-1","-0.5","0.001","0.005","5e-04","5e-04","-15","0.2","0.2","43767","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"42","-1","-1","-10","-2.375","-2","-0.5","0.005","0.001","0.001","0.005","-5","0.2","0.2","1297650","NaN","0.0853396167045434","3.27955710824015","-9.66038750393591","-4.1073673359481","-1.67632259601123","-3.67589201873926","0.000740313987212531","0.00668733052194758","0.0171595270095525","-0.00229427425258912","-1.40018112277496","0.534889856041065","0.282273744407364","0","3156.81244431779","-1537.78138308421"
"43","-1.5","-1","-7.5","-3","-0.5","-0.5","0.005","5e-04","0.001","0.005","-5","0.2","0.2","1281949","NaN","-11.6243367360091","-10.4433813149717","2.79179256370257","-1.45689729075596","-4.0072979679808","-4.69221007950625","0.00284934000205465","0.0449989013880478","0.0476017054877121","-0.00900467021334605","1.26960950500371","0.525820573762732","0.280178697680001","0","3129.3159546707","-1524.03313826067"
"44","-1.5","-3","-7.5","-0.5","-2","-1","0.001","5e-04","0.005","0.001","-10","0.2","0.2","716814","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"45","-3","-4","-10","-1.75","-2","-0.5","0.001","0.001","5e-04","0.001","-5","0.2","0.2","1089631","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"46","-2.5","-3","-6.25","-3","-1","-1","5e-04","0.005","0.001","5e-04","-15","0.2","0.2","86962","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
