"","a_log","a12","h12","h_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","h12.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"71","-1","-5e-04","1e-04","-4","-0.5","-1","5e-04","5e-04","0.005","0.001","-5","0.2","0.2","1167730","NaN","-1.0028594744251","-0.000830474055485991","-3.99931532283855","0.000258731986924773","-0.504141951764782","-1.0084528481372","0.000708867428204528","0.00311403777192576","0.00553449802630216","0.000310950508172428","-5.00015340072307","0.506953513920443","0.397162161168477","0","3296.04885483952","-1607.39958834507"
"72","-2","-2e-04","-0.00035","-5","-0.5","-1","5e-04","5e-04","5e-04","0.005","-15","0.2","0.2","306913","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"73","-2","-0.00035","-5e-04","-1","-2","-1","0.001","0.001","5e-04","5e-04","-15","0.2","0.2","24883","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"74","-2.5","-5e-05","1e-04","-5","-1","-0.5","0.001","5e-04","0.001","0.001","-5","0.2","0.2","1123867","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"75","-2","-5e-04","-2e-04","-3","-2","-1","0.005","5e-04","0.005","0.001","-5","0.2","0.2","1177803","NaN","-1.95791959751279","-0.000127154850807354","-3.00190849394921","-0.000104033773883596","-1.5846875712572","-1.57354937920309","0.000663188264885756","0.003031693247195","0.0058958891461839","5.95278585640345e-05","-5.00745497128294","0.452044333301031","0.447704512831295","0","3178.29090698515","-1548.52061441789"
"76","-2.5","-2e-04","-5e-04","-2","-2","-1","5e-04","0.001","5e-04","5e-04","-10","0.2","0.2","474762","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"77","-1","-0.00035","-0.00035","-5","-1","-0.5","0.005","0.001","5e-04","0.005","-10","0.2","0.2","791910","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"78","-1","-2e-04","1e-04","-2","-2","-1","0.005","0.001","0.001","5e-04","-15","0.2","0.2","81115","NaN","-2.345428015632","1.38936494580068","-3.31577877827081","2.06550176658871","-3.25032967915597","-4.65215636234662","0.00158352863039712","0.0225715252371734","0.0458766862229654","-0.00867248456187935","-7.0923972099185","0.524549301451574","0.280219427176613","0","3127.29330325849","-1523.02181255456"
"79","-2.5","-5e-05","1e-04","-2","-0.5","-1","0.001","0.005","0.005","5e-04","-10","0.2","0.2","599867","NaN","-1.56366313645278","-0.000408584435638002","-1.69703655446117","-0.000829974054485027","-1.33518245292011","-5.31404285162297","0.00103483788814076","0.00294310820653342","-0.00632684234765371","0.000954284972005917","-6.87315688968585","0.463566360009136","0.326233720969293","0","3083.33396497791","-1501.04214341427"
"80","-2","-2e-04","-0.00035","-4","-2","-1","0.001","5e-04","0.005","0.001","-15","0.2","0.2","260788","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"81","-1","-0.00035","-5e-04","-4","-2","-0.5","5e-04","0.001","0.005","0.005","-10","0.2","0.2","881385","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"82","-1.5","1e-04","-2e-04","-1","-2","-0.5","0.005","5e-04","5e-04","5e-04","-10","0.2","0.2","471199","NaN","-3.92641242635672","0.0257083894120842","1.47800697270856","5.92571142623854","-3.34515362293346","-6.08853207789128","0.00171886970959351","0.0245797714406581","0.185981430521418","-0.0380311914470612","-8.50121155663781","0.525447829573412","0.280049195415114","0","3128.21666602462","-1523.48349393763"
"83","-2","1e-04","-5e-04","-5","-2","-1","0.005","0.001","0.005","0.001","-15","0.2","0.2","283148","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"84","-3","-5e-04","1e-04","-3","-2","-0.5","5e-04","0.005","0.005","5e-04","-10","0.2","0.2","594726","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"85","-2","-5e-05","1e-04","-3","-0.5","-3","0.005","0.001","0.005","0.005","-5","0.2","0.2","1345993","NaN","-2.31495655888453","0.000121304167609523","-3.36460591903003","8.10758351022616e-05","-0.54602993812434","-2.71009841894651","0.000621313614842771","0.00327372319665131","0.0114777523744365","-0.000890021198771109","-4.65971990334477","0.529523462544859","0.267734443341485","0","3134.63945585219","-1526.69488885141"
"86","-1.5","1e-04","-5e-05","-4","-0.5","-1","5e-04","0.001","5e-04","0.001","-10","0.2","0.2","627724","NaN","-1.49646572082622","-5.74858874323162e-05","-3.48309877895856","-7.31190757200095e-05","-0.816329287478358","-1.00120315502123","0.00076173896727464","-0.000921978739019619","0.00529496514578292","0.000313739404982389","-9.76363904577518","0.526761130809495","0.336215426176145","0","3266.5242290576","-1592.63727545411"
