"","a_log","a12","h12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","h12.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"82","-2","-2e-04","-0.00035","-5","-0.5","-0.5","-3","5e-04","0.005","0.001","0.001","-10","0.2","0.2","3468163","NaN","-1.74609663777142","-5.95048347389396e-05","-4.20336883778275","-1.30499842500876e-05","0.336831291329284","-1.03171752585014","-3.72225610274983","0.0005530998158335","0.00211731444730187","0.0165815966910547","-0.000147999766717125","-10.4165200241697","0.405486195520992","0.286057642541051","0","2908.96972204081","-1410.73503432459"
"83","-3","-5e-04","1e-04","-5","-3","-1","-3","0.005","5e-04","5e-04","0.001","-15","0.2","0.2","818851","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"84","-2","-5e-04","-5e-05","-5","-3","-0.5","-1","5e-04","5e-04","5e-04","0.001","-10","0.2","0.2","3053203","NaN","-17.7060201317386","0.0450075906732601","-3.53262223612803","0.00101786542494896","4.95309646645494","-1.06562977701421","-4.98153208834392","0.000640850149950807","0.00362650518409705","0.0701458506251871","-0.0034480088157117","-5.7770456111826","0.445871502391531","0.286797513131183","0","3014.26662238838","-1463.38348449837"
"85","-1.5","1e-04","-5e-04","-5","-1.125","-0.5","-1","5e-04","5e-04","0.005","0.005","-10","0.2","0.2","4320649","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"86","-2.5","-5e-05","-5e-04","-5","-2.375","-0.5","-3","0.001","5e-04","5e-04","5e-04","-15","0.2","0.2","35017","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"87","-2","-0.00035","1e-04","-2","-2.375","-2","-1","0.001","0.005","0.005","5e-04","-15","0.2","0.2","713608","NaN","-2.01745110389408","-0.000144543526854843","-1.99806926781192","-0.000298377172904426","-2.31443362550065","-1.99508295735574","-3.13735777525427","-7.21571882363145e-06","0.00566755924370508","0.0151106561003928","-0.00132996303010694","-13.0492354884418","0.47294790806654","0.291648059099778","0","3037.05481731027","-1474.77758195932"
"88","-1","-2e-04","-0.00035","-2","-2.375","-2","-1","5e-04","0.001","0.001","5e-04","-10","0.2","0.2","2626040","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"89","-1.5","-5e-05","1e-04","-5","-0.5","-2","-1","0.005","0.001","0.001","0.005","-5","0.2","0.2","6480744","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"90","-1","-0.00035","-5e-04","-5","-0.5","-2","-1","0.005","0.005","0.001","0.005","-10","0.2","0.2","4286885","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"91","-1","-2e-04","1e-04","-4","-1.125","-1","-3","5e-04","5e-04","0.001","0.005","-10","0.2","0.2","4055240","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"92","-2.5","-2e-04","1e-04","-4","-1.75","-0.5","-3","0.005","0.005","5e-04","0.001","-10","0.2","0.2","3270237","NaN","-2.23857570782779","0.000190391565838979","-4.00622346727704","-2.89636245021398e-06","-1.75378370695569","-0.482127969696568","-2.74309530426795","0.000587576076841915","0.0023762686520451","0.0100909909405628","-0.00108244274763982","-8.80650857125671","0.476145531306844","0.282884928929151","0","3069.33509298106","-1490.91771979472"
"93","-1","1e-04","-0.00035","-2","-2.375","-1","-1","5e-04","5e-04","0.001","5e-04","-15","0.2","0.2","266675","NaN","-1.11907467486256","-0.00370015945900503","3.17407769066985","1.01968079136885","-1.30735916185526","-2.68015525071042","-5.00733058868581","0.00110276790384936","0.0132970684325611","0.0653436676207582","-0.0121690312600539","-16.1070964181257","0.525430162839833","0.279848541954645","0","3129.32576305146","-1520.91305482991"
"94","-2.5","-2e-04","1e-04","-4","-0.5","-1","-0.5","0.001","0.005","0.001","0.005","-10","0.2","0.2","4271487","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"95","-1","-0.00035","-5e-05","-4","-0.5","-0.5","-1","0.005","5e-04","0.001","0.001","-15","0.2","0.2","1087085","NaN","10.3645804668794","0.134753931823256","-8.74771401369325","0.737035885494352","1.03137044320938","-4.7537903057535","-4.95528466399499","0.00547700576611957","0.0905661298319844","0.0615464519614773","-0.0118247491472587","-12.2184218741782","0.524248601992569","0.280099647422907","0","3132.2766352478","-1522.38849092809"
"96","-1","-0.00035","-2e-04","-3","-0.5","-0.5","-0.5","0.005","0.001","0.005","0.005","-15","0.2","0.2","2193435","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"97","-3","-2e-04","1e-04","-5","-2.375","-0.5","-3","5e-04","0.005","5e-04","0.001","-10","0.2","0.2","3213236","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"98","-3","-0.00035","-5e-05","-5","-0.5","-2","-1","0.005","0.005","0.001","5e-04","-15","0.2","0.2","490081","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
